 Kd 8d Qs Th Qd Qc] [ Ad 2c 2h 7h 9c 3c 4d 8c Ks Ts 4s Tc 8s Js 8h 6c 6d Ac 3d 2d 5s 2s 4c Kh As 7d 7s 4h 6h 7c 3s Qh Jc 3h Jh Ah 6s Td 5c 9h Kc Jd 9d 5d 9s 5h];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[9h, Ac]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 4d Ad 4s As 7c 7s 5h Ts 3h 2d 4h 2s 9s 4c 9d Td 8s 5c Ks 9c Jd Kc 6h 8h 9h 5d 6c Tc 2h 5s Kh 7h Ac Ah Js Jc 3c 3d 7d Qh Jh 6s 3s 6d 2c 8c];[Qc, Qd, Th, Qs, 4d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6h, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4s Jh Js 8h 9h Kc Ac As Jc 8c Tc 3d 6d 9d 2s 3s 9s Kh 2d Ts Jd 4d 8s 2h Ad 5h 9c Td 6h 5d 7h 3c 3h 6s Ks 2c 4c Qh 6c 5s 7c 7s 5c Ah 7d 4h];[Qc, Qd, Th, Qs, 4s];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[Td, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7d 3h 6s 9s Jh 9h 8s Js 2h 9d Jd 4s Ac 9c 4c Kc 6h Ad 3c Tc Jc Ks 2d 7c As 6c 7s 8h 8c Td Qh 4h 3d Ts 6d 5c 7h 5d 2s 4d Ah 3s 5h 5s 2c Kh];[Qc, Qd, Th, Qs, 7d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;1;b1[Ts, 9h]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8h 5h 9s Tc 4c 3h 7c 3s 9h Td 9d Ts 8c 5c Jd 6s 6d 2h 3d 8s Ah 4d 5d Ks Kh 9c Jh Js 2c Qh 2d Kc 5s Ad 6h 2s 6c Ac 7d 4s As 4h Jc 7s 3c 7h];[Qc, Qd, Th, Qs, 8h];null;null;null;b1[c:89,10] Hero[r:0,77] b1[f:89,10] ;Hero{12} ;12;b1[9s, Ks];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ad 6h 4s Td 8h Jc 6d 9s As Jh 8s 7s 4d 2s 3d Ks 8c 9c 5h 5s 4h 4c 7c 6c 7h 9h 3h Ac 9d 5d Jd Js 2h Qh 6s 2c 3s Tc 2d Kh Ts 7d Ah Kc 3c 5c];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[Ah, Ad]28827;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 8h 6c 4d 8s Qh Tc 4h 9s 5s 7h 4s 3c 2d Ac 5h 3s Ks 9h Js 2h Ah Ad 4c Kh Td 5c 9d 2c As Jh 6d Jd 7s 7d 7c Jc 6h 9c 5d 3h Ts 6s Kc 8c 3d 2s];[Qc, Qd, Th, Qs, 8h];null;null;null;b1[c:14,64] Hero[r:0,77] b1[r:14,64] Hero[r:0,77] b1[r:14,64] Hero[c:0,17] ;b1(54) ;-26;b1[6h, Qh]32897;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 9d 2c Qh 3s 7h Jh 5d 9s Jd Kh 6d 7s 3d 4h 2h 6s Td 6c Kc 2s 6h 9c 4c 5h Js Ks 5s Ac Ts Ah Jc 2d 5c 4s As 9h 4d 7d 7c 8h 3h Tc 8s 8c Ad 3c];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Jh, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d 6h Ks 4d Qh 7c 3c Td 5d Kh 3d Jd Ah 5c 6s 2d 5h Jc 7h Js 7d 9s 8s 4c 5s 2h 3s 2c Tc 8c 3h Jh Kc 4h 2s Ts As 6d Ac 6c 8h 7s Ad 9c 9h 4s];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6s, Ts]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9s 6h 5d As Ad 4d Qh 5c Ks 3h 7c Jc Kh 6d 4c 7d Jh Ts 3d 9c 4s Ah Tc Js 7s 2s 2d 8h 9d 4h 3s 9h 7h Jd 5h Kc Td 8s 6c 5s 6s 2h Ac 2c 3c 8c];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[9s, Jh]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2h 6h Ks 5h 7c Jc Ts 6s 2s Ah 3c 4s Jh 2d As Jd 4c 3h 7d 4d 9d Kh Td 5d 6c 7h Tc Kc 9s 9c 6d 8h 9h 7s 8c 3d 3s 8s Qh 4h Js Ad Ac 5c 2c 5s];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6s, 6d]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h 4d 2s 6s Tc Js Qh 7d 3h Ah 2c 2d Ks Ad 7s 7c 4h 6h 3d 5d 8c Ac 9d Jh 8s As Kc 2h 3c 7h Ts 6d 9s Jc 5c 5s 4c 3s 4s 8h 9h Jd Td 6c 9c Kh];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, Ah]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7d 3h 7s 2d Ks 4h Tc 4c 5s Jc 9d Jh 6s 5c 5d 7c Kh 7h 3s 8h Jd 3c 4s Js 6c Ah 3d 2s 6h Qh Ac Td 6d Ts 9s 9c 9h Ad As Kc 8c 2h 4d 8s 2c 5h];[Qc, Qd, Th, Qs, 7d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[7h, Ah]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3s 4s Ah Tc Jd 9s 9d Td 6h 2c 5h 9h 4h 5s Qh 6d Ac Ts 7s Jc Kc 2s 8c 3d Jh 7d 5c Kh Js Ad 8h 6s 8s 2h As 3h 7h 2d 4c 3c 4d 5d Ks 7c 6c 9c];[Qc, Qd, Th, Qs, 3s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[4s, 4c]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h 5c 9s Ad Ts 2h 5s 4c 4s Ks Jc 7d 6s 7s Qh 3d 2c 7c 6c 2d Td 4h Kc 3h 5d 4d 8h 8c As 3c Jd Tc 6h Js Kh 6d 8s 9d 9h Ah 2s Ac 7h 3s Jh 9c];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, Jd]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c 5c 6s 7d Kh 8h Js 2h Jc 3d 4s 5h As 3s 4d Jd 7c 7h 6d 5s 5d Qh 8s 3h Jh Ah Td 9s 2d Tc 9h Ks Ac Kc 2s 4h 9c 8c 2c 4c 3c 6h Ts Ad 9d 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[7d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ts 6h 8s 9d Ac 7h Ah Qh 5s Ad 7c Js Tc 3c Td 6s 8c 6d 8h 2s Jh 2d 4h 9c Jc 5h 7s As 2h 3h 4d 9s 7d 2c 3d 3s Kh Jd 5c Kc Ks 6c 5d 4c 9h 4s];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[Kh, Td]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Ts 7d 5s 4h 8s 9h 9d 5d 8c Ad Jh Ah 5h 8h 2h 3s 6c Js 7s 2d 3d 9s 5c Ks 6h Qh 2s Kh 6d Ac 6s 3c Tc 3h 9c 4d 4s Jd 2c As Jc Td 7c 4c 7h Kc];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(15) Hero(1) ;1;b1[8c, Tc]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 2d 2h 6s Ts 8h 9d 6h 3c Qh 5c 4d Jd 3s Ah 8c 2c 2s Kc 4h Js 5s Jh 5h 9c 3h 6c 7h 7d 3d 8s 9h 5d 7c 4s Ad Tc Kh Td Ac Ks As 7s 4c 6d 9s Jc];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Ah, 6d]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9h 3c 8h Tc 5h 5c 7h 7d 6c Ac Ts Td Jh Jc 2d Kc Qh 4d Ad 5s 8s 9c 7c 3d 6s 7s 6d 2s 4c 2h 5d 4s As Ah 6h 9s 9d 3s Ks 8c 4h 2c Jd 3h Js Kh];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Js, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7s 4d 9s Kh 2d 5s Ks 2s 3h 3d Kc Ad 6s Ah 6d 2c 9c 5h Ac 7c 8c 7d 3s 6c 4h 2h Td 6h Jh 3c Ts 4s 8h 8s 9h Js Qh 7h 5c As 5d 9d 4c Tc Jc Jd];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[c:14,64] Hero[c:0,17] ;b1(22) ;-10;b1[Qh, Jc]32898;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7c Js 6c 3d 4s 6s 9d 8s 5c 2d 4d 3h Kh 4c Ad 2c 5s Jh 6h 3c 4h 9h 7s Ks 2h Ts 9s Ah Td 8c 8h 6d 2s 9c Ac Jd 7d 7h Tc 5h Jc 3s 5d As Kc Qh];[Qc, Qd, Th, Qs, 7c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, Jd]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ks 5s 6h 8s 4d As 2h 9d 5d Tc 8c 6d 9c 7d Ah 3d Kc Kh 8h Js 4s Jd 3c 2c 4h Jh 7h Qh 5c 6c Ts 2s 3s 4c 3h 7c 5h Ac Ad 9s 9h Jc 2d 7s 6s Td];[Qc, Qd, Th, Qs, Ks];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(16) ;16;b1[Js, Ac]20490;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Jc Kc 6d Js 3d 7c 5c Ad 3s 9s 6h 9d Ts 5s 2d 7h Jh 4h 9c As 7s Tc 8s 4d Td Ah Kh 6c 8h 5d Ac Ks 2h 9h 2c 4s 5h 7d 2s 3h Jd 8c Qh 3c 6s 4c];[Qc, Qd, Th, Qs, Jc];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[As, Kh]20490;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 9h 2s 2c Tc 7c 7s Kc Ah Jh 8h Ac Ks 5s 5h 7d 9c 3d 6d 5d Jd As 4c 4s 3c 3h Kh 4d 3s 6c 4h 7h Td Ad 8c 6h 9s Js 8s Jc 2h 9d 5c 2d Qh 6s Ts];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Js, 8h]20488;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6s 7c 6d 9s 8c Ad 2h 6c 8h 5d 3c As Jd 4c 7s 9d 4h 6h Tc 2d Jh Kc Td Ks Jc 3d 2c Ts Js Ah 9h 9c 3s Kh 4d 3h 4s 2s 5s 5h 7h 8s Ac Qh 5c 7d];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ad, Ac]28804;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5s 9h Jd Ac 4c Kh 2d Ts 8h 8s 7s 5h 2h As Ks 6h 6s 7c 8c Jh 6c 3s Js Kc 7h Td 7d 4h 5c 2c Qh 3h 9s 9c 5d Ah 3c 4d 3d Ad Jc 4s 6d Tc 9d 2s];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Ts, Ah]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c 8h 6d 3c Td 2h 7d Kc 4d 5h As 2s 4h Ts 7c 9h 5c 9d 5d Tc Ks 4c Ac 2d 7s 6s 8c 3h 8s Js Ah Jh Kh 7h 5s 9s Ad Qh 9c 6c 3s Jc 4s Jd 3d 6h];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:89,10] Hero[c:0,17] ;Hero(12) ;12;b1[9d, Jc]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ac 9c 9h Ad 5d Jd 5c 2s Qh Ah 6h Ks 2d 9d 3d Kc Jh 6s 7s 4c 8s 7d 9s 2h 8c 2c 8h 7c Kh 7h 6c 4s Jc 3c As Td Tc 4d Js Ts 6d 3s 5h 5s 4h 3h];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[7s, Ts]28801;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Ks 6h 5s 4d 6c 3d Ts Kc 3s Ad Ah Qh Ac 5c 2c 9c 8h 8s 3h 7d 2s 5d 5h 4c 6d 7s 6s 8c 9d 7c Kh 7h Jc Td Jd As Jh Tc Js 2d 9h 4s 3c 2h 9s 4h];[Qc, Qd, Th, Qs, Ks];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;b1(30) ;-14;b1[As, Ah]28804;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Qh Ad Tc 2d 9s Td Jc 3d Jh Ah 3h Js 8c 6s 5h Ts 5c 7d 2h Jd 5d 3s 2s 9c Kc 4h 5s 2c As 9d 8h 6d 8s Ks 6h 7s Kh 9h 4s 4d 6c 7c 7h 3c 4c Ac];[Qc, Qd, Th, Qs, Qh];null;null;null;b1[c:89,10] Hero[c:0,17] ;Hero(12) ;12;b1[7h, 7c]32897;b2;Hero[8d, Kd]32899;b0
 Kd 8d Qs Th Qd Qc] [ Jh 6d 6s 8c 4d 5h Ks 9c 6c Jd 8s 7s Ac 6h 3c Ts Ah 2c Qh 7c 2h 4c Js 4h 9s Tc Kc Kh 7d Ad 4s 9d 5s 2s 3s As 5d 9h 2d 3d Jc 3h Td 8h 5c 7h];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ah, Tc]28801;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 2s 9s 3d 8h Tc 2c Js Ah 4c Ac 6s 7h 4d 5d 9c 3h 5c Ts 2d 7d 7c Kc 4h Td Kh 9d Ad As 8c 3c 5s 7s 5h 3s Ks 2h 4s 9h Jd 6d 6h 8s Qh 6c Jh Jc];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[c:14,64] Hero[c:0,17] ;b1(22) ;-10;b1[As, Qh]32900;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8c Qh Ts 4s Jh 2d Jd 9s Kh Jc 7d 5h 4h 7s Ah Ac 9h 6c 6h As 3s 3h 6d 4c Ks 5c Td 5d 3c 2s 7c 7h 9d Ad 3d 2h Js 8h 8s 9c 4d 2c Tc 6s Kc 5s];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[c:14,64] Hero[r:0,77] b1[c:4,5] ;Hero(16) ;16;b1[Ah, Jd]17109;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ Qh 5c Ac 4s 3c 6c 6h 4c 5s Js 9c 4d 4h 8c 7s 9h Tc Jh Ks Ad 3d Kh 2c 3s 9s 5h 7h 7d Ah Jd 3h Jc 2h Kc 9d 7c Ts 8s 2d 8h 6s Td 6d 5d 2s As];[Qc, Qd, Th, Qs, Qh];null;null;null;b1[c:89,10] Hero[c:0,17] ;Hero(12) ;12;b1[5c, Tc]32897;b2;Hero[8d, Kd]32899;b0
 Kd 8d Qs Th Qd Qc] [ 9c Js 4s Jh 5s 8h 5h 2s 6c Qh 6s Kh 5c 7c 6h 7d 7h 2c 3c Jc 6d 5d Td 4d 2d Ks As 4c 8s Tc 2h 8c Ad 9d 3d 9s 9h Jd Ac 4h Ts 3h Kc Ah 7s 3s];[Qc, Qd, Th, Qs, 9c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ks 3h Kh 8s 4c 2d 7c 6h 5c 4s Kc 9h 6d Jh 8h Jd 3c 3d Tc Qh 3s 4d Ah 5s Ac 9d 2c 2s 8c 5d 4h 6s 7s Ts 9c 5h 7h 2h 6c Td Js 7d Jc Ad As 9s];[Qc, Qd, Th, Qs, Ks];null;null;null;b1[c:4,5] Hero[r:0,77] b1[r:4,5] Hero[r:0,17] b1[c:4,5] ;Hero(24) ;24;b1[Ah, Jd]20490;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 5d Kh 6d 4s Td 7s 5s Ks 2s 7c 9c 9d 8s Js 4h 9h Qh Ac 2h 8c Jc 6c 5h 9s Jd 3c As 7d 7h 5c Ah 4d 2d Ts 8h 4c 3d Jh 2c 3s 3h Kc 6s Tc Ad 6h];[Qc, Qd, Th, Qs, 5d];null;null;null;b1[c:89,10] Hero[c:0,17] ;Hero(12) ;12;b1[8s, 9c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4c Jd Td Ks 4d Js 2s 5d 5h Qh 6d As 9d 3c Ah Kc 3s 4h 7d 7s 7c 6h 9s Jc 5s 7h 4s 3h 8h Jh 5c 9c Kh 9h Ts Ac Ad 8s 2c 2d 8c Tc 2h 6c 3d 6s];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Js, Ac]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kc 4s 2c Js 9h 9c Ts Ah Ad Jd 3h 7c 3c 7h 5c Ks Jc 2s Td 5h Ac 2d 7d 4h 5s 6c Jh 3s 9s As 6d 3d 2h 9d 4d 6h 4c Kh 5d 6s 8s 8c Qh Tc 8h 7s];[Qc, Qd, Th, Qs, Kc];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;b1(15) Hero(1) ;1;b1[6s, Ks]28803;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 3h Ks 2c 8h Td Ac Tc 2s 4s 8c 9h 6s 5s 9c 4c Kc 6c Ad 5c 3s Ah 9d Js Jd 2d 5d Ts Kh 2h Jh 5h Qh 3c 4d Jc 4h 7h 9s 6h 7s 7d 3d As 6d 7c 8s];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[As, Kh]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jh Ah Jd 7s As 5h Td 5d 7d Kh 3s 8s 9c 6d 4c 4d Ks 3h Ts 9s 6s Ad 7h 4h 2s 2c 8h 5c 6h Kc 6c Ac 3d Tc 2d 4s 5s 3c Jc 2h 9h Qh 7c 8c 9d Js];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[Ah, 5d]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 4d Td 7h 5s 5h 7c 2s 9c Ad Tc 7s Ts 3d Qh 6d 6h Jc 2h 8h 2d 9h 4h Js 4s Jd 6s Kc 6c 8c 7d 3s Jh 8s Ac 5c 2c 5d As Kh 3c 3h Ah 9s 4c 9d Ks];[Qc, Qd, Th, Qs, 4d];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[Ks, 9c]17098;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9h Kh 9d Qh 2s Jh 7d 6d 2c 3s Ac 3c 8c 5c Ks Td 7c Kc 8s Js 7s 4c Tc 6c 6s 9c 4d 2h Ad 3h 2d 5s 9s Ts 8h Ah Jc 4s 3d As 7h 5d 5h Jd 6h 4h];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Js, Jc]28802;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3h Jd Ad 7c Js 6d 6s 6h 5c 7d Jh Ts Jc 2h 2d 2c Ac Ks 8c 9s 3c 4s Kc 9d As 3s 9c 5d 4h 3d 2s Tc 8s 9h 7s 4c Ah 8h 5h Td 4d Kh Qh 6c 7h 5s];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[5d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5s 2d 2c 2s Jc 2h 4c Kc Ad 3s 7d Qh As 5d Kh Ac 6h Jh 8s 9h 5c Td 3d 7s Ah 9d 3c 4d 7c 6d 4s Js 4h 6s 3h Ts 8c 9s 9c 8h Ks Jd 6c 5h Tc 7h];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[Jh, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9d 9c Ad 5h 4c 6d 3d 2c Kh 8s 9h Js 8c Jh 3c 2s 6h Jd Ts Kc 6c 4s 2d 9s 7c Qh Jc Ks 7h 3s Td 8h 7d 7s 4h 2h 5d 5s 3h 5c 4d Tc As 6s Ah Ac];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[2d, 2c]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2h Ks 4s Jh Ts 5h 8c Ah 6h 6c 5s 2c Td 5c 9h 9d 7d Kh Jc Js Qh 9s 2d 7h 6s Kc 3d 7c Ac Tc 9c Ad 5d 8h As 4c 8s 3c 4h 3h Jd 4d 3s 6d 7s 2s];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Ts, 7d]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9s 4d Kc 8c As Jh 2c Jc 3c 6h 4h Ah 5c Tc 9h 2h 2s 6d 6s 5h 6c 7h 7d 7c Kh 5s 9d 4c Td 8h 4s 7s Qh Ac 9c Ad 3s 3h Jd Ts Js 8s Ks 3d 5d 2d];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[9c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Tc 5c 7d 8s Js 8h Kc 6h 5d 2c 3h As Jh 4s 6d Ks 9h Ts 7h 5s Ad 2d Kh 9s 2h 2s Ah Qh 8c 4c 5h 6s 3d 4d Td 6c 9d 7s Ac Jc 7c 3c 9c 3s Jd 4h];[Qc, Qd, Th, Qs, Tc];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(15) Hero(1) ;1;b1[3d, Td]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Tc 6s 4c 6h 5d 2d Jc Ks 4h 9c Jd 2h 5h Ac 7h 7s 4s 8s 9h 8c 5s Kc 9d 3s 5c Ts Qh Td 7c 7d 9s 6c As 3h 2c Js Jh 4d 3d 3c 2s Ad Ah 6d 8h Kh];[Qc, Qd, Th, Qs, Tc];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[Jd, 8c]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 3d Jh 9d Ks 8h 7d Ad Tc 5c As Kc 6c 3c 5h Js Ts 4s 4h 7s 2c 6h 8s 9c 7h 7c 3s 2s 8c Qh 4d Kh 6s Jd 6d Ac 9h Ah 2h 3h Td 5d 4c Jc 5s 9s 2d];[Qc, Qd, Th, Qs, 3d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[7h, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ As 7d 5d Qh 8c Tc 4c 9c 2h Jh 3c 6h 7h Js Kh 3s 5c 2s Td Ac 8s 4h 7s 4d Jc 7c 8h 6d 6c Ad 3d 3h Ks 2d 5h 6s Jd 9d Ah 4s 5s Kc 9s 2c 9h Ts];[Qc, Qd, Th, Qs, As];null;null;null;b1[r:14,64] Hero[c:0,17] ;b1(30) ;-14;b1[8s, Qh]32900;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Td Qh 7c 5s 7d 8c Ah 2d 2s Jh 8s Kh Jd 6c 4c 6d 3s Jc Js 9s 6s 5h 3d 5c 6h 5d 9h Tc 8h 4d Ts Kc 7s Ac As Ks 3h 4s 9c 2c 2h 7h 9d 3c 4h Ad];[Qc, Qd, Th, Qs, Td];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(11) Hero(1) ;1;b1[7s, Tc]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 5d 2h Qh 6c 5h Ah 3c 6h Kh 7s 4c Ac 3s 8s Js 6s 4s 4h Td 7h 7c Ts 8c 2c 6d Ad 3h Kc 8h 9d Jd 4d 9s Jh As Jc 2s Ks 9c 7d 3d 5c 9h 5s Tc 2d];[Qc, Qd, Th, Qs, 5d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[7h, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h 7d 9d 3d Jh Qh Js 2h 2s 9s Ts As 4d 3s 3c 9c 9h 5c 4c Kh 7s 2d 6c 7h 6d Ks 8s Ah 6h Td Jc 5d Ad Kc 7c Tc 4s 3h Ac 6s Jd 5s 2c 8h 8c 4h];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[3c, Tc]28801;b2;Hero[8d, Kd]17098;b0
