 Kd 8d Qs Th Qd Qc] [ 8c 2c 9d 5d Ks 8s 5s 2s 7s Td 4s Ts As 6s 4d 3h Ad 4c 7d 9s Js 7c Jc 5h Jd 2d Kc 2h 9c 3c 3s 4h Jh Ah 7h Ac 6h Kh 8h Tc 5c 3d Qh 9h 6d 6c];[Qc, Qd, Th, Qs, 8c];null;null;b1[c:13,9] ;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(20) ;20;b1[7d, 7c]28798;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 4c 9d 3s Ac 2s 4d 5h Qh 6d 5c 8c Tc 6h Kc 8h 7h 7s 6s Ah 8s 9c 2h 3d 4s 9s Js 5s Ks Kh 7d 2d 5d Jc 2c Ts 9h 3h As Jh 6c Td 4h 7c Ad 3c Jd];[Qc, Qd, Th, Qs, 4c];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[6d, 6c]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Td 6d 2h Kc 5s 6c 4c 3s Jc 7c 4d 2s 6s 9c 7h 6h 2d 4h 5h Jh 3d 3h 9s Ad 8h 7d Qh 5d 5c 4s Kh 8c 2c Ac 8s 3c 7s Js Ks Ts 9d As 9h Ah Tc Jd];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[Ks, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5s 2c 2d 8c 6c Jh 2h 6d Jd 4h 4c Ks Tc 6h 6s 8h Ah Qh 9s Kc 9h 3h 7d 4s 9d 3c 7h 5h 8s Ad 4d 3s 3d Td Js 7s Ac 5c 9c Kh Ts As 7c Jc 5d 2s];[Qc, Qd, Th, Qs, 5s];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[2s, 2h]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3c Jh Tc 5c 9h 7d 2c Ks 5h Jd As Jc 3h 5s Kc Ah 4h 2d 6d 6h Td Ad 2s 2h 6s 9s 8h 8c Qh 3d 4c 6c Ts 7c 8s 7h 9d Js 9c 4d Ac 7s 4s 5d 3s Kh];[Qc, Qd, Th, Qs, 3c];null;null;b1[r:12,66] Hero[r:6,79] b1[c:13,9] ;b1[r:14,64] Hero[c:0,17] ;b1(54) ;-26;b1[Qh, 4c]32897;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3d Js 3s Tc 5h 7d 5s 7s 2c 4c 8s Ts 6s 6d 9h 8h 2s 7h 6h 9s 8c Kc 3h 5c 9c 3c 2h 9d 7c Jd Ah 4h Ac Ad Kh 6c As 2d 4s 4d 5d Ks Td Qh Jc Jh];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[As, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ac 4d 7d 9d Ks Jc 5s 5h Kc Ad 9s 6s 4c Tc As 3h 6h 7s 3d Js 3c Ts 9c 8h Qh 7c 4s 9h Jh 8c 2s 4h 6c 3s Kh 2h Ah 8s 5c 6d Td 2c 2d Jd 7h 5d];[Qc, Qd, Th, Qs, null];null;null;b1[f:13,9] ;null;Hero{12} ;12;b1[Ts, As];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Td Tc 7c 7s 4h 6h 2h 9d 9h 6c Ah 8s Ad 3d Kc 4c 6s 7d 5c As 8h Ks Jd 9c 3c Kh Ac 8c Js 4s Qh 7h 4d 6d Jh 9s 5s 2c 5h 3s 2d 3h Jc 2s 5d Ts];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[8s, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2d 8s Ad 7d 8c Jd 5h Kh Ks 4d 4s 6h 5s 2h 7s Jh 6s 4h 4c 3s Jc 3c Ac Ah 3d 3h Tc 9s 5d 9d 8h 2s As 7c 7h 5c 9h 9c Js Td 6c Kc 6d Qh Ts 2c];[Qc, Qd, Th, Qs, 2d];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;Hero(16) ;16;b1[9s, Jh]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6s Jc Ac Jd 2c 2d 4c 3c 6d Ad 3s Tc 8h 9h Ah 4h Ts 2h 5h 8c 6c Jh 5c Kc 3d 4s 5d 9s 2s 3h 6h 5s 7c 7h 8s 4d Kh As 9d 7d Js 7s Td Qh Ks 9c];[Qc, Qd, Th, Qs, 6s];null;null;b1[r:13,9] Hero[c:0,27] ;b1[c:4,5] Hero[c:0,17] ;b1(38) ;-18;b1[9s, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6s 3c Jc 9c Jd 3d 7s 2h 2s 7c 6d 8s Ac 2c 8c 8h 5s Kc 6h 5c 4h Ad 3s Kh Tc Td 4c 7d Ts 5h Ks Qh 5d Jh 9h 9d 6c 3h Ah 2d 4d 9s As Js 7h 4s];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[As, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7d 3s 4s 6s 2s 6h Ad 5c 4d 8h 2h 9d 3d Js 6c 7h 4c 9c 3c Tc 2d Jd 2c 7s 5d 9s Ks Ah Kc 5h 6d Ac Qh Jc As Kh Jh 9h 3h 8c 4h 8s Ts 5s 7c Td];[Qc, Qd, Th, Qs, 7d];null;null;b1[r:77,17] Hero[c:0,27] ;b1[c:4,5] Hero[c:0,17] ;b1(38) ;-18;b1[5d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4s Ah 8c 7d 9c Tc 6d 6s Ad Qh Jh 6c Kh 4d Ts Td 2c 7h 5h 7c 6h 5c 4h As 8s Jc 3h 2h Jd 5d 4c 5s 9s 3d 9d 3s 7s Ks 8h 9h 2d Ac Js 3c 2s Kc];[Qc, Qd, Th, Qs, 4s];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[5s, 5h]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c 7s 6h 6c 4s 3h 8h 4d 4h 6d 2s Js Kc Jh 4c 3c Jc 8s 2h 7d Qh 5d Td Ah Kh Jd 9h Ad 9c 6s 7h 7c Tc 5c 3d 5s 9s 3s As Ts 5h 2d 8c Ac 9d Ks];[Qc, Qd, Th, Qs, 2c];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Ks, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ad 8c Js 4d Tc 8h 4h 2d 5c 9h Td Kc 9s 4s 3c 7h 2c 7s Kh 6h Ts 9c Jc 2s 8s 6c Ac 6s 3d 5s 3s As Jh 2h 3h Ah 5d 6d Jd 4c Qh 5h 7c Ks 9d 7d];[Qc, Qd, Th, Qs, Ad];null;null;b1[r:12,66] Hero[c:0,27] ;b1[r:14,64] Hero[c:0,17] ;b1(46) ;-22;b1[Jh, Ah]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 5d Jh 8h 3c 5c 9h Td 3s Ah Tc 2d Ad 6h 4c 9d Qh 4d 4s Jc 9s 5s Ts 3h 7c Ac 6c 2s Js 8s 9c 5h 6d 7d 2h Ks Jd 3d As 4h 2c 7s 8c 6s Kc Kh 7h];[Qc, Qd, Th, Qs, 5d];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Tc, Jc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kh 7h Jh 8c Ac 5h Ts Tc 3d 6s 9s 2c 9c 9d 3c 2d 7c 4d Qh 2h 4c 8h 6d 5c 3s 6h 2s As 8s 5s Jc 9h 7s Ks 7d 5d Ad Js Jd 4h Kc 6c 3h 4s Ah Td];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[6d, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ah Jh 4h 7d 2h Ac 6c 3h 4d 2s Ks 7h 3d 6d Kh As 5h 8c 7s 9c 5c Js 3s 6s 2c Ts 9h 9s Td 3c 5d 5s Kc Jd 4s 4c Ad Jc 8h 2d Tc 6h Qh 8s 7c 9d];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[8h, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jc 7s 6h 7c As 5h 2s 6s 2c Ac 5s Jd 7d 7h 8s 2d 3d Ah 4h Qh Kc 2h 6c 9s 4s Jh Ad Ks 5d 6d Js 8h 4c Kh Td 4d 5c 3c Tc 9c 3s 9d 9h 8c 3h Ts];[Qc, Qd, Th, Qs, null];null;null;b1[f:13,9] ;null;Hero{12} ;12;b1[Ah, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5h 3c 6s 5c 7s 5d Ad 4h 8h 4d Kc 8s Qh 2h As 6h Kh Jd Jc 2d 3d 6d 9c Ks Ah 7h Js Td Ac Tc 4c 5s 8c 9s 2c 3h 9d Jh 6c 9h 7c 7d 2s 3s 4s Ts];[Qc, Qd, Th, Qs, 5h];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[Ts, As]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9c Ah 6c Tc Ac 2d 7s 2h Js Qh Jc 4h 3c 2s 5c Jh 5s 9s 3h 3d 8s 7c Ad 4d 6h 8h 5d 6d 8c Kc Ks Kh 3s 9d 9h 5h 4c 6s 2c 4s 7d Ts 7h Td As Jd];[Qc, Qd, Th, Qs, 9c];null;null;b1[r:13,9] Hero[r:0,27] b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(46) ;-22;b1[Td, Jd]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kc 3c Ah Ad Jc 6s Ts 3s 9s 8s Td Jd Js 9h 2s 7d 4h 2c Tc 3d 4d 2d 4c 6c 7s 5d 6d Ks 5c As 4s 7c 7h 8h 9c Jh 8c 2h 6h Qh 5s 5h 3h 9d Kh Ac];[Qc, Qd, Th, Qs, Kc];null;null;b1[c:13,9] ;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(20) ;20;b1[9h, Jd]20489;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 6d Ts 4d Tc Js 6h 5h 3h Ks 4s 8c 7h 9s 7d As Qh 8h 2h 4c 2s 6c 6s Jh Ad 3s 5d Kc 8s Jc 4h 2c 9h Jd 5s 9d Ah 3d 2d Td Kh 9c 5c 7c 3c 7s Ac];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[8h, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Qh 5h Js 6h Jh 6d Jd 3s 9s 4s 6s 8h As Ac Jc 8c Ah Tc 9d Ks Kc 9h Ts 4d 3c 2s 9c 5d 3h 7d 5c Ad 6c 2c 7c 8s 7s 2h 4h 7h 2d 5s Td 3d 4c Kh];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[Jd, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5c 9s Jh 9h Jd 8h Ad 5d 5h As 6d Td 2c Ts 6c 5s Jc 2d Kc 2h 7d 3c Ks Js 8s 4c 9d 6s 7h Qh 8c 6h Ac 7s Kh 3h 3s 7c 2s 4s Ah 3d 4d 4h 9c Tc];[Qc, Qd, Th, Qs, null];null;null;b1[f:13,9] ;null;Hero{12} ;12;b1[3h, 3d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ah Ad 3s Ts 6h 6c 8h Jd Ks 4s Jc 9h 9s 4c 7d 3c 8s 8c 9c 2c 7h 2s Kc 2h 2d Qh As Td Jh 4d Tc 6d 5s 4h 7s Ac 9d 5c 3d Js 5d 7c 5h 6s 3h Kh];[Qc, Qd, Th, Qs, null];null;null;b1[f:13,9] ;null;Hero{12} ;12;b1[Ks, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2h 9h 3c 8h 3h Jc Jh 7c 6h 2s Ts 9s 7d Ac 2d Jd Kc 2c 5d Kh 4d 3d 8s 4h 4s 8c 4c Td 6c Ks 5h 5s Tc 7s 6d Qh Js As 3s 5c 7h 6s Ah Ad 9c 9d];[Qc, Qd, Th, Qs, 2h];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[2d, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7c 8h Ad Td Ts 9d 2d 9h 3s Kc 4h As 4c Jc Ah 9s 8s 3h Jd 5h Qh Ac 9c Kh 6h 2s 5c Ks Jh 5d 6c 2h 4d Tc 3d 5s 7h 7d 8c 2c 3c 6d Js 4s 6s 7s];[Qc, Qd, Th, Qs, 7c];null;null;b1[r:12,66] Hero[c:0,27] ;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(46) ;-22;b1[As, 5c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ks 3s Td 9s 5d Kh 7c Ad 6d 5s 4c 2d 6c 4h 9h 3h 9d 8s 8h 8c Jc Qh As 3c Ts Jd 2h 4s Js 2s 6h 4d Ah 7s 3d 6s Kc Jh 7h 5h 2c 9c Tc 5c Ac 7d];[Qc, Qd, Th, Qs, Ks];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,77] ;Hero(16) ;16;b1[Jh, Jd]28802;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 4h Tc 2d 7s 8h As Js Ac 3c 3d 9h 7h Ah 9d Kc 3h 2c 9c 6s 5d 2s 5c 9s 4d 8c 4s 4c Jc 3s Ad 6c 8s 6h Ts 2h 5s Jh 7d 6d Ks Qh Kh Jd 7c Td 5h];[Qc, Qd, Th, Qs, null];null;null;b1[f:13,9] ;null;Hero{12} ;12;b1[6c, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6s Js As 9c 6d 3d Ac 2h Jh 3h 8s 7d Qh 8c 5h 9h 6h 4s 7c 6c 4d Ks Jd Ts 2d 5c 9d 7h 5s 7s Kc 4c 3s Tc 9s 4h 5d Ad 3c Ah 2s 2c Td Kh Jc 8h];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[5c, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6s Td Ah Ks Ad 6c 7h 9d Jd 2c Js 8c Jh 9s Jc 2h 2d 7s Qh 7c Kc 6d 4s 7d 2s 5d 5s 9h Tc 4d 6h 4c 5h 3d 3c 8h 3h 4h Ac As 5c 8s 9c Kh Ts 3s];[Qc, Qd, Th, Qs, 6s];null;null;b1[r:12,66] Hero[c:0,27] ;b1[c:14,64] Hero[c:0,17] ;b1(38) ;-18;b1[Qh, 6c]32897;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7s 2s 3c 7c 3d 9s 8s 6s 4h 3h 4c Ac 9d Jd Td 7h Ad 2h 9c 5h Kc Ks Qh 7d 5d 2d 9h 8c 6h Ah 3s 6d Jc 4s Js Kh 5s 8h 5c 2c 4d Tc Jh Ts As 6c];[Qc, Qd, Th, Qs, 7s];null;null;b1[c:13,9] ;b1[r:4,5] Hero[f:92,7] ;{14} ;-14;b1[6h, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kh 9h 9c 5c Ts 2c 6c 8h 3h Ah 9d 7c 6h Jc 9s Td 2s 3c 6s 7s Jh 7d Ad 4d 2h 3d Js 5h Jd 4h As 8s 7h Tc 5d 4s Ac Qh 8c 4c 5s Ks 2d 3s Kc 6d];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[Ah, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4d 8h Ac 2c 2d 4h Ad Qh Kc 3h 3c Ts 9h Td 7s Jh Tc 3s 6h Ks 8c Jc Ah Js 7c 5c 9c 4s 7d 4c 6s 5s As Kh 7h 9s 5d 9d 8s 6d 5h 2s 2h Jd 3d 6c];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[Jd, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7s Jc As 2d 5h 4c 7c 8h 5s 3d 4h 4d 6d Ah 6c 2s Js 8s Kc 3s 3c Ac Tc 9c Qh 2h Kh 5c 3h 9s 2c Jd 5d 9d Ad Jh 7d Td 7h Ks 9h 6s 4s Ts 8c 6h];[Qc, Qd, Th, Qs, 7s];null;null;b1[r:13,9] Hero[c:0,27] ;b1[c:4,5] Hero[c:0,17] ;b1(38) ;-18;b1[As, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ As Td 9h 3d 3c Js Kc Ks Ad Tc 2s 4c 9d 2c 9s 6s 7s 6d 5h Ts 5c 5s 8s 4s Ac 2d 6c Qh 7c 4h 3s 3h Jh Kh 5d 2h 6h Ah 8h 9c 8c 7d Jc Jd 7h 4d];[Qc, Qd, Th, Qs, As];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[7h, 7d]28798;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 2s 9d 5c Qh Ad 7c Ah Jh 6s 6c Kh 8h 4s Jd 2d 4h Td 7d 2c 5s 3d Ts 6h 8c 2h 3s Kc 9h 5d 6d Js 8s Ac Ks 9c 7s As 3h 7h 3c 9s 4d 5h 4c Tc Jc];[Qc, Qd, Th, Qs, 2s];null;null;b1[c:13,9] ;b1[c:14,64] Hero[c:0,17] ;b1(30) ;-14;b1[Td, Jc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ah 2h Ad Tc 5h 9s 9h Ks 3s 6d 7d Kc 7c 4s 5c 6c 8s Qh Kh 6h 4c 4d 8c Jh 2d Td Ts Jd 3d 3c 9c Ac 5d 9d 2c 3h Js 4h 2s 5s 7h 8h Jc 7s As 6s];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[Ks, 4h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4d 7h As 2h 4s Qh Jd 6d 2c Jh 8h 3c 9c 5h 7d 8c 9h Ks Td 6h 4c Kh 7s 3s 5s 6c Kc 2d 9s 8s 4h Js 6s Ah Jc 3d Ad 3h Ac 9d 5c 7c Tc Ts 5d 2s];[Qc, Qd, Th, Qs, 4d];null;null;b1[c:13,9] ;b1[c:14,64] Hero[r:0,17] b1[c:4,5] ;b1(38) ;-18;b1[6s, Ts]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8s 3s 2c Ac 6s Ts 7c 9s 5s Jc 5d 6c Ks 3h 4c Tc 3c 8c 2d Qh 6h Kh 7d 2h Td 9c Ad 4s Kc Js 3d Ah 8h 5h 2s 4d Jh 9h As 5c 7h 6d 7s Jd 4h 9d];[Qc, Qd, Th, Qs, null];null;null;b1[f:77,17] ;null;Hero{12} ;12;b1[9d, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6c 5s Kc 5c 5h 8s 8h Ad 3c 2d Jc Tc Ks Jh Ts Qh 4h 2h 7c 7s 3s 9c 4c As Ac 6d 4d 4s Ah Td Kh 2s 3h 7h Js 8c 5d 9d 7d 2c 3d 9s 6h 9h 6s Jd];[Qc, Qd, Th, Qs, 6c];null;null;b1[c:13,9] ;b1[c:4,5] Hero[c:0,17] ;b1(30) ;-14;b1[8c, Tc]28801;b2;Hero[8d, Kd]17098;b0
