 Kd 8d Qs Th Qd Qc] [ 2h Ac Js Td 9c Jc 4d 6s Jh 9d 3d 7c 4c Tc 6c 2s 2c Qh 8h 5c Ah Ts 7h 8c 9h 3s 8s 6d 7s 4h Kh 9s 2d Ad 3h Ks Jd As 7d 3c Kc 6h 5d 5s 4s 5h];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[8s, Js]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3c 4c Td Jh 2s Kh Ad 5d 4s Ac Qh 4h 5c 7h Ks 6d Ts 3s 3h 2c 2d 3d As 6h 5h Jd 8c 8h Js 7s 7d 9s 8s 4d Ah Kc Tc 6c 9c 7c 2h 9h Jc 6s 9d 5s];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[9s, Jd]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jh 7s 6s Kh 4h 7d 2d 7c 5s Jc 8h 9s Tc 4d 6h 3c Ah 3d 7h Ks 9c 5c 2s Jd Kc Ad 3s 6c Js 6d 9h Qh 5h As 2c 5d Td 8s Ac 8c 2h 4s 3h Ts 4c 9d];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[Ad, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4d 6c 7s 3s 9d 8c As 3d 9c 7d Ah Qh 2h 2s 6d Ac Jc Tc Kc 5s Jh 4c Ts Ks 8h 4s Js 5h 6h Kh 3c 2c 4h Jd 5c Ad 7h 3h 2d 7c 6s 8s 5d 9h Td 9s];[Qc, Qd, Th, Qs, 4d];null;null;null;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(22) ;-10;b1[9s, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3s 6h 6c Ks As 9c 8c 4s 2c Js 3h 2d 7c Jh Qh 6d 2h 5s Kh 5d Ah 7d 3c 4h 7s 9h 5h 8h 9s Tc 7h 2s Td Jd 4d Ts Kc 4c Ad 9d 5c 8s Ac 6s 3d Jc];[Qc, Qd, Th, Qs, 3s];null;null;null;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{8} ;8;b1[7s, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3d 7h 2d 2h 9h 3s 8s 5s Qh 2s Td 9c Ac 9s 7c Ad Ah Ts 6s 7d 5c 6d As 5d 8c 4c 2c 4s 6c 9d 3h Jd Kc 4h Jh Js Ks Kh 5h 3c 7s Jc Tc 8h 4d 6h];[Qc, Qd, Th, Qs, 3d];null;null;null;b1[r:6,8] Hero[f:88,11] ;{6} ;-6;b1[As, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5s 2h 8s 7h 3h 9d 4s Ah 2d Qh Ad 4c 9h 7s 2c Kc 8h 9s 3d Kh 7c 3s 3c 5c 6s Js As Jh 6h 7d 5d Ac Ks 4d 8c 6c 9c Jd 6d Td 4h 5h Jc Ts 2s Tc];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[c:18,51] Hero[r:0,23] b1[c:18,51] ;b1(22) ;-10;b1[8h, Qh]32897;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5s Qh 8h Ah 4h As Ts 4s 2s 9d 4c Tc Ks 7s Ad 3c 7d 2c 5c 3s 3d Js 5d Td 9c Kc 2h 6c 3h 9h 8s 9s 6s 4d 7c 6h Ac 6d 8c Jd Kh 2d Jh 5h Jc 7h];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[c:18,51] Hero[r:0,23] b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[Qh, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5c 2h 9d Jc Jd 7h 8h 6h 4c 5d 3c Kc 6d 8c Ah 4h 3s 2d Ts Ac 7d 9c Qh 6s 9h 3d 6c 2s 9s Ad Kh 4s 3h Td Jh As 8s 7c 7s Js Ks Tc 5s 4d 2c 5h];[Qc, Qd, Th, Qs, 5c];null;null;null;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;b1(22) ;-10;b1[Js, Ah]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ks 9s Kh 7c 7d 8h 5c 2s 3d Ah Jc 9h Td Jd Kc 9c Ad As 8s 2h 8c Ac 3c 6s 2c 4s 6h 6c Ts Tc 5d 7h 4c 4h Jh 5s 9d Js 2d 6d 3h 7s 3s 5h Qh 4d];[Qc, Qd, Th, Qs, Ks];null;null;null;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{8} ;8;b1[Ah, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9d 3d 8s 7h Js Kh 3h 2d Ts 2s 7d 6c Ah 4h Jh 3c Ks 7s Td Tc 6h 5d 7c Jd 4c As 8h 6s 9c Kc 3s 5s 8c Ad 2c 5c Jc 4s Ac 4d 2h 5h 9s 9h Qh 6d];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Ks, Ad]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ah 6c 3c Ac Jd 4h 6s 7c Jh 4d Kc 5c Ad 2c 6h 9s 9d 4c 4s As 8s 8c 3h 5h 3s 7h Ks 9c 7s Ts 2s Kh 6d 3d 5s 9h Jc 2d Td Qh Tc Js 8h 5d 2h 7d];[Qc, Qd, Th, Qs, Ah];null;null;null;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;b1(22) ;-10;b1[Ad, 9c]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 2h 2d 7h 5s 9s 7d 7c Ts 8h 4s 6d 3h Ks 4h 7s 5h Js Kh 4d As Jh 2s 3c 5d 6s Jc Jd 6c Tc 5c 3d 2c Ac 8c 6h 8s Td Kc 9h 4c Ad Qh 9c Ah 9d 3s];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[2d, 2c]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2d 6s 5d Js Ah Kh 4h 4s 5c 2s 8h Ks 4c 9d Kc Tc As 8c 9s 5s 2h Ad 3d 3h Jc 3s 7c Jh Jd 7h 3c Ts 2c 6h 5h Qh 6d 4d Td 7s 8s 6c 7d 9h Ac 9c];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{8} ;8;b1[9h, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2c Td 2d 4s Jd Ad Jc 9c 2h 2s 9h 6h 9d Ts 5h 6c 8h 3s Kh Kc Tc As 6s 4c 3h 4h 8s 7c 5d Jh 3d Ks 7d 6d 5s 4d 7s 9s 3c Js Qh Ac Ah 7h 5c 8c];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:18,51] Hero[c:0,23] ;b1(14) ;-6;b1[9s, 9h]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7c Td 5s Kc 5c 8h Tc 3s 6h Jh 9h 8s 7s 3d 6d 8c Kh Jc As 4s 9s 2c Ts Jd 3h 2h 4h Ks 7d Ah 3c Qh 4d 2s 6c 5d 5h 9c 4c 2d Ad 9d 6s Js 7h Ac];[Qc, Qd, Th, Qs, 7c];null;null;null;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{8} ;8;b1[9s, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4h Ad 8h 4d Kc Ks 5d 6s 8c 4c Ac 2h 5s 9c 9d 2s 7s Ts 4s Qh Tc 6c 5h 3h 7h 8s Jc Js Td 9h 2c 9s 5c 2d Jd 6h 3s 7c Kh As 7d Ah 3c 3d 6d Jh];[Qc, Qd, Th, Qs, 4h];null;null;null;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{8} ;8;b1[Js, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3d 6h Ks Ad 6c 2h 4h Ts Kc 3s 7s 3h 9s 7d 5s 2c Qh 4c 8c Td 8s Jh 5c 4s 7h 9h 6d 9c 2d 2s 4d As 5h 6s Ac Jd Js Tc Jc 9d Kh 3c 5d Ah 7c 8h];[Qc, Qd, Th, Qs, 3d];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[9s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3d 9h 9s 4h 2d Qh Kh 7s 5h Kc Ks 5s Tc Jh Td Ad 6d Js 3h 2s Ts 5c 8h 8s 8c 4d 2h 7h Ah 7c 6c 7d 5d 9d As 4s Jc Jd Ac 6h 3c 9c 2c 4c 6s 3s];[Qc, Qd, Th, Qs, 3d];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[9d, Jd]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4c 6c 2c Ad 2h 7d Td 6h 4h Ks 7h 5s Kh 5c 7s 2d Ac Ah 6s 9d 8c 3d 5h 3s 8s 4d 9c As 6d Jd 7c 9s 3c Jc Ts Jh 8h 2s 4s Qh 9h 3h 5d Tc Js Kc];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[9h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ad Tc 7h 6h 6c Kc 2d 5c 9d 6d Js 8c 7c 2h 3c 3s Jd 9h Ks 4d 9s As Jc 5d 3d 2s 5h 4c 4h 2c 6s Td 4s 9c Kh 8h Qh Ac Jh 3h Ah 7s 5s Ts 8s 7d];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[c:18,51] Hero[c:0,23] ;b1(14) ;-6;b1[7s, Ah]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Kc 4h 5c 6d Ac 5s 2d 6s 9d 9h 6h Jh 2h 5d 9c 9s 8c 8h Qh 7d Ks Td 6c 5h 4c As 4s Ts 7s 4d Ad Tc 3c Js 2s Jc Ah 7c Kh 2c Jd 8s 3d 7h 3h 3s];[Qc, Qd, Th, Qs, Kc];null;null;null;b1[c:18,51] Hero[r:0,69] b1[r:18,51] Hero[r:0,23] b1[f:18,51] ;Hero{16} ;16;b1[3h, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ac 9s Jh 3d Js Ad 4c 4s Jd 8c 3c 6h 9d 2h 3s Kc 9c 5h 7d 7s Tc 6c 8s 7c 2s Ts 2c Jc Qh 7h 9h 3h 5s 8h 4d Kh 2d Ah 5d 6s Ks 6d 5c Td As 4h];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Js, Kc]20490;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 4s 3s 9h 8h Tc 9c 7h 5s Ks Jh Jc Js 2c Ac 2h 5d Qh 4h 5h Ah Ts 7d 5c 6c Kh 9s 7s 9d 3c 8s 4d 8c 3h As Kc Td 6d 2d 3d 4c 6h Ad Jd 2s 7c 6s];[Qc, Qd, Th, Qs, 4s];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Jd, Kc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ts 6c 7s Ac 3c 5d Ks As 8h 6h 9d 2c 8s 9h 5c 4s Jc 2d Td Js 6d Kh 3d Ah 2h Qh 3h 9s 9c Tc 7c 6s 7d Jd 4d 3s 7h Ad Kc 5s Jh 4h 5h 4c 2s 8c];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(7) Hero(1) ;1;b1[Js, Ks]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 6h 9d 5d 5c 6d 5s 8c Jh 7h 2c Ah 4d 8s 3s 2s 4h Jc 3d Ac 3c 5h 7d Tc As 7s 7c Qh 9s 4s 9c 2d Td 8h 6c Ts 4c Js 2h Kh 3h Ad 9h 6s Jd Kc Ks];[Qc, Qd, Th, Qs, 6h];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[4d, 4c]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5s 7h 4d 8h As 8s 6c 2s 4h 9h Ks 6s 3h 7s 5h 7d 5d 3s Kc Ts 3d 9d 2h Jh Js 5c Qh 8c Ac 2d 2c Ah 6h 7c 9s Jc 3c 4c Tc Ad Kh 4s 6d 9c Td Jd];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[c:18,51] Hero[r:0,23] b1[c:6,8] ;b1(22) ;-10;b1[7s, 7h]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8c Td 5d 5s 3h 9s Qh Ad 2c 9d 3c 5c 9h 6c Jd 2h 7h Jh 5h 6d 3s 9c Kh 7s 4h Tc 3d 4s 7c Kc Ts Js 8h 6s Ah Jc 6h 2d Ac As 4c 2s 8s Ks 7d 4d];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;Hero(12) ;12;b1[9h, Jh]20488;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ Ks 3s Ac 4d 2d Ts 5d 9h 8c Kc 7h 8s 9c 7c 3h Jh 4h 5s Td Jd Ad 2h Tc 2c 7d 3c Js 9d 6c 4c Qh 2s Ah 7s 5h Kh As 8h 4s 3d 6d Jc 6h 5c 6s 9s];[Qc, Qd, Th, Qs, Ks];null;null;null;b1[c:6,8] Hero[c:0,69] ;Hero(8) ;8;b1[8s, 9h]17098;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 7s 4s 2s 8s Ad 4h 9d 6d 8c 5s 9s 3c 4c Kh 5d 6h 7h 2h 6s 7d 5h 8h Ah Js As 7c 3d 3s 9h 2d Kc 6c Jh 9c Ac 2c Td Jd 3h Ts 4d 5c Tc Jc Qh Ks];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[r:18,51] Hero[c:0,69] ;b1(22) ;-10;b1[Jc, Kc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6h 2d 6d 9s Tc 6c 4d 3h 2c Td Js 5c Qh As 9d 5h Ks 3c 3s Kc Jd 9h 5s Jc 7c 8s 4s 4c Ad 3d 6s Jh Ah 8h Ts 2s 4h 9c 7h 5d Ac 8c 7s 2h 7d Kh];[Qc, Qd, Th, Qs, 6h];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[As, 5h]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ad 5c 6s 9h 2d 8c 3h Jc 3s 5d Tc Ks 9c 8h 5s Td Kh 6d Ah 4h Qh Js 7s 2s As 7d Kc 4s 6h 2h 7h Ts 9d Jh 7c 9s 4c 5h 3d Jd 4d 3c 2c Ac 8s 6c];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[8s, 9s]17108;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Td 7s 6s 9h Js Jh Tc Kh 5h 4h 7h 3h 6d 9d Ts Qh 2h Ah 8c Jd 5d Ks Ac 4c 5s 5c 3d 2s 9s 8s As 2d 7d 9c 6c 2c Kc 3c 7c 4d 8h 3s 6h 4s Ad Jc];[Qc, Qd, Th, Qs, Td];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(7) Hero(1) ;1;b1[Js, Ad]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Qh 8c Kc 7s 2d 5h Jd 9s 6c 9h Jh Td 7d 3s 2c Ad Kh 5d 8s Jc 2h Ts 4s 9d 5s 6h 8h Ac 4c 7h 6d Tc 3c Ks 6s 4h 4d 3d Js Ah 3h 7c 5c 9c As 2s];[Qc, Qd, Th, Qs, Qh];null;null;null;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{8} ;8;b1[7h, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Qh 9c 7c Jh 6d Jc 5h 8h Ad 4d 2c 5d 7d 3c Ah Td 3d 8s 9s 3s 2h 9h 2d 7s 9d 4s Kh Jd 3h Kc 2s 4c 6h Ks 5s Ac As Tc 8c Js 4h 7h Ts 6c 6s 5c];[Qc, Qd, Th, Qs, Qh];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[8h, Tc]32897;b2;Hero[8d, Kd]32899;b0
 Kd 8d Qs Th Qd Qc] [ Ad Ks 6h Ah Ts 9c 5h Qh 3c 8h Jc 2h 2c As 7h 8c Jd 4d 9s 5s 6c 5c 8s Js 4h 6s Kh 2d 7c 2s Td 7d 9h Kc 5d 3s Tc 6d Ac Jh 4s 3d 3h 9d 7s 4c];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(22) ;-10;b1[As, 5c]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 3c 7d 8s 7c Jh 5c 6s 9h 5s 7h 6h 9s Ac 9c 7s 4c 9d Kh 6d 4s Js Td 2c Jc 6c 3d 4h Qh Ad Ks As 2d 4d Tc Ah Kc 5h 3h 8c 5d 3s 2h Jd 8h 2s Ts];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;b1(22) ;-10;b1[Kh, Ac]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kc Jc 5d 6h 4s 7c 2c Kh Jh 3s Ah 8c 5s 9s Td As 9c 2h 5c Tc 6d 8h 4h 2s 7h 7s 3d 3h 4d 6c 2d Ks 5h Ad Jd Ts Qh Js 9d 8s 6s 4c 3c 7d 9h Ac];[Qc, Qd, Th, Qs, Kc];null;null;null;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{8} ;8;b1[9s, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2h Jh 4d 7c 2s 6c 4h 8h 9h 7d 5c Js Qh 6s 3h 5s Jd Jc 7h 3d 2c 4c 6d 9d Ac Kh As 5d Kc Td 5h Ks 6h Ad 7s Ah 2d 9s 9c Tc 8s 3s Ts 8c 4s 3c];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[r:18,51] Hero[f:88,11] ;{6} ;-6;b1[9h, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ah 6h 4d Jh Ac 2d As 7s Kh Qh 3d 6s 3c Jd 9s 2h 5s Ts Kc 5c 4s 5h 8h 4c Td 8s 2c 7c 5d 8c 9d 6d 3h 4h Jc Ks 2s 7d 9h Tc Ad 3s 9c Js 6c 7h];[Qc, Qd, Th, Qs, Ah];null;null;null;b1[c:6,8] Hero[r:0,23] b1[r:85,14] Hero[c:0,23] ;Hero(16) ;16;b1[9s, Jc]17109;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Ad As 6d 2d 6h 4h Jh 8c 2s 8h 7s Td Qh 2h Js 4c 3s Kh Ah Ac 9s Kc 6c Ks Jc 9d 7h 4s 8s 5c 4d Tc 7d Jd 5d 5h Ts 5s 3h 6s 3d 7c 3c 9c 9h 2c];[Qc, Qd, Th, Qs, Ad];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[9s, Jc]17109;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 9h Td 9c 7s 3d 2h 5c 8c Jc Kc 3h 3s Jh 6h 4h 2s 8s 5d Ad 2c Kh Ah Ts 9d 5s Tc As 4d Qh 8h 7d 7c 3c 4s 9s Js 7h 6s 6c Jd 2d 6d 5h 4c Ac Ks];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:6,8] Hero[c:0,69] ;b1(14) ;-6;b1[Ad, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c 3d 8c 2c 5d 4c Jh 5s 2d 7h Ah 6s Jd Ts 8s 8h 4d 9c Ad 4h 5c 4s 9s 6h Ac 2h 7c Js Ks 3s 9d 5h As Kh Td 3h 7s Qh 3c Jc 6d Tc 7d Kc 2s 9h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[6h, Ad]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2h 6h 5h Ts 9h 7h 3s 5c 9s 6c Jh Kh 2c 7d As Ah 5s Kc 4c Td 3h 8h 3c 3d 7c 2s 6d Qh 4s Jd 9c Js Ad Ks 8c Tc 5d 4h Ac Jc 7s 4d 8s 9d 6s 2d];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Kh, Ah]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2h 3s 9s 5d 4d Kh 3d 7c 5s 9d Qh 2c 8c Td Ac 2d 6h Jd 2s Ks 7s 3h 4s 5h Js As Tc Ts 9c 3c 8h 6d 6c 9h 6s 8s Ad Jh Ah Kc 7d 4c 4h Jc 5c 7h];[Qc, Qd, Th, Qs, 2h];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[3c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3h Jd 2c 9h 9c 2d 6s 3c 5h 7s Kh Tc 7d Td 6h Jh Ac 5s 7c 2h 6c 4h As Ah Jc Kc 3s Ad 6d Ks 5c Ts Qh 9d 5d 2s 4d 4c 9s 7h 8h 8s 3d Js 4s 8c];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;b1(22) ;-10;b1[Ah, 8c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ks 4h 3c 3s 7h Ad 5d 2h 9d 7s Qh Jd 4d Ah Kh Jh Td 7d 9s Jc As 8h Kc 2d 3h 4c 8c 3d 6c 9c Js 8s 2c 7c 6s Ac Tc 5h 5c 6d 4s Ts 9h 6h 2s 5s];[Qc, Qd, Th, Qs, Ks];null;null;null;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{8} ;8;b1[Js, Ks];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3s Ah 8s 2d Kh 4c 2h 7h 6d Tc 9c 5d 5c 9d 5h Jh Jc Ts 2s Ad 4h 3h 6s Kc 7d 9h 2c 8h 6c 3d 4d 7c Js Td As 6h Jd 7s 8c 5s Ks 3c 9s 4s Ac Qh];[Qc, Qd, Th, Qs, 3s];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[Js, 9d]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2s Ah 3d Ks Kh 9c Ts Qh 4h 8s 4s 5d 6s Ac Kc 3s 2h 6h 9d As 3c 7h 6d 9s 5h Js Jc 5c 4d Tc 7d 3h 7s 8h 4c Jh 5s 2c 9h 6c Jd 7c Ad 2d Td 8c];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[9s, 8h]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9c 3d 9d 5s Ac 4c Tc Td 2h Ts Jc 7h Qh 4h 2d As 5d 3h 8c 5c 3c 6d 6h Ad Ah 3s 9s 9h Jd 7c 7d 8h 5h 4s Kc Js Ks Jh Kh 2s 2c 7s 4d 6s 6c 8s];[Qc, Qd, Th, Qs, 9c];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[6c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Tc Ts 5h Ah 7d 3c 8c Js Jd 2h 7h Td 9d 6d 5d 2c 9s 6c Kc 3s 4h Ac Jh 8s 4c Ad 4s 6s 5c 4d Qh 7c 5s 9h 7s As 2d 9c 3h Kh 2s Jc 8h Ks 3d 6h];[Qc, Qd, Th, Qs, Tc];null;null;null;b1[r:18,51] Hero[r:0,23] b1[f:6,8] ;Hero{12} ;12;b1[Ah, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6c 3s Qh Ac 2c 6h 5c 8h 4h 7c Kc As 8c 4c 2s 7s 3h Jc 4s 3d Jd Ts 9c 5h 4d 8s 7h Ks 6d 2d Js 9h 7d 2h Tc 5d 5s Ad 9d Jh 3c 9s Td Ah 6s Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] Hero[r:0,23] b1[f:18,51] ;Hero{8} ;8;b1[As, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kh 5s 6d 6c 3d Js 3h 6h 5c 4h Ks Td 2d 4d 7s Ac 9s 7h Tc 6s Ts Jd 4s 2c 9h 3s 7c 8c 8s 9d Ad 4c Ah 2s Kc 5h 8h Qh 5d 9c 2h Jh 7d 3c As Jc];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:18,51] Hero[r:0,69] b1[c:6,8] ;b1(11) Hero(1) ;1;b1[Js, Ks]28803;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 8c 6s 5d 2s 2c 3c 9s 3s 6c 5c Ts Kh As 9c 2h 4s 8s Kc 4c Jd 3d Td 6h 4h Ad 7s Qh 7c 6d Tc Jh 3h Ac Ks 4d Ah 8h Js 2d Jc 7d 7h 9h 9d 5h 5s];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[c:18,51] Hero[r:0,69] b1[c:6,8] ;b1(22) ;-10;b1[As, Ac]28804;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 5d 4s 2h Tc Ks Js 6c Jd 5c 9h 2d Ac Ad 8c 4d 7s 3d Kc 6s 8h 8s 5s 3h Ts Jc 7c Ah 3c As 6h 2s Qh Jh Kh 9c 3s 7h Td 4c 9s 6d 7d 4h 5h 2c 9d];[Qc, Qd, Th, Qs, 5d];null;null;null;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[9s, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ah 7c 6c 5d 4s As 3c 2s 7d Jc 4h Ad 5s 2d Ac 9s Qh 8h 2h 9c 3h Ts 3d Jh 9h 4c 8s 5h 6d 8c Js 9d 6s 2c Jd 5c 6h Kh 3s 7s Ks Td Tc 7h 4d Kc];[Qc, Qd, Th, Qs, Ah];null;null;null;b1[c:6,8] Hero[c:0,23] ;Hero(8) ;8;b1[Js, 9h]17109;b2;Hero[8d, Kd]17110;b0
