 Kd 8d Th Qd Qc] [ 5c 9s 6c 4c Tc 9c Ks Kh 7h Qh 4d 9h 3h 2d Ts 2s 2c 5d Ah 7s 5h 7c 3c Td 6h Kc Jc 3s As 6s 9d 7d 8c 6d Js Jd 4s 8h Qs Ad 4h Ac 5s 8s 3d Jh 2h];[Qc, Qd, Th, 5c, null];null;b1[r:8,75] Hero[c:0,16] ;b1[r:7,80] Hero[f:92,7] ;null;{8} ;-8;b1[Qh, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ac Qs 4s 7d Tc 5c 2d 7h 4h 5h 4d Ad 6s 2h Jc Ks 3s 6h Td 5d Kc 3d Jh 9c Jd 6c 4c 9s 3c 8c 3h 7s 8s 2c Ah Js Ts 2s 6d Qh As 5s 8h 9h 7c 9d Kh];[Qc, Qd, Th, Ac, Qs];null;b1[r:6,6] Hero[c:0,16] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,87] ;b1(18) ;-8;b1[9d, 9c]28800;b2;Hero[8d, Kd]17110;b0
 Kd 8d Th Qd Qc] [ 9d Ah As 6s Tc 9h 5h 8c 7h Kc 4c 2s Ts 9s 4d 2h 5s Qh 7c 3s 6d Jh Ks 7s 6h Ac Qs Td Jc 6c 2d 5c Kh 7d 5d 8s 8h Ad 4s 3d 9c 2c Jd 3c 3h Js 4h];[Qc, Qd, Th, 9d, Ah];null;b1[c:6,6] ;b1[r:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[8s, Jc]20488;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 8h 8c As 2h 9d 7c 5s 6s Ac 7h Tc Kc Js 9h 9c 2d 5h 3s 4h 3d 6c 7d Jh 3h 4d 5c 2s 9s Ts Td 3c 6h Kh Ks 7s Jc Ad 6d 5d Qs 4s Jd Qh 4c Ah 2c 8s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7c, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Js 8c 2c 9c 6c 6d 8h 3c 2d 2h 9h 7h As 4d 8s Qh Jc 7c Ah 5d 4s Td 9s 3s 6s 5h 7s 2s 7d Ks 3h Jh 3d 6h Ad Jd Ac Kc 4h Ts 5s Kh 9d Qs 5c 4c Tc];[Qc, Qd, Th, Js, 8c];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[r:7,80] Hero[c:0,16] ;b1[r:8,78] Hero[c:0,9] ;b1(38) ;-18;b1[Kh, Ac]20490;b2;Hero[8d, Kd]12859;b0
 Kd 8d Th Qd Qc] [ Qs 2h 9d 4d Td Ks 3s 3d Ah 7s 9s 5s 5d Ts Kh 6s Js 2c 5c Tc 6h 9h 7d Kc 2d 4s 3c 8h 6c 3h 6d Jh 8c Qh As 7h Ad Jc 4c 5h Jd 9c 7c 8s 4h Ac 2s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2c, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2c 4d 4s 3s 9s Tc Ts 3d Jh 7c Qh 8c Ks 7s 8s 9d 7d 6h Ad Jd Ac 5s 5h 5c Js 8h 6d 6c 5d 3c 7h 2s 4c 2d Kh 2h Qs Ah 4h 9c 6s Jc Td 9h As 3h Kc];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3c, 4c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Qh Tc 7c 3h Jh Kc 5h Js 3c Jd Kh 4c 9c 2c 5c 5s Ks Ac 8c 6h 4s 2d As 6d 7h Jc 3s 2s 4h Td 8s Ah 4d 7d 9h 7s 9d 5d 6s 2h Ts 9s Ad 3d 6c Qs 8h];[Qc, Qd, Th, Qh, Tc];null;b1[c:6,6] ;b1[r:7,80] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(15) Hero(1) ;1;b1[Kh, Jc]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Th Qd Qc] [ Ts 9c 9s 8s 3c 9d 3h 2s Td Ad 9h Jh Jd Ac 4c 5d 7d 8c Js 2c 8h 2d 4s 4h 6h As 7h Qs 5s 5c Qh 6d 3s Ah 2h 7s 4d 7c Kh Jc Ks Tc 3d Kc 6c 6s 5h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4s, 8s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2c 3s Jc 8s 4d 6c 2h 4s 5s Qs Ks Jh 3d 7s Kc 7d As 9d 2d 6h Tc 9s Td 8c 2s Ts Jd Ah 4c 9h 3c 6d 8h 7c Ac 5h 9c Qh 5c 3h Ad Js 7h 6s Kh 4h 5d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3d 5d 8h 9c Qs 5h 2s 4h Jc 5c 2d Kh 7c 7s 2c 9s Ad 4c 9h Td Js 3h 2h As 5s 6c Jd 9d Ac Kc 3c 6d Qh Jh Ah 6h 7h 8s 4d Tc 7d 3s 4s 8c 6s Ts Ks];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5s, 4h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7s 3h 4d 4h 4s 4c 6c 2c Jh As 8c Ad 5c 5s 7c Tc 9d 3s 6s 2d 3c 8s 5h 2h 5d Ks Jc Qs Qh 7d 9c 2s 9s Ah Js Jd Kh Ts 6d 6h 9h Kc 7h Ac 3d Td 8h];[Qc, Qd, Th, 7s, 3h];null;b1[c:6,6] ;b1[c:7,80] Hero[r:0,16] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ts, 8c]12878;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 8h 8s 9s 4s 2s 3h Tc As Ks 2d 5c Jc Ts Td 9d 2c 5h 3d 9c 7c 6s Ah 3c 2h 4d Jh Qh 7s Ad 8c 6c Kh 6h 4c 5s Jd 7d 5d Ac Kc Qs 9h 6d Js 7h 4h 3s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6s, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jc 9c Td 8c 9h 6s 7s As 9s Tc Ah 3c 2h Ac 6c 5d 8s Kh 9d 5c Js 8h Qh Jd 2s 6d Ks Qs 5s 6h Ad 3s 7d 3d Jh 5h 3h 4c 2c 4h Ts 7c 4s 4d Kc 2d 7h];[Qc, Qd, Th, Jc, 9c];null;b1[c:6,6] ;b1[r:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;b1(30) ;-14;b1[Kh, Ah]20490;b2;Hero[8d, Kd]20489;b0
 Kd 8d Th Qd Qc] [ 8h 4h 7s 4s Ks 3d 9d 5h Ad Ac Qh 8s 7d 8c 9h Ts 6d 3s Td Jd 6c Qs 2s 3h 2d 2c 2h Kc 9c 7h Jh Kh 3c 9s 5d 4d 4c As 6h 7c Ah 5c Tc 5s Jc 6s Js];[Qc, Qd, Th, 8h, 4h];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;Hero(12) ;12;b1[Jh, Ad]10602;b2;Hero[8d, Kd]12859;b0
 Kd 8d Th Qd Qc] [ 9h 8h Kc 4s Ts Ks 6h 5h 8c 4d 3c 3d 2s 3h Ad Ac 4h Ah Js 6d Jc 5s 4c Kh 8s 7c 9d 9c Qh 2h Jh 6s Tc 7s 7h 6c Td 2d Jd Qs 2c 5c 7d 3s 9s As 5d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5s, 3c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4d 2c 8c 5s 3d 7c Qs As Td 2s 4c 3h 8s Kh 5c Ad 4s 6c 2h Ks 5h 5d Jd 7h 9h 3c 7d 6s 9d Kc Ts 3s Ac 6h Js 9c 2d Jc 9s Ah Tc 8h Qh 4h Jh 6d 7s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3s, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8s Tc 2d 8c 5s 7c 4c 7s Ah 5d Kc 2c 7h 6c Js Ad 9d Kh 9c 7d 4s 3c Jd Jh Jc Qh Ts 9h 9s 6s 5h 4h Qs Ac Ks 3s 2s 8h 3h 5c 3d 6d 4d 6h 2h Td As];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, 4c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6c 9h 4d 9c Ah 3h 5h Ad Js 7d 3s 7h Jh 6d 8c Kh Kc 5c 8h 5d 2s 9d 7s Ac Qs 9s 2c 4s 2d 6s As 2h Jc 5s Jd 3d Qh 8s 3c Ts 7c Tc 4h Ks 6h Td 4c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3h, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2s 8h 3s 8s 7d Td 2c Jh Qh Ks 7h 2d Ac 6c 5h Jd 4c 9s 9d 6s 5c 6h As 7s 8c Js 4s Ah Tc Qs 9c Ts 6d 2h 4h Kh 4d Kc 9h Jc 5s 7c 3h Ad 3c 5d 3d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7s, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jd 2d Jh 9d 5d As 3s 4c Ad Td 2s Jc 6s 9h 6d Kh 5c Qs 9c Ac Js Ah Ks 6h 7s 8s 5s 7h 2h Ts 4s 3d Kc Qh 2c 4h 8c 3h 7c 9s 7d 5h 4d 6c 3c 8h Tc];[Qc, Qd, Th, Jd, 2d];null;b1[r:8,75] Hero[c:0,16] ;b1[c:8,5] Hero[r:3,88] b1[c:7,80] ;b1[c:2,3] Hero[c:0,87] ;Hero(14) ;14;b1[8h, 6c]10511;b2;Hero[8d, Kd]25341;b0
 Kd 8d Th Qd Qc] [ 7s 3c 9d 2c 2s Jh 4h 2d 8h Qs 6c 3s 5d 3h 9h 8c Jd Tc Jc 5h Ah Ts 7d Qh 5s 2h 9s 4d 3d Ad 6d 6s 8s 9c 4c 4s 7h 7c 6h Js Kh Kc Ks Ac As 5c Td];[Qc, Qd, Th, 7s, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[5d, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ks 8c 3d 3s 5c 6s 3h Jc 6h 9s Kh 4c Ac 5h 9d 5d 8s 9h 7h 6d 9c Jd Td Ah 7c 4d Kc 4h 7s Js 6c Qh Qs 5s 2s 2c 4s 7d Jh 8h Tc 2d Ad Ts 2h 3c As];[Qc, Qd, Th, Ks, 8c];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[r:0,87] b1[r:8,78] Hero[c:0,9] ;Hero(20) ;20;b1[9c, Tc]12881;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ 9c 4s Ad 3d 4h 5s Ks Ts 7s Ah 2d Qh 9d 3s 6c 2s 9s 6s 5c Td Ac 9h Jc 3h 7d Kc 6d Jh 5h 2h 7c Kh Js 8c 6h As 5d Qs Tc 8h 2c 7h 3c 4d Jd 8s 4c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6d, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Qh 4h 6s Ks 7s Jh 5s Jd As 3s 3d 2h 9d 7h 5d 5h 2d 7d 6h Kc 9h 4s Tc 6d 7c 9c 2s 2c 8s Ac Kh Ah Js Ts Td Jc 5c 3c 8h 6c Qs 8c 9s Ad 4c 3h 4d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3s, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7s Jh Js 6h 4c 9c 8h Ac 3s 5d Ad 8c 2c 2s 3c As 4d 4h 9h 7h 7c 2h Qs Jd 5s 8s 6s Qh 3d Kh 7d 2d 6d Ts 4s Tc Ks Kc 9d Jc 9s Td Ah 6c 3h 5h 5c];[Qc, Qd, Th, 7s, Jh];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[9c, Jc]12891;b2;Hero[8d, Kd]10557;b0
 Kd 8d Th Qd Qc] [ 6s Jh 6h Jc 2h 4s 8c 7s Js 4d Tc Kh 6c 5d 7c 9c 5h 7d 5c Qh 3c 9h 3s As 2s Td Ks Ac 8s Ad 6d 2c 3d 9d Ah 2d Qs Ts Jd 4h 7h 8h 5s 9s 4c 3h Kc];[Qc, Qd, Th, 6s, Jh];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[Js, Td]12891;b2;Hero[8d, Kd]10557;b0
 Kd 8d Th Qd Qc] [ 5d 8s Ac Kc 4s 2c Qs 7d 9c Tc Js 2h 5s 5h 6s Ts 9d 7h 3h 2d Ah Qh 2s 8c Ks 4d As 4c Ad 9s 3c 7s 9h 7c Jd 6d Jh 6c Td 8h 5c 6h Jc Kh 3s 4h 3d];[Qc, Qd, Th, 5d, 8s];null;b1[c:6,6] ;b1[r:7,80] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(30) ;-14;b1[Ts, Td]28778;b2;Hero[8d, Kd]12859;b0
 Kd 8d Th Qd Qc] [ 2s 7d Qh 6c 3c Kc 3h 5h 3d 4c Kh 2h Ah 7s 4h 5c 6s 7c Ks Jd 7h As 9d 6d 9s Td Js 9c 5s Qs 4s Ad Jc Jh 3s Ac 6h 2c Tc Ts 5d 8h 2d 9h 8c 8s 4d];[Qc, Qd, Th, 2s, 7d];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[9s, Kc]10548;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 9s 3s 3d Js 2s Ac 5h Ah 9h 4c 4d 6s 6h Kc Jd As Td 2c 8c 4s Jh 5s 9c 2d 5d 5c 4h 2h Ks Jc Ad 3c 7h 6d Tc 3h Ts 6c Qs 7s 8s 8h 7c 9d Qh 7d Kh];[Qc, Qd, Th, 9s, 3s];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[5h, 5d]12824;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ 9h Jc Ac 9c 3d Tc 7c Jh Kc Ks 5h Jd 7d Qh 3c 2c 8c Qs 3h Kh Ad 4c 9s 5d Td 2s 4h 6s 4s 5s 6h 3s As 7s 2d Ah 4d Js 5c Ts 2h 6c 7h 6d 8h 9d 8s];[Qc, Qd, Th, null, null];null;b1[f:8,75] ;null;null;Hero{6} ;6;b1[9d, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9s 4s 5c 4d Ks 6d 2d 7s 5d 2h Kc Ac 7h 9d 3s 5h 7c Tc 8s Ah Js 3c 5s 9c 4c 8h Jc 2c 6s As Jh Qs 3d Jd Ts 7d 8c 4h Ad Qh Kh 3h 9h 6h 6c 2s Td];[Qc, Qd, Th, 9s, 4s];null;b1[c:6,6] ;b1[r:7,80] Hero[r:0,16] b1[c:8,5] ;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(38) ;-18;b1[9d, Kc]12870;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ 7c 5s 2h Ad 9d 2s 9s 3h Ah 8h 4c 6h 2c 6s 9h 3c Jh Td 7s Qh 2d Ts Jc 4h 5c Jd 3s 9c 4s Kc 7h 4d Js 7d 3d 5h 8s Tc Ac 6d Ks Kh Qs 5d 6c As 8c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2s, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Qs 9s 7s 7c 9h 4h 2c 7h 4c 4d Ks Ts 2h 9c 2s Tc 2d Jc 6s 3s 5s 8c 8s 5d 5c 3d 5h Ad Js 7d 4s Kc Kh 6h Jh Ac Qh As 3c Jd 6d 9d 3h 6c Ah 8h Td];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[8h, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3c Ts 9s Ac Ks 3d 2d Jc 7s 8s 9c 5d 9d 5h 8h 7c Td Kc Jh 4s 3s Qh 5s As Ah 2h 7d 6h 8c 7h 9h 4h 6d Ad 6s 3h 5c 2c Jd 4d Js 6c 2s Kh 4c Qs Tc];[Qc, Qd, Th, 3c, Ts];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,9] b1[f:94,5] ;Hero{8} ;8;b1[9s, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ts 9h Qh 9d 5c 6s 5h Ah 6d 4c Jh Jd Kc Ks Tc 4s 8s 8h Ac Ad 3c Qs 8c 4d Jc 5s 9s 6h 3h 2d Kh 2c 7d 2h 7c 3d 3s Td 7s 2s 5d As Js 6c 4h 7h 9c];[Qc, Qd, Th, Ts, 9h];null;b1[c:6,6] ;b1[r:7,80] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(30) ;-14;b1[As, Ac]13133;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ 3d 2h 9h Ts 6s Ks 9c 4d 3h 9s 4c 5c Qh Js 8h Ah Jd 8s 2c 2d Kc Td Jc 7s 9d Tc Qs 8c 5s 2s Ac 6d Jh 6h 7h Kh Ad 3c 4h 3s 5h 7c 5d 7d 4s 6c As];[Qc, Qd, Th, 3d, 2h];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[5d, Ad]10589;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 2d Js Tc 5c 4s Ks 7c 6s 2h Jh Ac Td 5d 9c 5h 6d 9h Qh Kh 8h 4c Qs Jd Ad 3h 3s Kc 6h 9d 7s 8c Jc 5s 7h Ah 6c 9s 4h 3d 3c 2s 2c Ts As 8s 7d 4d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[9s, 6h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4s 3c 2h 2d 8c Ac 7h 6s 5s 4d Ah 9s 2c As 7d 5c Ts Ad 9d 2s 9c 3s 3d 9h 7s Tc Jc 8s 6d 7c 6c Jd Js Td Qh Kh 8h Kc 4c Jh 5h 6h 5d 3h Ks Qs 4h];[Qc, Qd, Th, 4s, 3c];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[r:8,78] Hero[f:96,4] ;{6} ;-6;b1[5c, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6d Kh 5c 9h Ts 4s 9s 9d 8s 7c 5d 8c Jc Ah 2d Ac Jh Kc 3d 3c 7s 2c 5h 3h 6c Js 6h 6s Jd 7d As 4d 7h 5s Qs Qh 2s 2h 9c 4c 3s Ks 4h Ad Td 8h Tc];[Qc, Qd, Th, null, null];null;b1[f:6,6] ;null;null;Hero{6} ;6;b1[8h, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2s As Ah 7s 3c Td Qh 3h 4c Kh Kc 3s Jd 6h Jh Ad 4d Js 8s 5d 6d Ks 9c 2c 2d Qs Ts 4h 6c 8c 4s 5h 2h 7c 3d 9d 6s 7d Tc 9h Ac 8h Jc 5s 5c 9s 7h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5s, Js];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9s Qh 2d Jd 4h Ks 2s Tc 9c Ad Jh 2c 3s 7d 3d 7h Kc 6h 9h 7s 5h 3h 4c Qs Js 6s As 7c Ac 9d 8h 5c 5d 3c Jc 5s 8c 6d Td Ts 2h 6c 8s Kh 4d Ah 4s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4s, 3h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2s 6d 5c 6c Td Jd 7s 9h Qh Kc 6h Jh 3c 4d 7h Tc Ac 9s 2h 5d Js 2d 2c 4c 6s Ad 3d 8h 9d 3s 7c 4h Kh Ts Ah Ks 7d 5s Jc 3h 9c 8c 5h As 4s Qs 8s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5h, 6h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Js 6h 2s 4s 7c Kc 9s 8c 2d Ts Qh 3c 7s 6d 4h 3h 5s As 6s 2h 7d 3d 7h 5h 4c Tc 9d 4d Jc Ks Ac Td Jh 8s 2c Ad 8h 9c 6c Kh Jd 9h 5d 3s Ah Qs 5c];[Qc, Qd, Th, Js, 6h];null;b1[c:6,6] ;b1[r:7,80] Hero[c:0,16] ;b1[r:8,78] Hero[f:96,4] ;{10} ;-10;b1[Jc, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Td 2h Ts Ad 2c Qh 5d 9d Js Ks 6c Jd Jc 2s 7h As Tc 3s 3h 7d 5h 9c 8h 9s 3c 3d 6s 2d 4s Kh 5s 8c 4c 4h 4d 5c 9h 8s Ac 7c 6h Jh Ah Qs 6d Kc 7s];[Qc, Qd, Th, Td, 2h];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:8,78] Hero[c:0,9] ;Hero(8) ;8;b1[8h, 9d]12879;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ 9h 8h 4s 4d Kc Jh 3c 8c Js As Ts Ks 7c 8s Tc 9d Ah 2c 4h 2d 7h 5s Qs 2h Jd Ac 6d Ad 3d 9c 2s Jc 3h 5h 5d 6s 7d Td 4c 5c 3s Qh 6c Kh 7s 9s 6h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4c, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6h 6s 7d Ad 5s 4c 8s 8c Jd Js Kh 5h 3s 2d Qh 5d Kc 6d Ks Jc 9c 9d Td 7s Ac 3c 8h Qs 2s Tc 6c 2c 3h 3d 5c 4s Jh Ts 4h Ah 9s 9h 7h 2h 7c As 4d];[Qc, Qd, Th, 6h, 6s];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[Js, Ad]12838;b2;Hero[8d, Kd]12837;b0
 Kd 8d Th Qd Qc] [ 6c 2c Jh 7d Jd 9d Ts 8h Ac 9h 8s 8c Js 3d Qs 2s 3c 2h 7c 4c Qh 7h 5h 5s 4d 3s 6h Tc As 5d Ah Kh 3h Jc 4s Ad 2d 6d Ks Td 9c Kc 9s 5c 7s 4h 6s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[9s, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jc 9d 9c Jd 9s 6h 9h 5h As 4d 5d Jh 7h 5c Ts Tc 3c 4c 5s 8c Kc 8s 2c Qs Kh 6d 2h Ac 7c Ks Js 7d 4s 3d 7s 3h 3s Td 8h Ad 2s 4h 6c Qh 2d 6s Ah];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Ks, 6h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9h Ad 4c 3c 7s 4d Js 2s 4s As 3s 8s 5s 3h 5h 9d 2d Qh 6h 3d 6c 8c 4h 2c Ac 7d Ts Td 9c 5c 7h 6d Kh Kc Jc 8h 2h Ah 6s 7c Ks Jh Qs Jd Tc 5d 9s];[Qc, Qd, Th, 9h, Ad];null;b1[c:8,75] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(8) ;8;b1[3s, 8h]10593;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ Kh Qs 2s Tc Jd Ks 4s 6s 2c Js 9h 5d Jh 7d Td 9s 8c 3h 4d Ah Kc 5h Qh 3d 2d Jc 7s 8s 4c Ts 7h 6h 8h 5s 7c 6d 2h Ac 4h As 3s 3c 5c 9d Ad 6c 9c];[Qc, Qd, Th, Kh, Qs];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(16) ;16;b1[9h, Ac]17110;b2;Hero[8d, Kd]28803;b0
 Kd 8d Th Qd Qc] [ Jh 2c 6s 8s Ts 6c 6d 4c Jc 8h 9s Ac Ks 3s 4s 5d 2d Td Tc 8c Kh Ah 2s Qh 5s Qs 3h 7s Jd 9c 3d 6h As 5h 5c Kc Js Ad 7d 2h 3c 7h 4h 4d 9d 9h 7c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Jd, 4c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ac 6s Js 5h 2c 9d 7c 4d 3s 7d 8h 3d Jd 7s 2h Ks Jh Td Qh Kh 5c 6h 9s 5d 9h 6c 3c 8s Kc Ad 4h 6d 8c Ah 4s 4c 2d Tc 9c 3h 7h As Jc 5s Qs Ts 2s];[Qc, Qd, Th, Ac, 6s];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[5s, Ac]13133;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 5h Js 8c 3h Qs 7d Ad 7c 4c 4d Jd Qh 7h Ks 2h 3d 5s 2c Td 8h 9d Tc 3c 9c Kc 4s 9s Ac Ah 5c As 2s 2d 6s Kh 6c 3s 9h Jc Ts 5d 6h 4h 6d 8s 7s Jh];[Qc, Qd, Th, 5h, Js];null;b1[c:6,6] ;b1[c:7,80] Hero[c:0,16] ;b1[c:8,78] Hero[c:0,9] ;b1(14) ;-6;b1[As, Ac]13134;b2;Hero[8d, Kd]10557;b0
 Kd 8d Th Qd Qc] [ Jh Kc Ah 5h 5s 4d 6h As 7c 7d Ac 7h Jd 8c Js 4s 4c Qs 9d 3h 3c 2s Ad Ks 8s 3d 9c Ts 5c Jc 8h 6s Tc 3s 2c 6c 9h 5d Qh 2d Kh Td 6d 9s 2h 4h 7s];[Qc, Qd, Th, Jh, Kc];null;b1[c:6,6] ;b1[r:7,80] Hero[r:0,16] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(30) ;-14;b1[Ad, Jc]20490;b2;Hero[8d, Kd]13013;b0
