 Kd 8d Qs Th Qd Qc] [ Kh 9h 9d 5c 4h 7s 8s 5d 7d 6h 2s 2c Ah Ks 5h Ts 9s Ad 3c Qh Td 2d 7c Jc Ac 6d 3s 3h 9c 4c As 3d 4d 2h 6s Kc Jh Jd Tc 7h 6c Js 4s 8h 8c 5s];[Qc, Qd, Th, Qs, Kh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,69] ;Hero(12) ;12;b1[Ah, 7d]17110;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Ah 4h 7c 9h 5s 4s 3c Jh 9d 4c Js 8s Jd 6c 7d Kc 5c Tc Kh 8h 3h Ad 2h 9c Ac Ts Jc 2d 6s 5d 8c Td 7s Ks 2s 6h 3d 5h 6d 4d As 3s Qh 7h 9s 2c];[Qc, Qd, Th, Qs, Ah];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[6s, Ah]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Kc 2c 7h 6h 4c 9d As 8s Tc 9s 3s 6c Js 7c 7d 2s 5c 8c 7s Qh Jh Jd 2d 4h Jc 5d Ac Ts 6d Td 3d Ad Ks 2h 5s 5h 9c 4d 9h 4s Ah 3h Kh 6s 8h 3c];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:9,72] ;null;{10} ;-10;b1[9s, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Tc 2h As 2c 4h 9h 3c Ah 2s 8h 4d Ts Jc 6d 4s 3h 3s 6c 5h 7h Js Kc 2d 6s 6h Ks 5s Kh 9c 5c 9s Ac 3d 8s Ad Td 4c 7s 7d 7c Qh 8c Jd 5d 9d Jh];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[9s, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6h As 9h Ts 2s 8c 4c 9c 7d 9d 7h 5s Ad 2c 3s 6c Ks 9s 5c Js 3h Kh Kc 5h Qh Ac 6s 2h 5d 4d Jd 8s 8h 6d 7c Tc 4h 7s Jc Ah Jh 2d 3c Td 4s 3d];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[9d, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Td 3d Qh 4h Ad 7h 8c 5c 8s Kc 2s As 9c 9s Ks Ts 6s 7c 5d Js 3c Jd 8h 2d 2c 2h Kh 9h 4s Ah Jh 6d 7d 6h 3h Jc Tc 6c 4d 3s 9d 4c 7s Ac 5s 5h];[Qc, Qd, Th, Qs, Td];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(11) Hero(1) ;1;b1[9h, Ad]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Ks 8c 6d Qh Ac Ad 3h Kh 4d 9h 8h 6s 2s 7s 5c Td 9s Jd 9c Js 2c 3s 3d 2h 4s Ah Tc 7d 2d 8s 6c 3c As Ts Jc Jh 7h 5s 5d Kc 4h 6h 4c 7c 9d 5h];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[9s, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ As Ac 7s 3c 2h 6d 5c 9d 7h 6h 4h 7d Td 4d 2d 2c Ks Kc Jc 5d 4s Kh 7c 8s 3s 9c 6s 4c 8c 9s Jh Ah 5h 3d Js Ad 6c 2s 5s 9h 3h Qh Tc Jd Ts 8h];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[8s, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9c 6h Jh Kh 9h Ks 7h Jd Ad 7c 5d Ac 2h As 2d Jc 3c 5h 3h 3s 9d 6c 4s 2s 4h 8c Td Kc 2c 8s 7d 3d 8h 9s Ah Qh 6s 5s 4d 6d Tc 7s Js Ts 4c 5c];[Qc, Qd, Th, Qs, 9c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[9d, Jc]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ad 2h 6h 3d 2c 9h 5d Kh Ks Qh Tc Jd 8h 9s 7c 4h Td Kc 3h 6c Jh 7h Jc 6s 8s 2d Js Ac 5c 3s 7s 4s 9c As 4d 2s 7d 5h Ts 6d Ah 8c 4c 3c 9d 5s];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[8h, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6c Jd 9c 6d Jc Jh 6s 8h 3c Tc Qh 3s 2d Td 7d Kc 8c 7c 9s 7s 4c 5h 2c 7h 5s 4d 3d As Ts 2s 6h 5d Ac 9d 5c Kh 8s 2h Ad Ks 9h Ah 4s 3h 4h Js];[Qc, Qd, Th, Qs, 6c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[5d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4h Ad 7h As 9h 4s 5s 5d Ac Kh 6s Tc 7c Qh 8s 2s Td 7s 3c 4d 7d 9c 8c Jc Jh 6h 6c 3h 5c 2h Ts 9d 3d Ks 8h Kc 9s 5h 2d 3s 6d 4c Js Ah 2c Jd];[Qc, Qd, Th, Qs, null];null;null;b1[f:16,57] ;null;Hero{8} ;8;b1[5h, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2s Td 5h 7s 2h 6d As 5s 2d Jd 7h 6s Kc 7d Ks 4h Ts 9h Ah 3h Jh Js 3s 3c 6c 6h Jc Ad Qh 3d 9d 7c 9s Kh 8s 2c 5c 8c Tc 5d 8h Ac 9c 4d 4c 4s];[Qc, Qd, Th, Qs, 2s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[9d, Jc]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d 4h As 2c 3d Jd 9h 3h 4s Ad 5c 8h Ts 6s 5d 9c Kc 2s 7c Ah 6h Kh 2d Ac 4d 8s 7d Js Jh 2h 7s Tc 6d Jc 6c 9s 8c 4c 5h 5s 7h Td 3c 3s Ks Qh];[Qc, Qd, Th, Qs, 9d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[r:85,14] Hero[r:0,69] b1[f:85,14] ;Hero{20} ;20;b1[Js, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5s As 6h 6s 5c 4d Ac Jc 4c Td 4h Jd 2h 9s 7c 3s Ah 2d 9d Tc 7d Kh Jh 2c 8c 5d 7h 5h Kc 9h Js Qh 2s 8s 6d 8h 3c 3h Ad 7s 4s 9c Ts 6c 3d Ks];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[8h, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2d Js 6h 6s 4s Ah 2h 9d Kc 7c Tc 5d 2c Ad 3d 4h 8c Jh Qh 7d 8h Ts Ac 3s 3c Jd 6d 3h Kh Ks 5s 5h Td As 9h 7s 9c Jc 4d 8s 9s 7h 4c 5c 6c 2s];[Qc, Qd, Th, Qs, 2d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[2s, 2c]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4c 6d 9s 9c Ks Tc Ah Jd 6s 8s Js 3h 7h 2s 7c 5h 6c 8c Td 9d 5c Ac 2d 7s Jh 8h Ad Kh As 5s 5d Qh 4s 2c 3s 2h 7d 4h 3c 3d 9h Ts Kc 6h Jc 4d];[Qc, Qd, Th, Qs, null];null;null;b1[f:16,57] ;null;Hero{8} ;8;b1[8s, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2s 6d 2d 9d 3c 7c Td 5h 9s Jc Kh 5c 6c Tc 8h Ts 7s 8s Jh 8c 4s 3s 5d Ah 3h Js 7h 9c As Jd 7d 9h Ad 4c Qh Kc Ks 4d 2c 6h 6s Ac 4h 5s 2h 3d];[Qc, Qd, Th, Qs, 2s];null;null;b1[c:18,12] ;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[Td, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kc 2c 2h Kh 9s 2s Ts 5d Ad 3h Qh 7d 5h 3d 5c 2d 4d 5s 9d 9h Jd 6s 6h 6c Ks 3c Td 7s Jh 4c 4s 9c Jc 8c 3s Ah As 7h 4h 8h Js Ac 6d Tc 7c 8s];[Qc, Qd, Th, Qs, Kc];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,69] ;b1(11) Hero(1) ;1;b1[9s, Kc]28803;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Jc 9c 3h 9h 7c 2d 6h 4s Tc 8s Js 4c 4h 6c 3d Qh 8h Ks 2s 5s Ad 9d 7h 9s 4d 3c 2h Kh Ac 5c 7d 5h 3s Ah 6s 7s 8c 2c Kc Jd 6d Jh Td As Ts 5d];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[r:9,72] b1[f:18,12] ;null;Hero{16} ;16;b1[Kh, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6s Js 7c As 5d Kh Ts Jc 8s 6h 3s 4s 3d Kc 2s Qh 9s 8c 7s 5h Jd 4d 8h 5s Ac 6c 2c Ad 9h Jh Ks 3c 7h 7d Ah 6d 2h 2d 4c 9d 4h 5c Tc Td 9c 3h];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[9s, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9s 9c 6c 5d 9d Js 7h Ts 5s 4h Ks 2c 4s 5c 6d 3h 3d 6h Qh 8s 9h Jc 7d 8c 3s Ad Jh 4c Kc 3c Ac 2d 6s 5h Kh 4d 8h Jd 2h As 7c Ah 7s Tc 2s Td];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Js, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3d 7h Jd 6h 4h 5d 7d 6s 2h 8h 3s Ad 9c 5c 8c Kc 6c Jh 6d 3c 4d Qh Ks Td Js 2c Tc 9s 5h 8s 9h 5s Ah 4c Jc 3h Kh 2s 7s 9d 2d Ac 7c 4s As Ts];[Qc, Qd, Th, Qs, 3d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[3s, 3h]28794;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4s 8c 2c 8h 6h 7d Jh 2h 4c Ac 3c 7s 9h 5d Tc As 5c 3s 8s Kh 9c Jd 4d Js 5h Jc 6s 2d Ts Ks 7c Td 9d Qh 3h 5s 9s 3d Ah 2s 7h Kc Ad 4h 6c 6d];[Qc, Qd, Th, Qs, 4s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[7s, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2h 8h 8c 4s 5d 9d Jd Ac 3s Jc 4h 9h 2s 3d 5h 7h 6h 4c 6c 4d 7d Ad Ah 5c Qh 8s Kh Ts 7s 6d Jh Td 3h Ks Tc 7c 2d 6s 3c 2c As 5s Js 9c 9s Kc];[Qc, Qd, Th, Qs, 2h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[8s, 9c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jc 9d Ah Qh 2c 7c 3d 7s 3h Kc 7h 5d 5c 6d Tc 5h Kh Jd 5s 4s Ac 6s 8h Ts Jh 4h 6c 8s 3c 9s As Js 9c 6h Ks 2s 2d 9h 4d 7d 8c 4c 2h 3s Td Ad];[Qc, Qd, Th, Qs, Jc];null;null;b1[c:18,12] ;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[Jh, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7h 2s Qh 4h 8s 6h Ac 2h 8c Ts Ks 7d Jh 3s 8h 3d 6c 5d Tc Kh As Jc 5h 9s 6d Ah Ad 4c 4s 9d 5s 6s 5c 2c 7c 2d 3c 7s Kc 4d 9c 3h Jd Td 9h Js];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[Tc, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7h 6s 2s 9d 7c Ks Jd 5c 5h 3s 6h Td Ah 6c 9h 4s Qh Js As Kh 2h Ac 3d 5s 9s Jh 7s 8s 2c Ad 2d Tc 7d 4d Jc 4c 3h 8c Kc 3c 8h 4h 6d 9c 5d Ts];[Qc, Qd, Th, Qs, 7h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(30) ;-14;b1[8h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ts 8c 4h Td 3s 8h Ad 3d 6d 5h Jh Ah 8s Jd 5s 2h 2s 7h Qh 4s 9c 7s As 7c 3h Kc 5c 9d Kh 5d Ks Js 2d 9s 2c 9h 6s 3c 6c Jc Ac 4c 4d 6h Tc 7d];[Qc, Qd, Th, Qs, Ts];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(11) Hero(1) ;1;b1[5s, Ts]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 7s Ad 8h 3h Ks 6s 2d 5s 9h 7h 9s 9d Kc Ah Qh 2c 9c Tc Js 8c 2s 4s Jd Kh Jh 2h 7c Td As Ts Jc 7d 6h 5c 4d 5h 4c 3s 8s Ac 6c 5d 3d 4h 6d 3c];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[9d, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4c 7c 4d Ts 9h 6s 3c 2h 4s 5d 2d 5s Jd 5c 3d Jc Ad 3s Kc 4h 7h Ks 5h Kh 7d Tc Ac As 8c 6d 9c 2c 9s 8s Td 6c 8h 9d Jh 7s 6h Js 3h Ah 2s Qh];[Qc, Qd, Th, Qs, 4c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(30) ;-14;b1[6h, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4d 6d 8h Tc 3h 9h Ac 2c Qh 8s 4h 7c 2d Ah Js Ks Jd Kh 5d 4s As 3c 7s 3s 9c 4c 8c Ts 9d 9s 6h 7d 5s Kc 7h 5c Ad Jc Jh 2h 2s Td 5h 6s 3d 6c];[Qc, Qd, Th, Qs, 4d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{12} ;12;b1[9h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3h 4s Js 2h Ad Ac 9d 2d Td 9h 9s 6s 6c 6h Jd 7d 3d Kc 5s Ks 3c 8s 4d 2s 8h 7h As Kh Qh 6d Jc 8c Ah 5h 3s 9c 4h 7s Jh 5c 5d 4c Tc 7c Ts 2c];[Qc, Qd, Th, Qs, 3h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[Js, 8h]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9h 3h Ts 5h Ah 5d 2c 7s 7c 6h Jd 7h 8h Ks Jh Jc Ad Qh Td Kh 8c Tc 6s 9c 4c 7d 4d 2d 9d 3c As Js 5s 2h Kc 4s 3d 4h 3s Ac 6d 2s 6c 9s 8s 5c];[Qc, Qd, Th, Qs, 9h];null;null;b1[r:16,57] Hero[r:81,18] b1[r:16,57] Hero[c:0,36] ;b1[r:18,51] Hero[c:0,23] ;b1(54) ;-26;b1[Qh, 7c]32897;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d 3s 2s 5h 6c Kh Ah 4d 2h 7d 6s Tc 8c Kc Ac Js 5d 7s Qh Ks As Td Ts 6h 7c 2d 3d 5s 9h 4h 3h Jd 9c 4s 3c 6d 7h 9s Ad Jh Jc 8s 8h 5c 2c 4c];[Qc, Qd, Th, Qs, 9d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[r:6,8] Hero[f:88,11] ;{14} ;-14;b1[8h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9d 2h 3d 5s Js Tc 3s 8h Ks 3h 3c 4s 2c Jd 8s Jh 9h Qh 2d 5h 5c 4d 5d 7h Jc 9s 2s 6s Kh 7c Td Ad Ah 9c Kc 7s As Ts 6h 4c 4h Ac 7d 6c 6d 8c];[Qc, Qd, Th, Qs, 9d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[8s, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c Jh 6d 2h 5c 4d 7c Js 9h 7d 9s 6c 5h 6s 9d Ac 2s 7h 6h Ks Kh 5s 3h As Qh 4h 8h 4c Td Ah 9c Ts 8c Jc 8s Kc 3s Ad 5d 2d 4s 3c 7s Jd Tc 3d];[Qc, Qd, Th, Qs, 2c];null;null;b1[c:18,12] ;b1[c:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[As, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8c 3d 5s Jd 4c Kc 8h 2d Ah 4d As 6d Qh 5h 7h 9d 2h 9h Td 6h 7c 2s Ts 3h 7s 8s Ks 4s Jc 7d 5c 4h 6s 6c 5d 3c Kh 3s Ad 9s 9c Js Ac Jh 2c Tc];[Qc, Qd, Th, Qs, null];null;null;b1[f:16,57] ;null;Hero{8} ;8;b1[8s, As];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6d 5s 8h Ts 4h 9h 4d 3c Jd 2h 5d 2c 9s Js 7s 7h 4s 6c Ah 2d Ac 7c 5h 4c 5c 6h Jc Tc 3h Ks Kc Ad Kh 6s 3d 3s Td 2s 9d 9c 8c As Jh Qh 7d 8s];[Qc, Qd, Th, Qs, 6d];null;null;b1[c:18,12] ;b1[r:18,51] Hero[r:88,11] b1[c:6,8] ;b1(38) ;-18;b1[Td, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3c Ks 4d 2d 7d 8c Tc 5d Qh Ac 7c 8h 2c Ad 6s 9d As 8s Kh Kc 6h 2s 5c Ah 9h Td 3s 3d 9s 9c 4s 2h 4c 7h 6d Js Jc 7s 6c 5s 4h Ts Jh 3h 5h Jd];[Qc, Qd, Th, Qs, 3c];null;null;b1[c:16,57] ;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[7c, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4s Ks 4d 2h Ts Kc 9d 4c 8s 5c 3s 6s 9h 2s Td As 7s Kh 6d Ad 2d Ac 7h 4h Js 6h Ah 7c 9c 7d 3c 2c 5h 8c 6c Jh Jc Jd 3d 9s Qh 3h 5d Tc 5s 8h];[Qc, Qd, Th, Qs, 4s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[9h, Jd]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jh 3h Ts 9h 2d 9c 7d 2h Jd 5h 3c 4s Jc 3d 6s Js 4d Tc Kc Qh 3s 6c 2c 6d 9s 8s Ks 8c Ac 4c 2s 7c 7s 5d 5s 6h Kh 9d Td 5c 8h 7h Ah Ad As 4h];[Qc, Qd, Th, Qs, Jh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Ah, 9d]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Ah 4d 3d Ts 9s 5s 6h Jd Js Kc Tc 9h 2d 2h 7c 2s 6c 9d Td 7h 5c Ks 3s 8h 6d 8c 3h Ad 9c 4s Qh 7s Ac 8s 7d Jh 5h Jc 5d 2c 3c 6s Kh As 4h 4c];[Qc, Qd, Th, Qs, Ah];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Jh, Ah]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 4d Qh 6h 2c 7d 5h Ts 3s 6s 6c 8h Js 4s 9d 8c 8s Ks Td Kc 9c 2h 4h 7s 4c 3h Tc Ah 7c 6d Jh 2s Ad 2d As 9s 7h Jc Ac 3c Jd 5s 3d 9h 5d 5c Kh];[Qc, Qd, Th, Qs, 4d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[Jh, 9c]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ts 2d 5d 5c 8h 9s 3d 7h 4d 3s 6c 3c 3h Js Jc Qh Ah 9d 6d 7c 2h Ad 4h Ac 2s 5s 5h 9h Jh 7d 9c 4s Ks 8s 2c Tc Kh Jd 6s 4c 7s Kc 8c As 6h Td];[Qc, Qd, Th, Qs, Ts];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(11) Hero(1) ;11;b1[Js, As]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 3h 8h Ac Td 9s 5s Ks 4h 8c Ah 4d Kc Ad 6c 9h 3s 2h 3c 5d 5c 2c 9c Qh 7c 7h Ts Kh 8s 5h 4s 3d 7d 6h 4c 9d Jh 2s Jc Jd 6d 7s As Js 2d 6s Tc];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[2s, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Tc 7s Ks 5c Ac 2c 7d Td Jc Jh 2h 8h 4h 9d Kc 2s 6c Ah 4d Jd As 3c 3h 4c 7c 5d 9h 5s 6s 4s 7h 6d Kh 2d Ts Js 5h 9s 3d 8s 9c 6h 8c Qh 3s Ad];[Qc, Qd, Th, Qs, Tc];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(11) Hero(1) ;1;b1[8h, Td]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Tc 6h 6c 4s 7h 6d 8s Ad 9c 7d 5h 7s 3s 9h 2h 8h Kc Jd 8c 7c 9s Qh Ts Td Kh 5d 2c 9d Ah 2s Js Ac 4h Jc As 2d 3h 5s 3c 5c 6s Jh 3d Ks 4d 4c];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[Ks, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Qh 6s As 9s Js 6c 9c Ts 2d 4c Ac 3h Ks Kc 8h 2h 4d Ah 7d Ad 2c 3s Tc Td 3c 7h 4s 8c 3d 2s 5s 5h 6d 9d 6h 7c 9h 5d 4h Jc Jd 8s Jh Kh 7s 5c];[Qc, Qd, Th, Qs, Qh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{12} ;12;b1[9s, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ts Jc 4h 6d 6c 5d 3c 2s Jh Tc 9c Ks 2d 2c Kh 7d Td 2h 5s Ad 6h 9s 6s 3s 3h 8c Qh 4s 4d Jd 4c 9h 5h 7c Ah 8h 7s Ac Kc 9d 8s As 3d 7h Js 5c];[Qc, Qd, Th, Qs, Ts];null;null;b1[c:18,12] ;b1[r:6,8] Hero[r:0,23] b1[c:6,8] ;b1(19) Hero(1) ;1;b1[9s, Ks]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 3s 8s 2c 7d Js Jd 2d Kc 6s Tc 7h 9s Ac Ad 7s 9d 9c 8h Jc Qh As 4s 5c 9h Jh Td Ks 4h 6h 3d 2s 6d Ts 4c 2h Ah 3h 5h 4d 5d 7c Kh 3c 5s 6c 8c];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[9d, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 8c Kh Ac Qh 7d Js 4s 3h 7s 2c 3c Td 4c 3s 6h 2h Jc 8s 7c Tc 6s 5d 9s 3d 7h Ks 5c As 6d Kc 6c Jd Ad Ah 9d 2d Jh 4h 9c Ts 9h 8h 4d 2s 5h 5s];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[Js, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3d 3s 5d 6h 9h 9s 9c Ah 8h 8s 2h Kc Ac 7s 4c Js Ad Ks 6c 3h 5h Jc 7d As Kh 3c Jd Qh Td 5c 4d 2s 6d Tc 7c 8c 2c Ts 2d 9d 6s 7h 4h 4s 5s Jh];[Qc, Qd, Th, Qs, 3d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[6h, 6c]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2s Ah As 9h 4d 4s 7s 7h Ad Qh 6h 9s 3s 2c 2d 9c Js 7c Ks 8h 4h 6c Jh 8c 3h 7d 2h 9d 6d Kh Td 8s 6s 5s 5h Ac Tc Kc Jc 3d 4c 3c 5c 5d Jd Ts];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[7d, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jc Js 6s 9c Jd 6d Tc 2h Qh Ah 8c Ac 5d Jh 3h 2s 6c 9s 5h Ad 8s 7s 9h 6h 2d 4c Ks 4s 4h 8h 7h 3s 7c Kc 3c 5c 2c 7d 5s Td As 4d 3d Ts 9d Kh];[Qc, Qd, Th, Qs, Jc];null;null;b1[c:18,12] ;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[2s, Ts];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2d 6d 3h 9d Kc 5c Qh Td Ad 9h 6h Js 5d Ts 6s 7s 8c 4c As 2h 4s Tc Ah Ac 9c Kh 2c 4h 7h 5h 3d 3c Jh 2s 4d 5s 3s 7c Ks 7d 8s 8h Jc 9s Jd 6c];[Qc, Qd, Th, Qs, 2d];null;null;b1[c:16,57] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[9d, Jd]17089;b2;Hero[8d, Kd]17098;b0
