 Kd 8d 6c Qs Th Qd Qc] [ Jd 3h 7s 5c 4c 4s Tc 2h 5h 2s 9s 7h Js 9h 3s 7c 8s Qh 6d 5d Ks Ts 3c Ah Ad 6h 9d Jh Ac Jc Td 8c 7d 6s Kc 4h As 2d 8h Kh 5s 2c 9c 3d 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[As, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h 2s As 6h Ac Jd 7c Ah 8c 6d Jc 5s 5c Kh 2d Kc Ad 9s Qh 9c 3c 4h 3h Td Ts Tc 8s 4d 4c Ks 3s 2h 8h Js 7s 5d 2c 7d 4s 7h 9d Jh 3d 5h 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[3s, 3h]28794;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd 3h 9c 3d Ac 7d Jh 7s Ts 2d 2c 5d Ks Ad 9s 9d 5c 6s 7c Kh 4d 5h 4c 2s Jc 9h 4s 6d Kc 8c 7h 5s Tc 6h Js Td 8h 3s 4h 3c As Ah 8s 2h Qh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s Ts 2h Ks 3c 9d 4c 3h 6d As 9h Jh 8c 7d 3d Td Js Kc Jd 8s Kh 5c 2c 9c 4h 7c Ah 3s 6h 4s 5h Ad Ac 6s 8h Jc 5s Qh 4d 9s 7s 2d Tc 7h 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9s, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5s 5c 4d 3h Ts 9s Tc Ad 8s 3s 9c 3d 5d 7d 2c 3c Jd Ah 8h Kh Qh 8c 4s Ks Jh 2h 9d 7h 9h Ac Js Td Jc 2d 6s 6d 2s 5h As 6h 4c 7s Kc 4h 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:18,51] ;Hero(12) ;12;b1[9d, 8c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6d 3c As Tc 5h 8h Kh 5s 3s 9c 4h Ac Ah Jc 2s Kc Ad Ts 7c 3h 2h Js 2c Jd Jh 7h 6s 6h 9s 9h 8c 7d 8s 3d Td 2d 4c 4s 9d 7s 5d 5c 4d Ks Qh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:6,8] ;Hero{8} ;10;b1[5s, Ad];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 6h Jh 5c 9s 5h 8s 3h 6s 3c 2d 4c 3d Ts Ac 4d 7s 9h 7d Ad 8c 4s 3s Ah 9d 4h Td Tc Ks As Js Kc 8h 9c Jc 5d Qh 2s 6d Kh 5s 2h 2c Jd 7c 7h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:18,51] ;Hero(12) ;12;b1[9h, Jd]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As 7d 6s 2c 5s 6h Td 2h Jc Jd Ts 7h 9c 9d 4c Qh Ah 4s 5h 9s 7c Kh Tc 3d 6d Ks 3c Kc 4h Ad 5d 3s 8s 3h Jh 8h 2d 9h 8c 5c Js 4d 2s Ac 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c 4c 4s Kc 5c Jh 9d 7h Kh Ad 3c 9s As Td Qh Ks 6h Ts Jc 5h Ac Jd 8s 4d 6s 2c 7d 2h 7c 5d Js 6d Ah Tc 2s 5s 8h 8c 2d 4h 7s 3s 9h 3d 3h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Jd, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7s Ah 2h 9c 2s 9d 5s Jd 3c 9h 6s 8s Jc 4d Jh 7d Kc 4s 7c 5c 2c Kh Ac 6h Td Ks Qh 3h 9s 5h 8c As 6d 5d Ad Ts Tc 3d 7h 4c Js 2d 3s 8h 4h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h 9s 3c 3d 6d 6h Tc 3h 5h 7s Ts 5s 3s 9h 9c 8c Jh 4h 5d Kh 5c Jc 2s 2h 6s 7h Jd Kc 2d Ks Js 8s Td 2c 7d As 4d 7c 4s Qh 4c Ah 9d Ad Ac];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Jh, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6d 7d Qh 9h 3d 4s 6s 3h Ks Ah Ad 5s 2d 5h 9c 9s Kh 6h Js 3c 4c As Jh 2c 7s 8s 4h 3s 5c 8c Td Ac Jc 4d 7h Ts 2s Tc 2h 7c Kc 5d Jd 9d 8h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ah, 7d]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As 7s 3d 7d 4s 9d Jd 7c 7h Jh Kc 2d Tc 5s 8h 5d Ks Qh 3s 4c Js 8c 2h 5h 3h Ac Jc Ts 2s Ah 4d 6h Kh 6s 9s 3c 4h 9c 9h Ad Td 6d 8s 5c 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9s, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h Kc Ts Ks 2s 2h 9s Ac 4d 7h 5h 6s 7c 7d Jh 3s 6d 4c 5d Ad 3d 3c Js 9h As 8s Qh 5s 7s 9c 3h 2c 4s Kh Tc 4h Td Ah 9d Jc 5c 8c 6h 2d Jd];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:6,8] ;Hero{8} ;8;b1[9h, Ah];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 3h Ts 5c 6d 2h 7d Kh Jc Ks 3d 2d 9c 3c Jd 5d 9h 6s 4d 7c Ac As Ad Qh 2s 9d 7s 6h 4c Kc 8c Js Jh 9s 5h 4h 7h Tc 3s 2c 5s Ah 8h 4s 8s Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;10;b1[Jd, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks 5c 6d 8h 9c 7s 5s Qh 5h 7c 9h 4s Ah 8s 9d Kh 3h 2h 6s Jc 3s 4c Tc 3d 2c 3c Ad 7h Js 5d As Ts Ac 4d 4h 8c 2s 7d Td 9s Jh 6h Kc Jd 2d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[5s, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7h 7d 9c 6h 8s Kc 3d 2d 2h Ad 9s Jd 6d Tc Jh 9h 4d 5c 5d 2c 5s 3s As 7s 2s 6s Kh Td 9d Ts Jc 3c Js 5h 4s 8h 4h Qh Ks Ac Ah 3h 4c 8c 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ts, 4d]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6h 9d Tc 2s 4c 2d 3d Ah Ad 7h Qh 7s 4h 5d 7d Ts Jd 8c Jc 9s 3h 2c Jh Td 5c Ac Kc 3s 6d 7c 9h Kh 9c 8s 4s 6s 3c Js 4d Ks As 5s 5h 2h 8h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Js, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h As 2s 8h 4d Jd 8s 4h 6d 9s 4c 3d 5s Kh Ks Jh 7c 9h 5c 3h Kc 3c 7h Ts 7d Ac 6s Td 2d 6h Ad 5d 2h Jc 2c Ah Js 9d Tc 3s 7s 4s Qh 8c 9c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:18,51] ;b1(22) ;-10;b1[Ts, 6d]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd Td 7h Ah Qh 6d 8c 4h 9d 4s 2c Kh 4d 5d 7s 8s Ad 5s 5h 2s 2h 3c Kc 5c 3s 3h 7c 9c 6s 2d Js Ts As 7d Jh Jc Ac Tc 9h 3d Ks 8h 9s 6h 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[2h, 2d]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks 3c Ac 2c 7d 5h 8c Td 6h 9h 6s 8h 4s Jd Ad Js Tc Ah 4h 7c Kh 4d 3s Ts 5c 5d 2d 2s 7h 9c 6d Qh 9d 3d 3h 8s As 7s 5s Kc 4c Jh Jc 9s 2h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Js, 9d];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9s 6h 4d As Jh Ks 3h 9h Jc 5h 4s 7d 9c 2h 8c 4c Qh Ah 7s Jd 7c 6d Kc 9d 2d 3s 5s 2s Tc 7h Ac 4h Ad 2c 8s 3d 3c 5d Ts 6s Js 5c 8h Td Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Js, 8h];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 7d Ts Jd 8h 8s 7h 3s 2c 4s 5c 3c Jh Tc Td Js 5h 9d 2d 6h 3d Jc 2s As Ac Kc 5d 7c 9h 6d 4c 4h Kh 4d Ks 9s 9c Ah 7s 8c 5s Qh Ad 2h 6s 3h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7s, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5s 9d 2h 5d As Ac 9c 8h 4c Ks 4h 6s 6h 6d 8c Qh 3h 9s 2d 4d 2s 3s 7s Tc Jh Ad 5h 7c Js Jd 7d Kh Td 3c 3d 9h Kc 2c Ah 7h 8s 4s Jc Ts 5c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Js, 8c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h 7s 9d 4d 2h Jh 9c Kc 2d Tc 3d 3c 5d 6s Qh Js 4h 9s Jd 8c Ac 8s 5s Td 3s 2s Ad 2c Ts Kh 4c 5c 8h As 7h 6h 9h 3h 7d 6d Ah Jc Ks 7c 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Jd, Kc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 4h Jh 3s 8c 2s 6s Ad Jd 4d Ks 2d 3h 3c 3d 7h 9h 9s Qh Jc As 7d Js 9c 5h Td 2h 6d 7c 9d 8s Ah 6h 5d 4c 5s Ts Kh 2c 8h Ac 5c Kc 7s 4s Tc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[9s, Kc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 5s 5h Ks 5d Tc 2h 8s 3c 6d 3h Ad Jh 4s Qh 7c 7h 7d Ah Jd Kh 9h 8h 2s Ac 2c 4c 9s Jc As Td 3s Ts Kc 6s 7s Js 5c 2d 3d 4d 9c 6h 4h 9d 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ah, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5c 2d Ac Kh Jh Ts 9d Jd 8h Tc 9c Ks As 3c 8s 3h 4d 2s Ad 2h 6d 5h 4c 3d 9h 5s Jc 7c Ah 7s 9s Kc 7h 3s 7d 2c 5d 6h 8c Qh Td 6s 4s Js 4h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ah, Ac]28804;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5d 2s 6s 9c 7h 5s 4d 6h Js 8s 9d Kh 5h 8h Jh 2d 3s Tc 2h Td 3c Qh 8c 7s 4h 9s 6d 2c 7d 4s 3h Ac Ts Ad 3d Jd 4c Ks 7c As Ah Kc Jc 5c 9h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Kc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 3d 5c 6h 3c Tc 8h 3h 3s 4c 7h 8c 9d 7s 6d 4s Ad Ks 5h Ts Kh Jc 5s Jh 4d 8s 6s Qh 7d 9c 2s 4h 2h 7c 2d Js As Jd 2c 9h Kc Ah Ac 9s 5d Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[8s, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 7h Kc 5c 8c Kh 6d Ac 4c 3h 8s 7d 3d 7c Jc 2h Ts 7s Js 2d 6s 5s 9h Tc 2s 3c 9c 5d 9s 2c 6h Jh Td 9d Ks 8h 5h Ah Qh 4d 3s Ad Jd 4h 4s As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Js, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Kh 6s 4h Jh 7d Js 7s 9s 5s 4s 3s Ac 8s 4c 6h 3d 9c 5d 5h 2s Tc As Jd 3h Kc 7h 2h Td 8h 5c Jc 3c 4d Ah Ks 9d Ad 8c 6d Ts 2c Qh 9h 7c 2d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ts, 2d]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4d 9d 3d 2c 9h 5c 4s 5h 2h 9c 8c 6d Ac Js Kh As 5s 2s 4h Qh 5d 3h 2d 9s Jd Jc 8h 6h Ts Ks 6s 7s Jh Ad Tc Ah 7d 3c 4c 7h 7c Kc 3s 8s Td];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[As, Ac]28804;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c 5c 5s 8c 7h Ah 7s Jc Qh 7c 9s 5h 4s 5d 6s 6h Tc Ks Kh 4c 2d Ad 3h 2c 9h Ac 8s 2s Ts 3s Kc 7d Js Td 2h Jd 8h Jh 6d 4d 3c As 4h 9d 3d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Js, 9h];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 6h 5d 9s 4h 8s 7d 8h Kh 2s 3c 3d Td 6d Kc Ac Tc 9d 8c 6s 4c 9c 4d Ks 7c 2h As Jd Jc 7h 9h Js 2c 4s Jh 7s 5s Ad Ts 3s 3h 5c 5h 2d Ah Qh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jh Ac Kh Td 8h Ts 5h 4h 9c Jc Ad Jd 3c 7c 7d 3h 2d 9d 4s Tc 9s As 5d Js 8c 2h 2s 5c Ks 2c 6h Qh 5s Ah 6d 3s 4d Kc 3d 6s 7s 9h 7h 4c 8s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[7s, 8h];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 6s 7c 2s Ad 9h As 4s Ac Ks 6d Kh 4d 8h Tc 8c Ah 2c 5s 4h Jc 2d 3d 3h 4c 2h 7h 8s Jh 3c 6h Jd 9c 5h 5c 9d 7d 3s Kc 9s Ts Td 5d Qh 7s Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Js, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Kh 5s 6d 2d Jc Qh 4h Js 7d 6s 8s 3c 3s 2h Kc 5c 4c Tc 8h 2c 7s 9s Ks 3d Jd 2s 4s 4d 9h 6h 9c 5d 3h 7c 8c Ts 5h 9d Ad As Td 7h Ac Jh Ah];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Ks, Jh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 6d Tc Ac As 4d Kc Ts Kh Ks Jc 4h 3s 8h 5h 5d 5s 6h 8s 8c Js 7d Td 2h 6s Ah 9s 9d 3d 3h Qh 9h 2c 3c 2d 7c Ad 4s 2s 9c Jd Jh 5c 7h 7s 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[8c, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ As 9c 8c 3c 4d Ac 8h Ad Qh 2s 9d 7c 3d 3s Tc Jh 9h 7d Jc Jd 5d 9s Ks 5c 6s 3h 7h Td 4h Kc 6h 5h 7s 2d 6d 4c 5s 8s Ah 4s Kh Js 2h 2c Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[9h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9d 6h 9s As 4d 5d Td Kc 5s Jd Ts Tc 3h 4s 2h Ah 2d 8c 6s Jc Js 5h Jh 7c Ad 8s 4h 3d 9c 7d 6d 8h 5c Ac 9h 2c 2s 7s 7h 4c 3s Kh Qh Ks 3c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9s, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 5s Jc Js 2d 9d Ah 7d As 2s 3h 4s Ac 9h 5c Td 6s 8h 3s 5h 7c 9c Kh 4h 9s Jd Jh 4d Tc 7s Kc 7h 6h Qh Ts 6d Ad 8c Ks 3c 2h 8s 2c 4c 3d 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[Ts, Jh]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ah 3c 6h Ks 8s 8c Js Kh 4h 7s 2h 3h Jh Td 9s 5d 3d 2c 9d 3s 5s Tc Jc 4c 6s 8h 4d 4s Kc 2s 7d 9h 7h 2d Qh 9c 5h 7c Ac 5c 6d Jd Ts Ad As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9d, Ac]17108;b2;Hero[8d, Kd]17098;b0
