 Kd 8d 6c Qs Th Qd Qc] [ Jc 2s Ks 7h Qh 2d 5s 3h Ac 7d Jh 8s 9d 3s 7s As 2c 4s 5d 6s Kh 4d Td 6h 5h 9s 3d Ts 5c Tc 9c 8c Js Ad Ah Jd 8h 4c 6d 9h 4h 3c Kc 2h 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[4d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8s 4h Jc 2s 8h Kc 7s Ah 5c 9d 3d 9c Ts Jd 3c Qh Ks Ac 3s 5h 2h 8c 2c Ad 9s 7h 3h As 6s 6d 4c Jh Td 4d 9h Tc 4s Kh 5s 2d 5d Js 7d 7c 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:14,64] Hero[c:0,17] ;Hero(24) ;24;b1[8s, Jc]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3c Tc 9c Ah 7c Qh 6d 8h 4h 9s 2c Js As 2d 3s 6h 3d 8s 4s Td Ts 9d 5d 6s Ac 2h Ad 2s 8c Jc 7d Ks 7s 3h 5c 7h Jd 4c 9h Jh 4d 5h Kc Kh 5s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ad, 5c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3h 2h 2c 9s 4h Kh Ad 8h Ah 7s 6s 4d Jd 9h 5d Td Js 8s Jh Kc 8c 7d Ac Ks 6h 2s As 6d 5c 5s 3d 9d Ts 3c Qh 9c 2d 3s 7c 4c 7h 5h Jc Tc 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9h, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s Ks 8h 7h Qh 2h 6h 3s Kh 3c 5s 7s Td Tc Ac 9d 3d Js 4h 5d Jc 5c 5h 9c Jd 2c 4s 7d 2d Jh 9h As 8c 3h 4d Ts 4c 7c 8s Kc Ah 6s 6d 9s Ad];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[6d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4d 9d Jd 5d 6s 2c Td 4c 3h 7d Jc 5c Kc 9s 8s Ac 4s 8c 9c Ah 5h 7s Js 3c 7c 6d Tc 4h 5s 3d 2d Qh 2s 8h Ad 2h Ks Kh 9h Jh Ts 3s 7h 6h As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Js, Ah]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h 5s Kc 6s Ah 6d 7s 9c 7c 4s 5d Td 3h 6h 4h 8h Kh 4d Tc 9s 2h Ad 5c 3c 2c Ks Ac 8s Jd 2d 8c 3s Ts Qh Js 7h 7d 3d 9d 5h As Jc Jh 2s 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:4,5] ;Hero{16} ;16;b1[4d, Td];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ As 6s 4h 9d 2s 6h Ks 2d Ts 5h 3c Js 7d 8s Jh 8h 4s 4d Kh 9c Td 6d Jd 9s 7h 3h Ah 2c 3s 8c Qh Ac 3d 2h 7c 5s 7s Jc Tc 5d 5c 4c Kc 9h Ad];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8s, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4s 7d Qh 5s Tc Ah 7h 6s 2c 4c Ad Kh Td 9s 3h 2s 3d 6d Js 8c 8h 5d Ks Ts 5c 2d 5h 4d As 3s Jd 6h 9d 3c Kc 7c 4h 2h 7s Jh Jc Ac 8s 9h 9c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Kh, Jc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6d 9s As 5c 2c 7c Jc Kc 7s 7d 2d 4c 5d 4d 5h Ts 3h 8c 6s 2s 3d 9h Td Js Tc 2h Ah 4h 6h 8s Ks 4s 8h 7h Jh 3s Jd 9d Ac Kh 3c Qh Ad 9c 5s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8s, 8c]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As Jd 2h 9s 3h 5d Kh 3d Ah 4d 3s 8h Ks 6s Tc Td 7h 5s 3c Ac 8c 8s 9d Kc 2s 7c 4h Jc 5c 2d 6h Js 9h Qh 7s Jh 5h 2c Ad 4s 9c 6d Ts 7d 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[3s, 3h]28794;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h Qh 4c 3h 2c 7h 7s 5d 5h 3c 4s 8h 6d Ks Ah 7c 3d Js Kh 9s Ad 6h As 9d 7d 2h 5c Td Jd 5s 6s 8s 9c 2s Tc 8c Jc Ts 3s Kc 4d 4h Ac 2d Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:4,5] Hero[c:0,17] ;b1(46) ;-22;b1[3d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c Ks 5d 5s Tc 6h Jh 4s 2s 9h 6d 7s 8c Jc 3s 7h 8s 2h 5c 8h As Qh Ts Ad Td 2d Jd 5h Js 4d 2c 3c Kh 7d 3d 6s 7c 4h Ah 9s Kc Ac 3h 9d 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ah, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Td 7h Ad 4h 5s 3d 5d 9h Ks As 8s 3h 8h 6h 4c 3s 8c 5h 6d 2h Qh 2d Kh 4d 6s 4s 3c Kc Jh Ac Ts 9c 7c 2s Js 7d 2c Ah 7s 5c Tc Jd 9s Jc 9d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[7s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7s 6d 9h 8h 2s 4d Ks Ac 2h Tc 3c 8s As Kh Ad 4c Ah Ts 5d 9d 5c Kc 2c 3h 6s Qh Js 8c 9s Jh Td 6h 7h 3s 7c 4s 4h Jd 3d 2d 5s 9c 5h Jc 7d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[Js, 9d];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Jc 8h 6h Jh 8c 7d 5c 9h 4d 4c 3d 2c 5d Ts Js 7h 5h As 7s 6s 2d Kh Ah Ac 3s Ad 4s 2s Td 9d 8s Kc 9s 4h 6d Qh Tc 2h 7c 3c 5s Jd 3h 9c Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9h, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Qh 9s Ac 3d 5s 4s 9h 7d 8c 7c 2c 2s 4h Jd Ks 2h 6h 5d Tc Jc 6d 9c 3s 6s 8s Kh Ad 3c 9d 4d Js 7s 7h Ts Jh Td As 5h 2d 3h Ah 8h 4c Kc 5c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:4,5] ;Hero{16} ;16;b1[Ks, Td];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2d 3s Qh 2h 5c Js Ks 2c Jh 7h Jd 7c 8c 4h 3h 4c 7s 9h 8h 4s 2s Ac 5h 4d 3d 5s Ad 5d 9d Tc 9s 6h 3c Ts 6s 6d 8s 9c Ah Td 7d Kc As Jc Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ts, Ks]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4h 7c Td Kc 5c 7s 5s 5d 9s 6s 3c 2s 3d 5h 4d 4c 7d 6d 2h 2d 9c Ks 3s 4s Ac Jh 3h Ad Js Qh Ah 9d Tc 8s Jd Jc 8c 7h 6h 2c Kh 8h 9h Ts As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jd, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9d Js 3c As 5c 6h 9h 7h 9c 6s 4h Kc 4d 3s Kh Td Qh 3h Ad 9s 8h Ac 2h 4s 4c 2c 3d 7s 5d Ah Ts Ks Tc Jd 8c 2d 7c 5h 2s Jh 5s 8s Jc 6d 7d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ts, Ah]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2c 4c Ad 5s Jd 6h Jc 6d Qh 2s Kc 9s Js 7d 3s As 8c 3d Tc 6s 9c 7c Td 9h 5h 4s 5c Ts Kh 4h Ah 8s 3h 3c Jh 7s 7h 5d 2d 8h 4d 9d Ks Ac 2h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:89,10] Hero[c:0,17] ;Hero(24) ;24;b1[8c, 9c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3d 9d 5c 7c 9s Kc 2s Ah 5h 4h 4s Ks Tc 3h 9h 8h 7h 5s Qh 6s 8c Ac 3s Kh Jd Ts 2c Ad 4c 6d 4d Jh 7d Jc 2d 2h 8s Td Js As 6h 5d 3c 9c 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-14;b1[Ks, Td]28801;b2;Hero[8d, Kd]17098;b0
