 Kd 8d Qs Th Qd Qc] [ Jh 6s 5c 8s 4h 7s Ks 3d 8h Ad 4s 2c Kh 7h 2d 7d 8c 2h Ac 9c 3c 4c 6d As 5h Kc 9s Td 9d Ah Ts 6h 2s 7c 5d Js 5s Jd 4d Qh 9h 3h Tc Jc 6c 3s];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[As, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7h 7d 6s Ad 3c Ts As Ac 4c 9c 5h Tc 7c 8s 2c Jc 3h 5s 9h Td 4s 6h 8c 4h Kh 8h 6c Qh 4d Js Jh 9d 3s 2d 9s 5c 3d 6d Ah 7s Ks 2h Kc Jd 2s 5d];[Qc, Qd, Th, Qs, 7h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{12} ;12;b1[9d, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 7h 8h 6d Ac 2h Js 3s Jd 3c 8s 4d 5c 2c 9d 4c Kh 6c 9s 5h 8c 7s 2d 5d 9h Ah 7d Ks 2s 3h Tc Ts 3d 4s Kc Ad 4h As 5s 6h 6s Jc Qh 9c 7c Td Jh];[Qc, Qd, Th, Qs, 7h];null;null;b1[c:16,57] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{12} ;12;b1[9s, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ac Jd Kc 4d 4c 9d 2c 3s 4h Js Td Ts 6h Ad Qh Kh 6d 8c 4s 3d 2d 7s 9s As 5s 8s 8h Jc 3c 7h 5h Ah 5c 6c 9h 3h Ks Tc 2s Jh 7d 2h 9c 5d 6s 7c];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[7h, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3h 2s Ac Qh 2d 2c Kh Jd Js 2h Tc As 5c 7s 9s 8s 6s 4c 5h 7c 4s 4d 3c 9c 8h 9h Jc Ts 8c Td 9d 7h Ad 7d 6d Ah Ks 5s 3s 6h Kc 4h 3d 5d 6c Jh];[Qc, Qd, Th, Qs, 3h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Kh, Ah]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8c 2h 4s 8h 6c 2d Kh Kc Jc 6h Ks Js Td Tc 7c Jh 7s 7h 3d 9s Ts Ah 8s 6d 5d Ac 9c Jd 3c 7d Qh 6s 5s 4h 2s 5h 9d 2c 9h Ad 3s 4c 5c 4d 3h As];[Qc, Qd, Th, Qs, 8c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{12} ;12;b1[9s, Ks];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3h 5s 2d 3c 8c 9h Ah 4s 9c Kh Ts Ac 8s Ks 6s 4h Td 5c As Qh 2c 3d 5h 4c 8h 9d Kc Jc Tc 2h 5d 7h 7s 6d 3s Ad 4d Jd 7c 6h Js 2s 7d 6c Jh 9s];[Qc, Qd, Th, Qs, 3h];null;null;b1[c:18,12] ;b1[r:6,8] Hero[f:88,11] ;{10} ;-10;b1[Jh, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 9d 4h 7c 3s Kh 2d 2h 3h 2c 5c Tc 7s As Jd Ac Ad 9s Ks Td Js 6h 4s Ah 7h 4d 5h 7d 8s 6s Jh 5s 9c Kc 4c 3d Qh 8h 9h 3c 8c 6c Ts 6d Jc 2s 5d];[Qc, Qd, Th, Qs, 9d];null;null;b1[c:18,12] ;b1[c:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[9s, Jh]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8c As 7d Ts Ad 2d 4d 9c 5d 9h Jc Jh 6h Ah 7h Ks 3h Tc Ac 2s 5s 4h 2h 5c 6s 9s 8h 6d 5h 3s Td 3c 7c 9d 4c Kc 4s 8s Jd 6c 3d Qh 2c 7s Js Kh];[Qc, Qd, Th, Qs, 8c];null;null;b1[c:18,12] ;b1[r:18,51] Hero[c:0,23] ;Hero(16) ;16;b1[9h, Jd]20488;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ Td Tc Jc 8c 8s 6d 7s Ac 2d 5d 4h 7d Js Qh 5s 4d 5h 2s Ad 6s 7c 3s 2c 6h Jh 3h 4c 9s Kh Ts Ah Kc 4s 3d As 9c 8h 5c Jd 6c 3c 2h Ks 7h 9h 9d];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Js, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ As 9d 5d 5c 7c Kh 7h 4h Jd Ac 2s 4d 5s 3c Tc 9c 6s Jh 2d 5h 4s 8h 6h Td 3d 7d 8c 3h Jc Kc Ah 9s 2h Ad 2c Qh 4c Ts 3s 6d Js 9h 7s 8s 6c Ks];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[Qh, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3d Ts 9s Jh 5d Ad 2h 7s 8h 4d 4s Td Kc Ah 9d 2s 6h 2c 8c 6c 2d Jd 7h 9h As Jc 8s 5h 5c 3h 7d 9c Ac 4h Tc Ks 6d 7c Qh Js 6s Kh 4c 3c 5s 3s];[Qc, Qd, Th, Qs, 3d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Ts, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5d Js Ac Ad 5s 2s 6s Ah 2d 4h 8s 4d 8c 4s 7h 6h 7d As 3d Td 4c 9c Jh 9h 2h Kc Jd 5c Ks 9d 7s 7c 3h Jc 3s 8h 6d 5h 3c Qh 6c Tc 9s 2c Kh Ts];[Qc, Qd, Th, Qs, 5d];null;null;b1[c:18,12] ;b1[c:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[As, Ac]28804;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Qh 2d 7h Ah Td Ad Tc Kh 4d As 7d 5c 2c Ac Js 5s Kc Jc 3h Jd 6c 4c 6d 6s 4s 7s 9c 6h 7c Ts 8h 9h 2s 9d Jh 9s 5d 8c 3c 3s Ks 4h 2h 5h 3d 8s];[Qc, Qd, Th, Qs, Qh];null;null;b1[c:16,57] ;b1[c:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[6c, Ac]32900;b2;Hero[8d, Kd]32899;b0
 Kd 8d Qs Th Qd Qc] [ 6h Ac 2d 4s 3d 6d 6c 9d 2c 7s Kc Jc 3h Ad 9c Ah 3c 7d Jd 5h 5d Ts 4c 4d 8h 7c 3s 8s 7h 6s 9h Qh Kh 5c Tc 2h 2s Ks Td 9s 4h Jh 5s Js 8c As];[Qc, Qd, Th, Qs, 6h];null;null;b1[r:18,12] Hero[r:81,18] b1[c:18,12] ;b1[r:6,8] Hero[c:0,23] ;b1(46) ;-22;b1[4c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d 6d 4c Jc 9h 5h 7h Kh 6c 6s 3s Qh Td Ac Ad 9c 2c Jd Tc 5s Ks 3c 2h 4s 2d 5d 6h Jh 2s 3h 3d Ts Kc 8h As 9s 7s 5c 4d 7d 4h Ah 8c 8s 7c Js];[Qc, Qd, Th, Qs, 9d];null;null;b1[c:18,12] ;b1[r:18,51] Hero[f:88,11] ;{10} ;-10;b1[7h, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5s Jd Ts Ac Ah 3s 3h Tc 9c 4h 6s 2s 6h Kh 2d Kc 5h Ks 7s 8c 5d 4c Qh Js 3d 8s 2c 9h 6d 8h 4s Td 2h 7h 4d 9s Jc 7c As 7d Jh 3c 6c 5c 9d Ad];[Qc, Qd, Th, Qs, 5s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Jh, Jd]28802;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7s 2h 4s 6h 5c 9d Kh 9c 6s Td 9s 3d 2c Kc 3h Js 4d Ad 2s 7c 4h 6c Ah 3s 8h Ts Jh 2d 7d Jc Ks 5s 6d 5d 8c Jd 9h Qh As Ac 3c 8s 4c Tc 7h 5h];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[9h, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jd 2h Ad 2c 2s Kh 5h 7c Jc Tc 6d 8h 7d 8c Kc 9d 6h 4h 9s Ac 3h Ks 8s Jh 7h 7s 5c 6s 9c 4d 5s Td 3s 3d 4c As 2d Qh Js 4s 9h Ah 5d Ts 3c 6c];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[Qh, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2s 8c As 7h 7c 5s 4h 9c 3d 6h Ad 5h 3s 4c 8h 5c Tc Ah 6c 9d 7s 2c 5d Kh 3h Ts Jc Td 2d Qh Jh 4d Ks Js Jd 2h 3c 4s 7d Kc 8s 6s 9s 6d Ac 9h];[Qc, Qd, Th, Qs, 2s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(30) ;-14;b1[9s, Ts]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c 8c 7h 5h 4d 9c 7c 5d Jc 3d Js Ad 4h Qh 7d Td 3h 6s 5c 3s 9s 5s 8h Jd Ah Kc 4c 7s Ac Kh Tc 6h As 2h 6d Ts 9d 2s 8s 4s Ks 3c 6c 2d Jh 9h];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[8s, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 8c 2c 2h Ks Kh 9c 2d Ts 9h 2s 4h Jc Jh 7s 5c 5h 9d 3h 6s 7h 7c 4d 4c Tc 5s Kc 6h 3c Ah Ac As 7d 6d 9s 8h 3d Jd 4s Js 6c 3s Td 5d 8s Ad Qh];[Qc, Qd, Th, Qs, 8c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;Hero(16) ;16;b1[As, Jh]17109;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ Jd 8s Td 7c 6s 9h 9c 5c Ah 5h 4c 3c 6c 6d 6h 9s 2d 2s 8c Ac Tc 7s Js 8h 4s 4h Jc Jh Ts 9d Ks 2h 7d Kc 3d Qh As 5s Kh Ad 5d 2c 7h 3s 4d 3h];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[Ts, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Tc 4d 4s 2h 9s Ac Td Ks 8c 7c Ts 7d 3d 6s 4h 7s 2s Jd 9d As Ad Ah 5s 2c 6c Kh 5h 3h 8s 9h 2d 5d 3s Js Qh 6d 6h Kc 7h Jh Jc 9c 8h 3c 5c 4c];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Ks, As];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jh 4s 6s 6h Kc 4c 7h 3h 5c Tc 6d 9h 9c 2h 5h Ts 8c Qh Js 8s 2c Ad 6c 3c 7s 2d 7d 3d Jc Ah As Td Jd 4h 7c 3s 9s 4d 8h 5d Kh 5s Ks 2s Ac 9d];[Qc, Qd, Th, Qs, Jh];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[9s, 8c]20488;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 2c Qh 5h 9h Ts Ks Kh Js 7c 2d 4d Jc 4c 9d 3s 6c 2h 5s 6d Tc 3d Ad 4h 5c 2s 8h 6s 3h 8s Ah 9s 9c 5d Ac As 6h Jh 7d Jd 7s Td 4s 3c 7h 8c Kc];[Qc, Qd, Th, Qs, 2c];null;null;b1[r:18,12] Hero[r:81,18] b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(46) ;-22;b1[7d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d 5h Ac Qh 2d 7s Jc 6d Td 2c Js 7h 8h 9c Ts Ks 3d Kh Ah Jd 4h 2h 2s 3c 9s 7d 3s As Ad 4c 5c 9h 8c 3h 4d Kc 6s 5s 6h Tc 4s 5d 8s 7c Jh 6c];[Qc, Qd, Th, Qs, 9d];null;null;b1[c:16,57] ;b1[c:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[As, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2s 4h Kc 4s 7h 7s Jd Ac Td 8c 2c 3d 4d 2d 3s 8s 6c 3c 6d 2h 9d Ah Jc Jh Js 6s 9s 9c 9h Kh As Ks 7c 8h 5s 3h 5d Qh Ts 4c Ad 5h 7d 5c 6h Tc];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[6s, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5d 9h 7s 5s 2c Kh Js 6c 4h 3d Qh 2s 5c 9s Tc 4d 9c Kc 4s 7h 3s 3c Ah 4c Ac 5h 7c 3h 7d 2h 2d 6h 8h Ks Ts Jh Jd 6s 8s 8c Ad Td As 9d 6d Jc];[Qc, Qd, Th, Qs, 5d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[f:85,14] ;Hero{12} ;12;b1[9s, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2c Js Jd 2s Kc 7h 8c Ts As Ad 5d 3d 8h 4h 4d 7d Qh Jc 2d 6d Kh 7s 6s 3s 9c Tc 9d 9h 2h 6h 5c 5h Ah 6c 3c Td 5s Jh Ac Ks 4c 9s 4s 7c 8s 3h];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Ad, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ks As 7d Js Tc 9h 3s 4d 7s 6d 2d 5c Td 3d 9c 3h Qh 6c 8s Ad 7c Ts 2c 9d Jc 8c 3c 9s Kc 8h 5s 5d 4c Jh 6s Ah 2s 5h Kh 6h 4s 4h 7h Jd Ac 2h];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Js, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 2d 7d 9c Jh Ah Jc Jd As 6s 4s 8h 3c Qh Kh Tc Js 9d Kc 3s 6d 8s 4h Ac 5d 6c Ks 7h Td 4d 2h 8c 7c 6h 5h 5c 3d 2s 7s Ad Ts 3h 9s 4c 5s 9h 2c];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[As, 5h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kh Tc 2h 9s 4h 6s 6c 4d 8c 5s 8s 2c 9h As Ad 7h Ks Ac 4s 3c Jd 5c 7c 3d Jh 6h Ah Qh 9c Td Js Ts 3h 5d Jc 9d 3s 7s 2d 6d 2s 5h 4c Kc 7d 8h];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[Ts, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4h Ad 9h 8c 2h 8h 8s Jc 2d Ts 9c 3s 9d Kc 7c Tc Jh Js 3h Ks 2c Ah 5c 2s As 5h Jd Kh 5s Qh 7d 7s 3d 6d 6c 3c 9s 7h 6h Ac 4c 5d 4s Td 4d 6s];[Qc, Qd, Th, Qs, 4h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(30) ;-14;b1[7h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ad 6s 3h Js 6h 8c 4s 2h Ac 7h Td 9c 2c 6c 9h Ts 4c 5h Kh 5c As Qh Kc 3s 5d 3d 7c 4d 2s Ks 3c 6d Jc 2d 7s 4h 9s Tc Ah 8s Jd 5s 9d Jh 8h 7d];[Qc, Qd, Th, Qs, Ad];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Kh, Ad]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 7h Js 5c 3c Ks As Jd 5d 9h 4d 3s Tc Kh 4h 7s 9c 6h Jc 6d 6s 7d 2d 5s Kc 8s Td 5h Ad Qh 9d 3h 6c 4c 4s Ts 8h 9s 8c 2h 3d Ah 2s 7c 2c Jh Ac];[Qc, Qd, Th, Qs, 7h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[8h, 9c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jd Qh 9d 7c 8h Tc Ts Ah Jc Ks 7d 6h 5c 4c 3c 4h 9h 9s 6s Js Kh 5d 2s Kc 4s 5s 2d Ac 9c Ad 7h 7s 2h 5h Jh 8s 4d 3d 8c 3s As 6c Td 2c 6d 3h];[Qc, Qd, Th, Qs, null];null;null;b1[r:69,23] Hero[f:81,18] ;null;{10} ;-10;b1[6c, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6d Td 5c 9h Tc 5h 4c Ah 4d 7h 6s 9d 3s Ad 2c Js Ks 3c Ts 3h 3d 8h 8c 2s 7s As Qh 5d Ac Kc 9s 8s Jc 9c 5s 2h 6h 2d Jd 6c 7d 4s Kh Jh 7c 4h];[Qc, Qd, Th, Qs, 6d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[7d, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Tc Jd 4h 7h 8h Ad 9h Td 5s 7s 7d 5c 6d Ah Kc Ts 5h 8c 3h 2s Jc 3d 2h 9c 3c Jh 9d Qh Js Kh 5d 2d 8s 6s 7c 9s Ac Ks 3s As 6c 4d 4c 2c 6h 4s];[Qc, Qd, Th, Qs, Tc];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(11) Hero(1) ;1;b1[Jd, Ad]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 2s As 2c 9s 5d 4c Ac 2d Ts Ah 7h Kh Jh 4h Tc 3h 5c 9c 4d Js 4s 8h 5s 6s 2h 7c 3c 8c Kc 8s 9h Td Ad Qh 6h 5h 3d 3s 6c Ks Jd 7s 7d 6d 9d Jc];[Qc, Qd, Th, Qs, 2s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[7s, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4c 2h 3h 2s Kc 4d Tc Ks 4h 7c 2d Jc 7d Jh As 5d 7h Ad 8h 5c Td Js 9s 9d 6c 2c Ah Jd 8s Qh 3c 5s 3s 9h Kh 9c 6d 6h 3d Ts 5h Ac 8c 7s 4s 6s];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[As, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 3h 2d Ks Ah 4s 3s 5c 4d 9h Jd 6d 6c 6h 9d Qh 3d Td Tc Kc 2h Ad Kh 7c 7s 8c Ts Js 5s 7h 3c 9c Ac Jh 7d 5d 2c 8s 6s 8h Jc 4h 9s As 2s 4c 5h];[Qc, Qd, Th, Qs, 3h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[As, 5c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ts 8c 6s 4h 7c 6c 9s 3c Tc 5d 7h Td 8h Jh Ah 9c Qh Ac As 2d Js 8s 6h 3d Kh Ks 4c 5c Kc 5s 6d 4s Jc 9d 3s 2h 7s 2s 7d 2c Ad 5h 4d 9h Jd 3h];[Qc, Qd, Th, Qs, Ts];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Ts, Tc]32874;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 2s Qh 6h 4s 3c 5s 5c 7d 4d 9s 5d 8c As Ts 9c 7h Ad Js 2d Kc 4c 2h Tc 6s 7c Ks Ah Jc 2c 3h Td 7s 6d 8s 6c Kh 4h 3s 8h 9d 9h Jh Jd 5h Ac 3d];[Qc, Qd, Th, Qs, null];null;null;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[7d, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jc 3c Kc 9c 4d 3h Ts Ac 4c 5c 2s 5d 7h 5h Ah 7s 8s Td 3s 2h 3d 6c 6h 4s 9h Qh 2c 5s 8h 2d 6d Ad Jd 7d 4h Js 8c Jh As Kh Ks Tc 7c 9s 9d 6s];[Qc, Qd, Th, Qs, Jc];null;null;b1[c:18,12] ;b1[c:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[8s, Jh]28802;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 3d 7s 2h Ts Jh Ad 2s 5d 4c 4d 6c 4h 4s Jc Kc 3h 2d 6s Ah As 9c 5c 8s 6h Js 3s Ac Ks 5h 9s 7c Qh 5s 9d 7h 9h 2c 3c 8h Tc Td Kh Jd 6d 8c 7d];[Qc, Qd, Th, Qs, 3d];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(30) ;-14;b1[Jh, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4c 5s 3d 5c Ah 9h Td 6d Kc 4h 9s 6c 2c 8s Js Jh 2s 5h Jd 7s 8c 7c Tc Jc 7h 7d 2d 8h 3s 5d As 4d 2h Kh Ks Ac Ts 9c 6h 4s 3c 6s 9d Ad Qh 3h];[Qc, Qd, Th, Qs, 4c];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(30) ;-14;b1[Js, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3s 4s 3c 7c 7s 9d Ah 7h As 2c Tc 5h Jc 9c 9h Qh 4d 2d 6d 5c 8s 2s 4h Ad 6h 6s Jh Kh 9s 5d 7d Jd Ac 4c Js 3h 2h 5s 6c Ts 8h Kc 8c 3d Ks Td];[Qc, Qd, Th, Qs, 3s];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Js, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c 4d Kh Ah 6s 7c 9c 3c Kc Ad 7s 5c Ts 5h 8h Tc 3h 3s 4h 4s Ks Qh 7h 6c 2h 3d 6h 9h Jd Js 7d 6d As 5d 9s Ac 4c 8s 9d 8c 2s Td 5s 2d Jc Jh];[Qc, Qd, Th, Qs, null];null;null;b1[f:18,12] ;null;Hero{8} ;8;b1[6d, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jc 3h 6d 2h Ah As 6s Ts 7d 8c Kh 3c 5c 4s Tc 3s Jd 7c 5d 7h Js 2c Ks 3d 4h 9h Kc 2d Qh 9c Jh Ac 5s Td 5h 8h 4c 6h 7s 8s 6c Ad 9s 9d 2s 4d];[Qc, Qd, Th, Qs, Jc];null;null;b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[6s, Ad]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 5h Ts As 3h 9c 9h Js 8s Jc 7d Ks 8h 7h 4d 4h 4s Jd Qh Tc 7s 2d 5s 6s 2s 2h 6h Kh 9d Jh 3d 2c Ad Kc 3s 8c Ah 3c Ac 9s Td 4c 5c 6c 6d 5d 7c];[Qc, Qd, Th, Qs, 5h];null;null;b1[c:18,12] ;b1[c:18,51] Hero[r:0,23] b1[c:6,8] ;b1(30) ;-14;b1[5s, Ts]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8h 3h 4c 3c 6c 5s 9d Kh 9h Js As Jh 2h 5d 9s 8c 7s Qh 4d 5h 6d Tc 8s 2s Ad Ah Jd Ac 4s 9c Ks Jc 7c 3s Kc 4h 2c Td 2d 7d 6s 5c Ts 6h 3d 7h];[Qc, Qd, Th, Qs, 8h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{12} ;12;b1[8h, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ As 4d Ts 5c Qh 7c Ah Td 2h 9d Js Jc 8c 3c 7d 5d 3d 4h 2s Kc 5h 7s 2d 7h 6c 6s Ac Ks 6d Kh 9h 8h Ad Jh 9c 5s Jd 3h 9s 2c 4s 3s 8s Tc 4c 6h];[Qc, Qd, Th, Qs, null];null;null;b1[r:16,57] Hero[f:81,18] ;null;{10} ;-10;b1[9s, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ As 6h Ks Ah 8h 6c Kh 4s 9d Jh 4d Kc 9c Jd 6s 4c 2h 3d 3s Ts 2c 8s 4h 8c 9h 3h 5s 2d Jc 5h 9s 5c 6d Qh 7c Js 2s 5d 7s Td 7h Ac Ad Tc 3c 7d];[Qc, Qd, Th, Qs, As];null;null;b1[c:18,12] ;b1[c:18,51] Hero[c:0,23] ;b1(22) ;-10;b1[5h, Ah]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ As 3d Ac 5s 8s 4h 8h 2c 8c 4c 7d 7h 9s Ks 6d Jh 6h 9d 2d 3s Ts Jd Ad 2h 6s 7s 9c Tc 4d Js 5c Jc 3h Kc 6c Kh 7c Qh 5h Td Ah 2s 3c 5d 9h 4s];[Qc, Qd, Th, Qs, As];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[f:6,8] ;Hero{12} ;12;b1[7d, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 8h 6s Qh Tc Jc Ad 5h 3c 9s 8s 3h Ac 5c 3s Kc 2c 7h 9h 8c Ts 6d Td Jd 2s 6h 7c Jh 6c Js 3d 7d Ah 9c 4h Ks 4c 4s 2h 4d 2d 7s Kh 5d 5s 9d As];[Qc, Qd, Th, Qs, 8h];null;null;b1[c:18,12] ;b1[c:6,8] Hero[r:0,69] b1[f:85,14] ;Hero{12} ;12;b1[Jc, Kc];b2;Hero[8d, Kd];b0
