 Kd 8d 6c Qs Th Qd Qc] [ 7c 9d 3s 5s 2d 8h Ts Ah 5h 2c Js 4s Qh 8s 4c Jc 9s 8c 4h 5c 3d 7s Ks Kc 2s 5d As 9h 3c 7d Tc 4d Ac Jd Jh 2h Kh 6s Td 6h 7h Ad 9c 6d 3h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8c As 6h 2h 6d Ks Jd Kc 9c 3s 5h 9s 7s 4d Jh 5c 8h 4c Ts Tc 8s Td 3c 2s 5d 9h Kh 2c 2d Ah 7d Ac 7c Qh 9d Jc 3h 5s Js 6s 4h 3d Ad 7h 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9s, 9h]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3d 9c 7d 2d 8h 5d Js Ad 8s 7c 5s 2c Jd Kc 9d 8c 9s 3h 6d 9h 4d 3c 2h Ts 6h 6s Jc Ah 7s 4c 2s Ks Jh 4h Qh As Tc Td 5h Kh Ac 4s 5c 3s 7h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[4d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 6h 4d Qh 9d Jc 7d As Kc Td 5d Ts 3d Ks 5c 7h 2d Ah 6s Ad 9s Jd Ac 7c 2c 2h 5s 3h Jh 4h 4c 9h Kh 8s 7s 2s 4s Js 5h 9c 8c 3s 6d Tc 3c 8h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Js, As]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8c 5h Ah 3d 9c 2s 3h 4d Kc Jh As Ac 9s 4s 9h 2c 9d Kh Tc 4h 4c 7h Ks 6s 7c Ad 5s 5c Td 6h 8s 2h 6d 8h 7d Ts 7s 3s Qh Jc Jd Js 3c 2d 5d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:4,5] ;Hero{16} ;16;b1[9d, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 3s 5c Ks 2h Js 3c 4s 7s 2c 7d Tc 4h 9h 4c Jd 3d 9c Ts Ac 5s 2s 8h 5d Ah 8s Jh Jc 7c 6h Ad As 4d Td 2d 5h 6s 8c Kc 9s Kh 3h 6d 7h 9d Qh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ts, As]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4c 4d 5h 7h Ac Ks Ts 6s 3c Kh 3s Tc 2h As 2s Kc 7c Qh 9d 2c 6h 4s 6d Ah Js 5c 3h 7s 9h 4h Td 9c 5d Ad Jc Jd 3d 2d 8s 7d 8h 9s Jh 5s 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ad, Ac]28804;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s Jc 2d 8c Ad 4s 9h Kc 8h Ks 6h 9c 3s Qh 9d 6s 7d 4c 7c 2c 4d 7s 3d 7h As 2h 9s Jh Js 5c 6d Kh 5s Ts 3h Td Ah Tc 4h 5d 5h Ac Jd 8s 3c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jh, Jc]28802;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9s Tc 4s 2d 9c 4h 5d Kc 8s 2h 8h 2c 3d 3h 6s Jh 7s 7h Ad 7c 4d Jc 4c 3s 5s Ah Kh Ts 8c 7d 5h Ac 2s 9d Ks 9h Qh 5c 3c 6h Jd 6d As Td Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Kh, Ac]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s Jc 6s 2h 3d 4d Tc 4s 3h Jd 6d 9c Ad 7h Td 9h 5d As 3c 6h Ks 7s 5h 9d Kc 2d 4c 8h Qh Ts Js Kh 5s 8c Ac 7c 3s 5c 2c Jh 7d 8s Ah 4h 9s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:4,5] ;Hero{16} ;16;b1[9c, Tc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 7d 5h Td 8h 9d 4d 9s 3s 4c 9h Ah 4s Jc As 7s 7c 2d 2c Jd Ad Kh 5d Js 6h 4h 3h 9c 6s 5c Jh 5s 8s Kc Ts 8c 2h Ac 6d 3d Qh 7h Ks 2s Tc 3c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9h, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4s 4h 6d 7c 3c 5s 9s Ts Td 9c 6h 7h 3d Ks 7s 9d Jh 3h Ad Jd Ac 3s Tc 2d 5h Kc Qh 8h 9h 5c Jc 4c 8c 5d Kh Js 7d 2c 4d Ah As 2h 2s 8s 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:4,5] ;Hero{16} ;16;b1[Kh, Ad];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 4d Ts Td Jd 8h 3c 3h Ks 4s 5h As 2d 8s 2s 5d Ac Jc 7h 7s 7c Tc 7d 9s Kc 9h 6h 2h 3d 3s Jh Js Ah 6s 9c 5c 9d Qh 4h 6d 8c 2c 5s 4c Ad Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[9h, 8c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s 2h 4d Jc Td 5h 3h Kh 9h 9c 5s 7d 9s Ad 3d 9d 6s 7s 8h 4c 6d Ac Ts 2c 8s Tc Js Jd 3s 4s 8c Kc 4h 6h 5d As 3c Qh Ah Ks 5c Jh 2d 7c 7h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ts, 7d]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h Kh 4c 2d 7s 7d 4s Ah Jc Js 2s Jd 9h 5c 6s 6h 9c 3c Ad 6d 3s 5d 9d 5s 3d Qh 2c 8c 8s Kc 4h 8h 3h 7h Ts 2h As 7c Td Jh Tc Ac Ks 9s 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Js, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c Ac 8c Jc 3h 5c 7s 7d As Qh Jh 3s 8h 9h Jd 5d 9s Ks 3c 9d Tc Ts Ad Td Js Ah 4s 3d 7h 8s 2c 4d 6s Kc 7c 6h 2h 4c 6d 5h 5s Kh 2d 4h 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5s, 5d]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc 7s 2s Ac 6h 9c 5h 3h 2d Jh 7h 3d Jd 9d 4s 8c Ah 8s Qh 3s Ad 7c Kh 4c 3c 5d Ks Js Td 4h 5c 9h 5s 6s 8h 6d Kc 9s 2c Jc As 7d Ts 4d 2h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[7s, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4h 2h 9c Qh 3h 7s 7c 9s 5h 4s Js 6s Jh Ks 8h 9d 5s Tc 5d 3d 2d 3c Ah Kc 8c 2s Jc As 9h Jd 4c Ad 5c 6h 7d 7h 2c Kh 4d 8s 3s 6d Ac Td Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5s, 5h]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ac 4h 5d 2h 2d 5s 5h 9d Kh 8c 7d 3h Jh Ts 7c Ah Jd Kc 5c 6s Js 9s 4s Qh Td Ad 7h 9c 6h 8s 4c 9h 3d 3c 8h Ks 2c Jc Tc 4d 7s As 6d 3s 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9d, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7s 4d 4h 2h Td 3c Jh 2c 4s 3d Tc 9h 6d Ad 5c 4c 3s Js As Kh Ac Ts Kc 6h 8c 8h 7c 9d Qh 2s Jc 7d 9c 6s 5h 9s Jd Ks 3h 2d 5s 5d Ah 7h 8s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jc, Ac]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ts 8s Ah 3d 7h Jc 2c 9h 2d Js 3h Tc 7s 4h 7c 9s 6h 8h 6d 8c 2s 5h 2h 5d As 5s 4c Ks Td 7d 4d 9c 3c 3s Ad 5c 6s Ac 4s Qh 9d Kc Jd Kh Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[6s, 6d]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd 4d 7s 7c Js 7d 6d 5h 2d 9d 2s Qh 6s Ah 2c 9s 8h 3c 5d Ad Ts 4h 4s 7h 5s 2h Ac 6h 3s 3d Td 9h As 9c Ks Jc Tc 8s Kh 5c 4c Kc Jh 3h 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5s, 5d]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7s 9s Js 7d Ah 2c 4s Kc Kh 4h 6s Ks Qh 8c Td Ac 5c 8s 7c 2h 2s 3h 9h As Jd 2d Jh 9c 4c 5s Ts 3s 6d 5h Tc 3d 9d 5d 7h 4d 8h Ad 3c 6h Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[9d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7s Jc 9s 7d Ah 9h 3s 2c 9d 3d 6d 7c Kh 4d 8h 4s 5d 4c 2s Jh 4h Ts Jd 2h 5c Qh Ad 8s 3h 9c As 5s Ac 6s Kc Js Ks 7h Td 6h 5h Tc 8c 2d 3c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[Js, 9c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ As 5s 8h 9d 7d Qh 5c Jc Jh 4h Tc 6h 3d 3h Js 3c 4d 7s 7c 5d 9c 2d 3s 4s Kc 6s 8c Ks Td 4c Ac 9h Ts 5h Jd Kh 8s 2s 2h Ad Ah 9s 2c 6d 7h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5s, 5c]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3d Ks 7c 9d 2s 2h Kc Jd Td 5c 9h 6h 9s Ad 8c 6s 3h 7d 4d Js 6d 5s 8s 7s 4c 5h Qh Ac 9c Ts 5d 3s 8h Kh 3c Tc Jh 4h 2c Ah Jc As 7h 2d 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;--18;b1[6s, 6d]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4c 6d 2c 9s 4d Jc Kc 3h 7h 4h 8h 3s 7s Tc 8c Ac Ts 9h 2d 8s As 5h 3d 2h 7d 6h 3c Qh 5s Kh Jh Jd Ah 7c Td 9d Ad Ks Js 5c 6s 4s 9c 5d 2s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Jh, Kc]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5d Ks 2d Ts 7s 8h Js Td 7c 5h 6s 6h Kh 9s 8c 8s Qh 3h As 4s Ah Jh Ac Ad Jd 7d 6d 4h 2h Tc 3c 9c 2s 5s 5c 9h 2c 4c Kc Jc 9d 4d 3d 7h 3s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[8s, 8c]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4s 2d 7h 8c Td 3d Tc 8h Ad Js 2c Kc 6s 5c 6h Ks 4d 8s 9c 4h 5s 7c Qh 6d 7d Ah 4c 7s Ts 2s 3s 5d Jh 9h 9s Jd Ac Jc 2h 3c Kh As 9d 3h 5h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[5c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 7s Js 3c 9s 3s 7h 3h Ks Td 2s Qh 7d Ad 2d 4c 6d Kh 8h 5h Ah 9c 6s 6h Kc 5d 4h 7c Tc 9d 9h 2h 8s 5c Jd As 8c 5s 3d 2c Jh 4d 4s Ts Ac Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ad, 5c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ts 4s 2h 4h 3h 6d 5d Jd Js 5c Td 4c 6h 9d 4d 7h Tc 2s Ac Ah Kh 2c 7c 8c 5s As 9c 2d 7d Ks 5h Jc Ad 7s 3c 6s Kc 3d 8s 3s 9s Jh 8h Qh 9h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Ad, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5s As 9c Js 7c Ad 3d 4h Jc Tc 4s 9s 9d 3s 7s 4c 9h Jd Kh 2d Ks 8h 6s Qh Jh 2h 3h 6d Td 6h 8s 5h 2s Ah 5d 2c 3c 5c 4d Kc Ts 8c Ac 7d 7h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[Tc, Kc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9s 4s 8c 3h 2h Qh 3s Jd 7d 7c 2d 6h Ah Tc Td Ks 5d 9d 4d Js 2s 5s 5c 6s 8s 3c Kh 9h 9c 2c 4h Ad 6d Ac Ts 4c Jc 3d Kc As 7s Jh 5h 7h 8h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[4d, 4c]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jd 7s 2h 8h 4c 5s 2c 7h As 9c 3d Qh Ks Ac 7c 4h Kh Jc 6d 3s 9s Jh Kc 8c 8s 5c Tc Ah 6s 4d 4s 5d 3c Js 2d Ts 7d Ad 2s 5h 9d Td 9h 6h 3h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[Jd, 8c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 8c Td 5s 2c 3h Jd Js 8h 7d 3s 3d Ks 5h 9c Jh Kh 4h Jc 5d 9h 7h Kc 2s 2h 4c 8s 4s Tc 9d Ad 3c Ac 5c As 7s 9s 2d Qh 6d 7c Ts Ah 6s 6h 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[4s, 4d]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jh Ac 8h As Td 2d 8c Jc 9c 2h 8s 3s 2c 3c 2s 7h Ad 6h 6d 9s 4d 6s 9d Ts 7s 5d Kc Tc Ks 5h 4c Jd 4s 5c Qh 7d Js 5s Ah 4h 9h 3d 3h 7c Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:89,10] ;Hero{16} ;16;b1[9s, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h 7h 4h 9h 9c Js 6d Ts 4c 3c 6h 5c 4d 3d 5s Ah 4s 3h Ks Jd 5d 9s 3s 7d Td Ad 2c 6s Jc 5h Ac Kc 7c Qh 2s As Kh Tc 7s 2d 2h 9d 8s 8c Jh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] ;b1(38) ;-18;b1[As, Jh]17109;b2;Hero[8d, Kd]17098;b0
