 Kd 8d Qs Th Qd Qc] [ 7d 3c 5d Jd As 8h Qh Ac 8s 3d Kc Td Tc 5h 5s 6c 9s 3h 9d 6h 2h Jc 4d Ad 4h 6d 2c Jh 7s 8c 4s 7h Js 4c Ts 2d Ks 9c 3s 2s 5c 7c 6s 9h Ah Kh];[Qc, Qd, Th, Qs, 7d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[9s, 9h]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7h Tc 4d 4h 7s Ad 2h Ac 7d Js 3s Ah 7c 8s 3h Jh 5h 8c Ts 5s Qh 2s 9s Ks Kh 4s 2c Td 2d 5d 3d 4c Jd 9d 3c 9c 6d 8h Jc 6s As 9h 6h Kc 5c 6c];[Qc, Qd, Th, Qs, 7h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6h, 6c]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5s 7d 4h As 8s 6h 7c 3d 9h Qh Ad Td 2h 3s Jd Js 5h Ah 9s 5c 4d Kc Kh 6c 6s 5d 7h Ts 4s Ac 9d 4c 3c 6d 8c Jh 3h 2d 7s 2s Ks Tc 2c Jc 8h 9c];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[4c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8h 7c 3h Ad Td 5c Qh 6d Ac Ks 6c Jc 9s 8s As 5s Ts 4c 2d Js 9c Jd 9h 4d Jh 4h 6s 7d Ah Tc 9d 3d 5h 2s 7s 6h 8c Kc 3s 2c 3c 2h 7h Kh 5d 4s];[Qc, Qd, Th, Qs, 8h];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(16) ;16;b1[5s, 5d]28796;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 2c 5d Kh 4h Ts 5c 9s 7h 7d Ad Jd 3c Tc 8h Jc 7s 2h 6d 9d 3s Jh Td 2s 5s 8c 3h 7c 5h 3d 4d 9c Kc 8s 4s 6s Ks As Js 4c Ah 6h 2d Ac Qh 9h 6c];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[5c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6d 6h 3c 3d Td 6c Ac Ah 7c 4s 3s 7h 9d Ts 3h Qh 5h 8h Kc 5d 7d 5c 5s Jh 9c Tc 9h Jc 2s 9s 2d 4h 2c 2h Ks 8c 4d Jd 7s 6s Ad Kh 8s 4c As Js];[Qc, Qd, Th, Qs, 6d];null;null;null;b1[c:4,5] Hero[r:0,77] b1[f:4,5] ;Hero{12} ;12;b1[Ad, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Kh 4c 4h 5d 4d 5h Ah 4s 6d 6c 3c 7d Ks 8s Ts As Kc 5s 9s Ac Jc Td 7h Js Tc 2s 3h 6h 9c 2c 9h 9d Jh 2h 7s 3s Ad 7c 2d Qh Jd 8h 3d 5c 8c 6s];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[r:14,64] Hero[c:0,17] ;b1(30) ;-14;b1[Qh, 3c]32899;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Kh 6d Qh 6s Ac 3d 4c 5h 2c 6h 5c 4s Td 3s 7h Ad 9d Tc Kc 7d 4d 2s 5s 9c Ts Ks Jd Ah 5d Jh 3c 6c 8c As Jc Js 4h 8h 7s 8s 9s 9h 7c 2d 2h 3h];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:4,5] Hero[c:0,77] ;b1(11) Hero(1) ;1;b1[Ah, Kc]28803;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 5s Jc 6h 7c Ac 2c Ad Ks Kh 8s 7d 2d Tc 3h 4s 9c Ah 2h 6d Js 8h 4h 3s 9s 8c Jd 5d 3c 2s 7h 4c 9d Jh Qh Ts Td 7s 5h 3d 9h 5c Kc 6s 4d As 6c];[Qc, Qd, Th, Qs, 5s];null;null;null;b1[r:4,5] Hero[f:92,7] ;{10} ;-10;b1[9s, Ah];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6s 8h 2h 8c As 4d Js 2c 5d Ks 6c 4s 3c 5c 6d 6h Jd 4c 2s 7s Ts Jc 7h 9d 4h Qh Td 3h 9h 9c Kh 2d Ad Ah 5h 3d Tc Kc Jh 9s 5s 3s 7c 8s 7d Ac];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[c:14,64] Hero[c:0,17] ;b1(22) ;-10;b1[As, 5c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Jd 3s Ah 2d As Ks Tc Ts 3d Kh 6h 3h 6d 8c 5c 2s Qh 3c Jc 5h Ad 5s 9c 7h Kc 4c 9h 6s 7d 4d 8h 2h 7s 9s Jh 8s 9d 2c 4h Td 4s 5d Ac Js 6c 7c];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[3s, 3h]28794;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 5h 9c As 9d Kh 4c 6d 4s 2h 3c 7c 8s 8c 6c 7h 6s Ac 8h 2c Jh Js 2s 7s 7d Td Ad 4h Ts 2d 5s Qh 5c 3d Kc 3h Jc 9h 3s 6h 9s Jd Tc Ks 4d Ah 5d];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:14,64] Hero[c:0,17] ;b1(22) ;-10;b1[Qh, 5d]32897;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3h Js 3c Kh 9d 5c 6c 2d 5s 5h 2c 9c Qh 7s Jh 2s Ah 6d 8c 7d Ad Ks Jd 8h As 7h 4c Td 9s Ts 3s Kc 6h 6s 2h 4d 8s Jc 4s 9h 7c 3d Tc 4h Ac 5d];[Qc, Qd, Th, Qs, 3h];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[8c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ As 3h 4s Td 5s 9h 4d 8h Qh Js 6d Jc 4h 5c 3c Ac 6c 7d 2d 7c Kc Jh 2h 9d 9s 3s 8s 8c 7h 2s Ks 4c Tc Kh 2c 5h 3d Ts 6h 5d 9c 7s Jd Ad Ah 6s];[Qc, Qd, Th, Qs, As];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[Js, Kc]20490;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Jc 6d Kh Tc 2h Ac 9d As Ts 7h Jd Qh Ks 4s Ad 3c 9h 6s Kc 7d 5d 6c 3d 7c Jh 4d 5h 4c 9s 9c 5c 5s Js 2c 2s 2d 7s 3h 6h 8s 8c Td 8h Ah 4h 3s];[Qc, Qd, Th, Qs, Jc];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[4d, Td]28801;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ As 9h 6s 7d 8s 7s 8c 5c Jc 5h Ad 6c 9c 7h Jh 6d Ah Ts 8h 3s Jd 2c 2d 5d Ks 5s Qh Tc 2s 7c 4c 6h 4h Ac Kc 3h 9s 3c 3d 2h 4d Js 4s 9d Kh Td];[Qc, Qd, Th, Qs, As];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[4s, 4d]28795;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 7c 4c Kh Ks Ts 4h Td 8s Js Qh As Jh 3s Ac 6c 6h 2d 5c 4s 5h 9s 4d Kc 5s 2s 3c Tc Jd Jc 5d Ah 9h 6d 2h 8c 7s 9d 3d 6s 8h 9c 7d 7h 2c Ad 3h];[Qc, Qd, Th, Qs, 7c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ As Ts 2d 2h 5h 8s 6c Kh 9h Js Jd 4c 8c Jc 3h Ks Tc 7s 3s 3d 8h 9d 3c Td 9c 2c Qh 6d Ad 7c 4h Ac Kc 6s 5s 2s 6h 4d 5d 5c 4s Jh Ah 7d 9s 7h];[Qc, Qd, Th, Qs, As];null;null;null;b1[r:14,64] Hero[c:0,17] ;b1(30) ;-14;b1[7h, Qh]32900;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Jd Jh 8s 2d 5d 9h 5c Ac 7d 5h 4d 2c 3c 2h 3d 6d 8h Tc 6h 9d Kc Ad 2s 8c 4h Qh As 7s 6c Jc 9s 7h Ts 3h Js 4c 4s Td 6s 3s Ks 5s Kh 9c 7c Ah];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:14,64] Hero[c:0,17] ;b1(22) ;-10;b1[As, Qh]32900;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ Ah 9s 4h 7s 6c 5c 8h Jh 4c 8s 4s 7c 5s 3s 2s 7d 9h 2h 6h 6d 9d Ad 8c As 6s Qh 9c 7h Kc 2c Ac 3h Kh 3c Ts 5d Js 4d 5h Tc Td Jc 2d Jd 3d Ks];[Qc, Qd, Th, Qs, Ah];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Js, Jc]28802;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 3s Kh 3h 8h Jd 9c 5s Ts 5c 9d 4c 9s Ah 3c As Qh 5d 6h 2h Td Ad 2c 7c 2s 7h Jc 6d Js 6c 2d 4h 8c 6s Jh 5h 4d Tc 7d 7s Ks Kc 9h 4s Ac 3d 8s];[Qc, Qd, Th, Qs, 3s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, Ad]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4h 2h 2c Jd 7h 7d 7s Jc 3d 4c 9h 4d Ac Qh 9d 5c 8h Tc 4s 3c 2s 9c 5h 6h 6c 8s 2d Kh Ah As 5s 9s Jh 6s 8c Kc 3h Td Js Ad Ts 7c 6d 5d 3s Ks];[Qc, Qd, Th, Qs, 4h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[7d, 7c]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9h 5h 5c Jh 2h 7d 3d Kc Tc 4d 4c 4s 7c 2c 6s 5d Ah 6d 8s Jc 3s 9c 4h 6h 8c Jd Ac 3c Ks Qh 5s Td Ad 9d 7h Js As 6c Kh 2s Ts 8h 3h 7s 2d 9s];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[7s, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6s 3d 4s 4h 2s Ac 6h Qh 5h 2c 7h Tc Td Kh Jh Ah 7c As 4d 9d Jd Ks 3h Jc 9c Js 3c 8h 3s 2h 9h 9s Ts 8c 6d 7s 5c Kc Ad 5d 2d 6c 8s 4c 7d 5s];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[c:4,5] Hero[c:0,77] ;b1(22) ;-10;b1[5s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kh Ks 9c 2d Ts Ac Ad Td 3d 4c 6s 3c 6d Js 9d Jh Kc 3s 8c Qh 6c 5s 4s As 4h 5d 9s 5h Jd 2h Tc 7d 2c 4d 6h Jc Ah 5c 2s 8s 8h 7s 3h 7c 9h 7h];[Qc, Qd, Th, Qs, Kh];null;null;null;b1[c:4,5] Hero[r:0,77] b1[c:4,5] ;Hero(16) ;16;b1[5s, 5d]28796;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ 5c Jd Js 8c 7h 8s 3d Ts 6c 3h 2d 4s Qh Kh 9c 4h 7c Ac Jh Ah 2s 9d 2c 6s 6d 2h 4d 5d 5h Tc Kc Td 8h 9h Ks 3c Jc 4c Ad 3s 5s 6h As 7d 9s 7s];[Qc, Qd, Th, Qs, 5c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[2d, 2c]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5d 7d 3s 7c 4c 5s 2s 2c 6s 8c Qh As 5h 8h 6d 4h Kh 7h Ah 4s Jd Jc 2h 4d Ac 9c Js Jh 2d Tc Kc 3d 9d 5c 3c Ks 6c Ts 8s 6h Td 7s 9h 9s Ad 3h];[Qc, Qd, Th, Qs, 5d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ac 3c 6d 5d Kh 7d 3s Tc 9h 6h Ts Ad 5h Ks 5s 9s As 3d 8c 2d 8h Qh 2c 6c Jh 7s 7c 9d 2h Js Jc Td 9c 8s 6s 4s 5c 4d Jd Ah 3h 4c Kc 4h 2s 7h];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ad, Kc]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 5h Jd 8s Jc 2d Ah 5s 4s Td 8h 3s 7d Kc Ad 9h Ks 7h 6d 5d 5c 6h Kh Js 3c 2c 6c 3d 9s 7c Ac Tc 8c As 7s 4c 2s Jh 3h 2h 9c 9d 4h Ts Qh 6s 4d];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[4d, 4c]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ts Ad As 6d 8h Qh 7h 6s 6c 6h 8c 5s 4s 9c 9h 9d 2s 4h 2c 2d 9s 4d 7d 3c 7c Jd 7s Ah Ks Td 8s 4c Jh 2h Jc 5c 3h Js 3d 5d 3s Ac Tc Kc 5h Kh];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:89,10] Hero[r:0,17] b1[f:89,10] ;Hero{12} ;12;b1[Ts, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Jd 8s 3h 9s 5c Kh Ks 3d 5h 4h 8h Kc 2d Js 6h 5d 6s Ts Jh 6c 7h Tc Jc 7c 7s 2s 4d 2c 4c Ad 3s As 2h 6d 9c 8c 9h 5s 3c 9d Ac 4s Td Qh 7d Ah];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:89,10] Hero[c:0,17] ;b1(22) ;-10;b1[7h, Ah]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 7c 4c Kh Ts 8h 9c 6c 2c 4h 5d Ad Jc 5c 7d 5h Js 4s As Jd Ks 6h Ah 7s Kc 2h 3d 6d 9d 3c 2d Td Tc 6s 2s 7h 9h 3s 8s Ac 8c 9s 5s Qh 3h 4d Jh];[Qc, Qd, Th, Qs, 7c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Ts, Jd]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6c Ad 3h Ks 9s 7c 9d 2c As 9h Tc 8s 4s 6h Jh 9c 5s 4c 2d 4h 2h Jc Td Jd 3d Kh Ts 6d 7d 6s Qh Ah Ac 8h 8c 3c 5d 5c 2s Js 4d 7h 7s 5h 3s Kc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[2s, 2h]28793;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8s 9c 6s Ac 6h Jd 5c 9s 4s 2c 5h 9h 3h 6c 2h Kc As 7c 2d Jc 5s 5d Ad Qh 7h Jh Ts 4d 3s 2s Ah 3c Js Kh 4c 4h Td Ks 8h 3d 7s 6d 9d Tc 8c 7d];[Qc, Qd, Th, Qs, 8s];null;null;null;b1[c:89,10] Hero[r:0,77] b1[f:89,10] ;Hero{12} ;12;b1[8s, Js];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5h Ah 5c 5s 8h Ac 7c 8c 9d 4s As 6c Ad Qh 3c 4h Jc 6s 9h 7h Ks 9s 2s 8s 5d 7d 3s Td Jh 3d 6d Kc Js 9c 2d Kh 2c Tc 7s 3h 4c Ts 2h Jd 6h 4d];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Td, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7c Tc 6d 2c 8s 5d Ad 3s 5h 2s Ah 9c 5s Kh 4h 7s Js 3c 2d Ks 7h Ac Qh As 8h 3h 4c Td 4s 4d 5c 6s 8c Kc 2h 6h 6c Jd 7d Ts Jc Jh 3d 9d 9h 9s];[Qc, Qd, Th, Qs, 7c];null;null;null;b1[r:14,64] Hero[f:92,7] ;{10} ;-10;b1[5h, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 5h Ac 6s 6d Tc 4d Ad 4s 8h Jc 8s Jd 4h Ah 7c 2d 2s Qh Kh 9s As 2h Td 8c 9d 7d 4c 5s 9h 3s Jh 3d 6c Kc 3h 3c 6h 7s 2c 9c 5d Js 5c Ks Ts 7h];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Jh, Ac]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7h Tc 3c 6d Ac 9s 4h As 5s Ts 2d 7c 3h 9c 2c Jd 9d Js Jh 6h 2s 2h Ad 3d 3s Kc 6c 4c 5d 8h 4d 7s 5h 4s 6s Kh Td Jc 8s Qh 7d 9h Ks 8c Ah 5c];[Qc, Qd, Th, Qs, 7h];null;null;null;b1[c:4,5] Hero[r:0,17] b1[c:4,5] ;b1(30) ;-14;b1[Tc, Ac]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ah 7h 4h As Kc Ad 9d Tc Js 8h 9c 2d 2c 6h 3c 5s Qh Ks Kh 2s 5d 6c 7s Jd Ac 3h 5c 2h 7c 7d 8c Ts 4d 9s Jc 9h 3d Td 8s 5h 4s Jh 4c 3s 6s 6d];[Qc, Qd, Th, Qs, Ah];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[6c, Tc]28801;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 6s 2c Js Ks 7h 7c Kc 2d 4d 9s 6h Td 6d 5d 8c 9c Ts 5h 8h Qh 5c Jh 3s Ah 4h 4s 8s 2s 2h 9d 3h Tc 6c As 7s 4c 3d 9h Jc Kh Jd 5s 3c 7d Ad Ac];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[r:4,5] Hero[f:92,7] ;{10} ;-10;b1[Ts, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6s Qh 5d 3h Jh 6d 2c 4d Ac Kc 4s Jc 7c Ad Ks 3d 9s 9h 8h Td 9c Kh 2d 7s Ah Jd 3s Tc 6h 8c Js 3c 9d 6c 5c 5s Ts As 4c 4h 5h 8s 2h 7h 2s 7d];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[7c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ac 9d 6d 6s Tc Ts 2h Jd 7h Ad 9h 2d 2s Jh 9s 8c 6c 3c 4s Ah Qh 2c Kc 5h 4c 8h 6h 3h 5c 4h Td Kh 4d 3d 7s 7d Js 9c 5s As 3s 8s 7c Ks Jc 5d];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[4s, Ts]28801;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Jc Jd 9c 8h 7h 3d 2c 9s 8s 3s 8c 2h Ah 2d 5d 7s 4d 3h 5c Kh As Qh 9d Ac 6s 5h 9h 2s Kc 4s Jh 6c 4c Td 6h Js 3c 7c Tc 5s Ts 4h Ad 6d 7d Ks];[Qc, Qd, Th, Qs, Jc];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Js, Ah]28802;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 2d Jc Td 6h 3d 4c 2c 9s 8c 3c 2s 7s 9d 7d Jd Qh Ks 5d Tc Js 8h 6s Ts 2h 5s 4h 8s 9h 4s Kc Kh Jh Ad 7c Ah As Ac 5h 5c 6d 3s 6c 7h 4d 9c 3h];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Jd, Jc]28802;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9s 6c 7d 6d Js Ah 5c 4d 7h Ks 5h 5s 3c Ac Tc 3h Qh 7s Jc 4c 9h 2s 2c Ad 8c 6h 8h 4h 3s 6s 4s Kc Kh 3d 2d As 7c Jd 9c 8s Jh 5d 9d Ts 2h Td];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:4,5] Hero[c:0,17] ;b1(22) ;-10;b1[Jd, Ad]17109;b2;Hero[8d, Kd]17098;b0
