 Kd 8d 6c Qs Th Qd Qc] [ 6h As Qh 2c Tc 3d 7d Ad Jd 9h 5c 5h 4d Ah 4s 7s 7c 2d Js Ts Jh Ks 2s 4h 8s 9c 4c 8c 6s 9d 3s 3c 6d Td 3h Kc Ac 2h 8h 7h 5d Kh Jc 9s 5s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[7c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc 5s 5h 7c 9d 6s Ks 3h 6h 9h Td 4c Jd Jc 7d 2s Kc 3s 2h 2d 3d Js 3c Qh 6d Jh 5c 5d 4s Ac 9s Ts 9c 8s 4h As 7s 8h 4d 8c 2c 7h Ad Ah Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9h, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2d 5d 7h 9d 7s 3s 2s 2c Js Kh 7d 4c 3d 8c 4s 2h Ts Jd 4h 5h Ac 9s 9h 6d Ah Jc Tc Ad 6h 8s 3c 3h 8h As Ks 5c 9c Jh 7c Td 5s 6s Qh Kc 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:6,8] Hero[f:88,11] ;{10} ;-10;b1[Ah, 7d];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 7s 5d 8h Qh 4c 6h 9h 9c Kc Td 8c 4s 2c Ah 5c Ks 5s 6s Kh 5h 4h 2d 7c Js 9s 2h Jc Jd 9d 4d Tc Ad As Ts Ac 7h 2s Jh 7d 6d 3h 8s 3s 3d 3c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[As, 5c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2d Ks 9h Ac 8s 4s 5h 5s Jc 6s 7s 2h 4d 6d Tc As 3s 7d 9d 4h 5c 9c Jd Ad 3c 6h 4c 7h 8c 8h Ah Qh Js Jh 2s Ts 3d 2c 5d 7c Kc 3h Td 9s Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[As, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks 2s 7h 9d 7c Jh 9c 4h 9h 5h 9s 6h 6s Jd Ad As Jc 8c 6d 4s Js 4d Td Tc 3h 2h 5d 3d 7s 3c 7d Kc 4c Ts Ac 8s Qh 2d 5s 2c 8h 5c Ah 3s Kh];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[5s, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4c 4d Td Ks 6h 6d 8s 9c Jh 3d 7h 2c Ah As 5s 3c Ac Kc 4h Js 5d 5c 2d 7d 3h 7s 8h Ts Ad 9d 3s 8c Jd 7c Jc Tc 2s 2h 9s 9h 5h Kh Qh 4s 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9c, Ac]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Td Kh 3h 7c 4s 9c As Ad 2d 4d 6s Kc 2c 6h Jc 2h 3d 8h Ac 5h Tc 8c Ks Jd 5c 7s 7d 9s 2s Ah 3c 4h 9d 5s 9h 4c 3s Qh 5d Jh 6d Js 7h Ts 8s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Ks, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c Ad 4c Kh 4h Ks Kc 7c 6h 4s Jd Jc 9d 3s Js 5c Jh 7h 2c 2d Ah 9h As Ac 5s 3h 4d 8s 6s 5h 2h Tc Qh Ts 7d 7s 9s 3d 6d 5d 8h 2s Td 8c 3c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Kh, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Jc Td 8c 2d 5d 3c 5s Tc 4h 3s 5c Jd 3h 9d 7d Ks 7h 6d 3d Ac Kh 8h 7s Qh Js 8s Ad Ts 5h As Kc Ah 2c 6h 7c 4s 2h 2s 9c 9h Jh 6s 4d 9s 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h Js 7s 5s 3h 4h Ts 2s 4d 9s Td 6s Jc As Qh Jh Tc 7c 2h Ah Ad Kh Jd Kc 3c 4c 7d 2c 6h 5d 7h Ks 9h 9d Ac 8s 8c 4s 5c 2d 3d 3s 5h 9c 6d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:6,8] ;Hero{8} ;8;b1[Js, Ah];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s 9d 4s 8s Jh 2d 8h 6h 2c Td Ad Jd Ac Kh Js 3c 8c 6d Jc 5h 7d 5c As Ah Ts Qh Tc 7h 9s 9c 2h Kc 5d 7c 6s 3d 7s 4c 3s Ks 5s 3h 9h 4h 4d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Kh, Jc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ah 2h 3h 7d 4h Tc 8h As 9s 3d 5s 8c Ad 3s Qh 9d Ac 8s 6h Kh 3c 4c Kc 9c 7c 4d Jd 7s 2c Jh 2s 6d 4s 9h Ks Ts Jc 6s 5d Td 5c 2d 7h 5h Js];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9h, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 8c 9s 4h 5d 7s Ts Jd 3c Jc As 6h Ac Kc Kh Ah 4c 7h 8s 4d Qh 3h 3s 9c 2d 6d 2h 9h Js Tc 9d 2s Ad Td Jh Ks 7c 5s 6s 3d 5h 8h 7d 5c 4s 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[Jd, Kc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 3h 6s Tc Ts 2c Js 9s 3c 4h 7d 8h 7c 8s Ks 4s 3d 6d Kc 9c 7h Ah 5c Jd Kh 8c Ad Td 2s Jc 5d 3s 4d 6h 2h 9d As Ac Jh 7s 5s 5h 9h Qh 2d 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:85,14] Hero[f:88,11] ;{10} ;-10;b1[Jc, Kc];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 7h 6d 9c 2c As Tc Jh Ad 8s Js 9d Td 3c Jc 3d Kc Ah Kh 7d 5s 5d 8c Jd 6s 7c 4c Qh 4s 3h 4h Ks 7s 2d 5h Ts 6h 5c 8h 9s Ac 3s 4d 9h 2s 2h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[As, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9d 4c 8h 6d 7d 9c 5d 5c 5s Jc 9h 4d 8c 3s 6h 3c Ac 5h Ks Jh 2s 2d 7c Ts Jd 2h 7h 2c Kc Kh Tc Td 6s 4h 9s 8s As Ad Js 3d 4s 7s Ah Qh 3h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[9s, Js];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 9c 2d Tc 3c 9s 7c Kh Jd 4h 4s 3s 7d Jh 8c 2h As 2c 8s Ks Jc 3h Js Kc 7s 6h Ts 4d Ac 7h 3d 5c Ad Qh 9h 2s Td 8h 6s 5h 9d 6d 4c 5d 5s Ah];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[8s, 9s];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Jc 4s 5d 4d 2d Ah 8s 2c Ad 3d Qh 9s 9h 6h Ks 3s 7c Ac 4h Jd Jh Td 3h Tc 7h Kc 2s As 8c 6d Ts 7d 4c 9c 7s 8h 5c Kh 3c 5s 2h 6s Js 5h 9d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:18,51] ;b1(22) ;-10;b1[7s, As]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h 3s 7d Tc 5h 5c As 4h 3d 6h 7c 2c 6s Kc 4d Qh 9d Jc 7h 5d Jd 8h Js Td 2d 2s Ad Kh 6d Ks 5s 4s 9s 4c Ah 3c 7s 9c 2h Ac 8s 8c 3h Jh Ts];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:85,14] ;Hero{8} ;8;b1[8h, 9d];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks Qh Jc 2d Js 7c 6s Kh 9d 6d 7h Ad 4c 6h Td Jh 8c 3h 5h 7d 4s 2c 8s 8h Jd 5c 9s Ts 3c 5s 5d 2h 3d 4h Ah Kc Ac 4d 2s 3s 9c 9h As Tc 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[9h, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Js 5d Kc 8c Ks 2c 7c 6d 9c 2h 4d Kh 7h Ac 4c Jc 5h 2s Ts 5s 9s 4h 8h 6s Qh 2d Tc Ad 9h 3d 6h As 3c Td 3s 7d 8s Ah Jd 3h 7s Jh 9d 5c 4s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:6,8] ;b1(22) ;-10;b1[5h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Js Jc Kc 4s 4d As 2s 8c Jh 6s 2h Ac 5c Ks 6d Tc 4c 3c 9c 7c Jd 8s 3s 7h 7d Qh 3h 5s 2c Ah 5d 2d 8h 6h Kh Ts 4h Td 9h 9d Ad 5h 7s 9s 3d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[r:6,8] Hero[f:88,11] ;{10} ;-10;b1[Td, Jc];b2;Hero[8d, Kd];b0
