 Kd 8d 6c Qs Th Qd Qc] [ Jc 2c 4c 7d 3s Qh 5c 3c 7c Tc 3d 8h Jh Ac 5d 2d Ad Jd Ks 9s 9c Td 8c 4h 2h 4s 6d 3h 4d 6s Kc 7h 7s As Kh 9h 5h Ts 9d Js Ah 2s 5s 8s 6h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ah, 5c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3c 5c Jd 5s As Ts 2d Td 6s 2h Jc Ac Ah 6h Qh 9d 4d 8c Js 7d 3s 9c 9s 9h 8h Jh 4c Tc Ks 4h 3h 3d 7h Ad 8s 7s 2c 2s 4s Kc 5h Kh 5d 6d 7c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[9d, Jd];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ 5d Jc 3c 3s 2h 9d 4h 5c Ad 3h 4d Ah 7s 6s 4s 9c As 5s Kc 9h 6h 7d Ac Kh 2s Qh 4c Tc Js 2d 3d Jd Ts Td 5h Jh 6d Ks 9s 7h 8s 8c 7c 2c 8h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[6h, 6d]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ad Kh Js Jd 2h 7d 7s 6s As 7h 5c 9s 9d 7c 3d Tc 8s 8c 2d 8h 6h Kc 9h 3s 6d Ah 2c Ts 5d 9c Ks 5h Jh 4s 5s 3h Qh 4c 2s Ac 4d 4h Td 3c Jc];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ks, Jd]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8h 3h 4d 7c 9s 3s 8c Kc Ks 3d Tc 9h 4h 2h 7h 4s Ad Jc Ah Js 5c 8s Qh Td 5d 5h 4c 5s Kh Ac As 7s 6h 6d Ts 7d 9c 2s 2c 6s Jh 9d Jd 3c 2d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[4s, 4d]28795;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3d 2s 2d Tc 7c 8c 8h 3s 6s 5s 2c Ts As Kc Qh 9d 5c 4c Ac 4h 5d Ks Td 3c 9h Ah 4s 9c 9s 7h Jh Kh Jd 4d 7d 2h 6d Jc 8s 7s Js 6h Ad 3h 5h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[7h, Ah]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2s 5h 7d 2d 4d Tc 6h 5c Jd Jc As Jh Ac Qh 7h 9c 5s 3c 3d Ah 3s 6d Kh Ts 4h 3h 9s Ks 7c 2c 8h 5d 6s 8s 9d 7s 2h Kc 9h 8c Js 4s Td Ad 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ks, Ac]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 9h 4h 7d 6h Td 7s Ts Ac 4c 6d 5c Kc Jc As 9s Ks 8c 5s 3c 2d Ad Tc 3s 9c 8h 5d 2h 8s Qh 3d Jd 3h 4d 2s Js 4s 9d 7h 6s Kh Ah Jh 5h 7c 2c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ah, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ks 8s 2h 9d Js 8h 8c Tc 3h Kh 6d Kc 3s 3c Ac 5c As 2c 3d 4c Ah 7s Ts Jh 5h 5d 2d 9c 9h Ad 6h Jc 7c Td Jd 7d Qh 4d 4h 5s 7h 2s 9s 4s 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ah, 5c]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As 5s 8s 4d Ah 8h Jc 9s 3s Ks 4h Kh 9h 9c 2s 3c 9d 3d 7h 5h 6d 2c Jd 8c Jh Ac Td Js 7d 2h 5c 4c 4s 6h Qh Tc Kc 5d Ad 2d 6s Ts 3h 7c 7s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ad, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ac 2h 8s 8c Ks 8h 4c 2s 9s Tc 4s 7s Jc 6h Ad 7d 3d 3c 2c Jh 9c 9d 5h 5d 6s 4h 5c Kc Jd Ah Qh Js As 3s 4d 3h 7h 7c Ts 6d Td Kh 2d 9h 5s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[As, Ac]28804;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Jh 5c 9s 3s Jc 3d 2d 2h Kh 4d 4c 9c Kc Jd 4s 9h 8c 3h 7s 7d 3c Js 5d 2s 8h 5s 2c Ks 9d 5h 6h 4h 8s As Ac Td 6d Ts 7c Qh Ah Tc Ad 7h 6s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[9s, 9c]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2c 5d Js Ad 7s 6s 9d 4s 2s Jc Ts 5h Jh 9h 7h 6d Tc Ah As Jd 8h 3h 3c Kc Qh 5s 4d 7d Td 2h 5c Ac 6h 2d Kh 3s 8s 9c 9s 7c 4h 3d 8c 4c Ks];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Jh, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Td 4d 9c 8s Ks 4s 7d 2d Ah 9h 5d 6s 2c Ts Tc Kh 7s 4c 3h Ad 2s 5c 3d 7h 2h 5h 6h 3s 3c Js 8h Kc 5s 9s 9d 4h Jh Jc Qh Jd 8c 7c As Ac 6d];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Js, Ad]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 3d 5c 4h 3s 2h Jc 3h 8c 6d Jd Kc 7h 7c Ts 2d Js 9h Ad 2c Ah Td 7s Tc 8h 9d 2s 4d 5d Ac 5s 7d 6s 6h 4s 4c Kh 9c 3c 5h Qh Ks Jh 9s 8s As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[f:94,5] ;Hero{16} ;16;b1[Js, 8c];b2;Hero[8d, Kd];b0
 Kd 8d 6c Qs Th Qd Qc] [ Ah 9d 7h Jh Ks Ad Kh Ts Js 8s 4s 8c 5c As 7d 9s 7c Qh 6s 6h 9c 5h 3s 4h Td 2c Kc 4d 2d 6d 9h 3d 3h Jc Jd 2s 2h 5d 5s 7s Ac Tc 8h 3c 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[As, 5d]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 5h Kh 6s Ac 8h Qh 3h 7d 4c 2s 9c Js 9s 5s 6h Ad Td 5c 6d 2c 4h Ts 9h 3s As Kc 7h 7c 2d Ks 7s 5d 4s 8s 2h Jh 3c 4d Tc 9d Jc Jd Ah 3d 8c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 4c Jc 5h 8c 6h 3s 7h 3c 9s 9c 9h Jh Kh 4d 4s 5s Kc 7c 2c Td Ac 2d 6s Qh 3h 9d 8s 4h 6d 7s Ts 2s 2h 7d 5c Ks Ad 5d 3d Jd 8h Js Ah Tc As];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[7h, 7d]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ As Qh Jd 8s 7d 4c Kh Jh 4s 5d Jc 8h 7c 9c 8c 9h 7s 3c Ts Td 7h Ac Ks Ad 5s 5h 3s 2d Js 4d Tc 2s 3d 9d 2c 2h 9s Ah 3h 6s 6d Kc 6h 5c 4h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[5d, 5c]28796;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Tc Ks Jd 5s As 2d 2s Ac 5c Kh Ts Jh 8c Jc Ad 8s 6d 5d Kc 4c 8h 3s 9c 7d Js 3d 6h 3h 9s 4h 2c 3c 2h 4d 6s Qh Td 7h 7c 4s Ah 7s 9d 9h 5h];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, 9h]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 2c Ts Ad 9d 3h Ac Qh 7d Td 8s 6s 3s 8c 6h Tc 5h Jd 2d 2h 5d 3c 7c 4d 3d Ah Kh 2s 9s Jh 5s 8h 4s 9c 6d As 7s 9h Jc 7h Ks Js 5c 4h Kc 4c];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[Ts, Js]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ 8c 2c Ks 4d Td 4c 9h 7c 4s 9c 2d Kh 3h 7d Jh Ts 2h 9d 8h 5h 4h Ah 3s 9s Tc 5d Jd 8s As 6d 7s 3d Ac Jc 2s 3c 6s 7h Ad Js 6h Qh 5c Kc 5s];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[8h, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d 6c Qs Th Qd Qc] [ Ts Kh 9c Jd Jc Kc 3d 3c 4d 6h 2s Td 9h Qh Ad 5s 8h 5c 7d 5d 4c 7s 9d 7c Jh 4h 3s As 6s 2h 4s 6d 8c Tc 2c Ks 7h 5h 3h 2d Js Ac 8s 9s Ah];[Qc, Qd, Th, Qs, 6c];null;null;null;b1[c:2,3] ;b1(38) ;-18;b1[7d, 7c]28798;b2;Hero[8d, Kd]17098;b0
