 Kd 8d Qs Th Qd Qc] [ Jh Ac 8c 2d Ad 5h 8s 6s 9d 6h Ks Jc 2h 2c 7d Js 5s 9h 7h 6d Tc 9c Ts 2s 4d 5d Qh Kh 6c 3c 7s 4h 4s Kc 9s Ah 7c 3s 3d 8h Td 5c 4c Jd 3h As];[Qc, Qd, Th, Qs, Jh];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[9h, Td]28801;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 8c 7s Kh Js 6h 9d 2s Ah 4c Ac 7d 2c 3s Ks 5h 8h 6c Jh Ts As 2h 8s 5c 4d 5d Td Jd 9h Qh 4h 4s Ad Kc 3d Tc 5s 3h 3c Jc 2d 9s 6s 6d 7h 7c 9c];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[c:2,3] Hero[r:0,87] b1[r:8,78] Hero[c:0,9] ;b1(38) ;-18;b1[Ts, Td]28801;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 6s 8c 8h 9s Tc Jh 7s 7c 8s 7h 6c 2d 3c 9c Kc 4c 4d 5s 5c Kh 3s 3h Ts 7d 4s As 9d 4h 2c Ac Jc Ks Jd 3d Ah 5d 9h 6h Ad Td 5h Js 2s Qh 2h 6d];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[7c, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3c Ad 2d 5s 9s 5h 7c 8c 6c 7d 9c Ts 6h 6s 3s 3d Ks Kc 5c As Ah Jd 5d Js Kh 2h 4s 6d 2c 8s 4h 4c Jc Qh 8h 7s Td 4d 9h 2s Jh 7h Tc Ac 3h 9d];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Jh, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8h 6h 9c 3s Jc 8c 5h 2h 9d 3d Ah 2d 5s 6d Js 4s Kc 2s 8s Ad Ts Qh Jd 7s 4c Ks 5c Ac 3h 7d Jh As 6c 9h 3c 7c 2c 4d Td 9s Kh 4h Tc 7h 5d 6s];[Qc, Qd, Th, Qs, 8h];null;null;null;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;b1(30) ;-14;b1[Js, Tc]28801;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ Jd 5c 5h 6d Jc Ad 6c 9s Ks Jh 2h 7d 8h 2s 3s 8c 6s Kc 2d Tc 6h 3d 9c 4s 8s 7s Js Kh 2c 7h 5d 9h Ts 3c 3h 9d 4c Td Qh As 4d 5s 7c Ah Ac 4h];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Jh, Kc]28802;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 5c Ts 3s Ks 6c Js 8s 4h 6d Ac 8c 9h As Kc 9d 2s Kh 2d 9s 2c Jd 4s 5h 7d Jh Td 4d 7s 7c 5d Jc 5s 3d 6h 8h 9c 7h 3h 2h 3c 4c Qh Tc Ah Ad 6s];[Qc, Qd, Th, Qs, 5c];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[Js, Kh]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7c 3c 4d 9h Kc 5d Kh 8c Jh 5c 6h 2d Ah 7h Tc 3s 4c Jd 9c 6c Qh 9d 2s 2h 5s 6s Ks 3h Ts Jc 9s 4h Ad As 5h 7d 6d 8s 3d 8h 4s Td 7s 2c Js Ac];[Qc, Qd, Th, Qs, 7c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[6d, Ad]17108;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 3c Jc 8h 8s 5s Ac Qh 4s 7c As Td 3s Kc 2h 9d Ah 2s 2d 8c 6c 3h Kh 4d 5h 4h Tc 6d 3d 4c Jh Ad Ts 6s 7s Jd 9c 7d 5d 2c Ks 9h 7h 5c 6h Js 9s];[Qc, Qd, Th, Qs, 3c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[9d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9s Jc 3s 7c 7s Kc 2d Tc 5c 9c 4s Ks 7d 6d 9d Js Ac 5d 6s Td 6c 5s 4d 4c 8c 2c Qh 3d As 6h Jd Kh 2s Ad 2h 5h Jh Ts 8h 3h 3c 4h 7h Ah 9h 8s];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(30) ;-14;b1[Ad, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c 2s Qh 9s 8c 8h 3c 6d 4s Ac 6s 6h Jh 4c 5h 5s 8s Kh 7s 3s Tc 4h 3d Kc 9h 7h Ks Jc As 5c Ts Ad 6c 2d Ah 7c Js Jd 9c 4d 5d Td 2h 3h 9d 7d];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:94,5] Hero[c:0,9] ;Hero(12) ;12;b1[8h, 9c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9c Js 6d Td Kh Ks Kc 4d 4s 3h 6h 7d 4h 2c 3s 5h 6s 9h 7s Jh 3d 7h 8c Ts Ad Jc Ah Ac As 6c Tc 3c 8s 2h 8h 5d 2s 9s 5c 4c 9d 7c 2d Qh Jd 5s];[Qc, Qd, Th, Qs, 9c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Js, 9d]28800;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 7d 5c Ad 3c Jd Js 8h 9h 4s Td Ts 5h 5s Jh 4h 6h 6s 7c 3h 9c 3d Ks 9d Qh 9s 5d 6d Tc 8c Jc Ac 3s 2h Ah 7s 2c Kc 8s 4c 6c 7h 4d As Kh 2d 2s];[Qc, Qd, Th, Qs, 7d];null;null;null;b1[c:94,5] Hero[c:0,9] ;Hero(12) ;12;b1[9h, Jd]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8c 3h 6h 9d Tc Kc 6d 3c 4s 7s 7h 3s 3d 6s Jd Ac 9s Jh Ah 5c Ad As Ts 6c Kh 5d 5s Js 2s Jc 4d 2c 4c 2d Qh Ks 2h 4h 8h 9h Td 7c 5h 7d 9c 8s];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[c:2,3] Hero[c:0,87] ;Hero(12) ;12;b1[7s, 7d]28798;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ Ah Jh 2d 3d 8s Ts Qh Tc 2h Ad Js 2c Kc 9h 5h 7d 8c 4h 9s 6c 3c 7s 5s Td Ac Kh 6s 4s 4c 7h 6d 4d 3s 5c 8h Jc Ks 6h 7c Jd 5d 2s As 3h 9c 9d];[Qc, Qd, Th, Qs, Ah];null;null;null;b1[r:8,78] Hero[c:0,9] ;b1(30) ;-14;b1[9s, Qh]32900;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ Jd Ts 3h Kc 2h 7d 2d Ad Jc As Tc 4c Kh Ah 5c Js 7s 5s 9d 6d 9c 4s Ks 3d Ac 3c 8s 2s 3s 6s 6h Td 4h 8c 2c 8h Qh 7c 7h 9s 4d 9h 5h 6c 5d Jh];[Qc, Qd, Th, Qs, Jd];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Kh, Ah]20490;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 4c 7d 3h Jh 6c 5c Ts 7s 5h 6h 3d Ks 6s 4d 5s 3s 8c 2h Tc 3c Ah 9d 4h Ad 2d 2s Qh Jd Ac 8s Js As 9c 2c 7h Kc Kh 7c 4s 9s 5d 8h 6d Td 9h Jc];[Qc, Qd, Th, Qs, 4c];null;null;null;b1[r:8,78] Hero[f:96,4] ;{10} ;-10;b1[Qh, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 6d 2c 6s 3h Ts 8s 5h 9h 5s 4s 7h 9d 3d Ks Kc Jh Jc Ac 2d 2h Qh Ah 9s Jd 4h Td 4c 7c 7d 2s 9c 4d 6c 3c Kh Js 8h Tc 7s 3s 5c 5d Ad 8c 6h As];[Qc, Qd, Th, Qs, 6d];null;null;null;b1[c:94,5] Hero[c:0,9] ;Hero(12) ;12;b1[Jd, 8c]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Qh 4c 9c 2d Td 4s 9s 7s Kc 8h Tc Ks Js 8c 8s 2s 5s 3h 6h 7d 7h Kh 2h Jh 6d 3d 2c 3c Jd 5d 7c 4h 5h Ac 6s 5c 9d 4d Ad Jc Ts 6c As 9h Ah 3s];[Qc, Qd, Th, Qs, Qh];null;null;null;b1[c:94,5] Hero[c:0,9] ;Hero(12) ;12;b1[8c, 9c]32897;b2;Hero[8d, Kd]32899;b0
 Kd 8d Qs Th Qd Qc] [ 4h Qh 8h Tc 6c Js As 3h 7c 9s 4d Ah 4s 9h 7s Jd 7d 5c 3d Jc 8s Td 2s 9d 2d 2h Ad 4c Kc 5s 5h 8c 3s 2c 5d Ks 6d Ts 6s Ac 9c 7h 3c Jh Kh 6h];[Qc, Qd, Th, Qs, 4h];null;null;null;b1[c:94,5] Hero[c:0,9] ;Hero(12) ;12;b1[9h, 8c]17080;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Kc Ks 7h 7c 2s Jc Td Ac 2d 6s 4s 7s 3h Ad 3s 3d Tc 5s 4h 4d 7d 9h As Jd 8s 6h Jh Ah 9d 6c 3c Qh 8h 6d 9s Js 8c 2c 5h 5d Kh 4c 2h 9c 5c Ts];[Qc, Qd, Th, Qs, Kc];null;null;null;b1[c:2,3] Hero[c:0,87] ;Hero(12) ;12;b1[9c, Jc]20489;b2;Hero[8d, Kd]28803;b0
 Kd 8d Qs Th Qd Qc] [ Ts Ks 2h 9h 7s 5d 7c Jh 4s Ac Tc Ah 6c 9s 9c 2d Js 6d 4d 2s 8s Jc 7h 8c Td 8h 9d As 4h 5h Kc Kh 3d 6h 7d Ad 3c 5s 6s 3s Qh 3h Jd 4c 5c 2c];[Qc, Qd, Th, Qs, Ts];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(11) Hero(1) ;1;b1[As, 5c]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ 4d Qh Ad 7c Jh 6s 2s 3c Ac 2c As Ah 2h Kh 8c 8s Ks 3s 5s 9c 6h 2d 5c 4c 4s 9s Jc Td Jd Kc 6c 6d Ts 5d 7s 8h 7d 9h 5h 4h Tc 3h Js 7h 3d 9d];[Qc, Qd, Th, Qs, 4d];null;null;null;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(30) ;-14;b1[8s, Ts]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2s 3c Tc Ah 7h 3s Js 9h 9d 9c 8h 8c Td Kc 6c 3d 5c 5h 5s 3h 2d 6s Jc 2h 7s Ks 9s 4h 6h Ts 6d 4d 7c Qh 7d 2c Kh Jh Ad Jd Ac As 8s 4c 5d 4s];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[Js, Kh]17099;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Tc Js 9h 9c Qh 4s 8c 4h 5h Kc Jd 2h 4c Td 3h 2d Ts 8h 2c As 6s 9s 8s Jh Ah 3d 9d 7s Jc 6d 3s 7h 2s 5s 6c 5d Ac 6h Kh Ad 3c 7d 7c 5c Ks 4d];[Qc, Qd, Th, Qs, Tc];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(11) Hero(1) ;1;b1[7s, As]28801;b2;Hero[8d, Kd]28801;b0
 Kd 8d Qs Th Qd Qc] [ Jc Qh 2d Ad 9h 7c 5s 7h 4s 8h 7s Jh 5d 2h 4h 5c 8c 2c Td 3h 3c 5h 4d 6s 3d Jd Tc 3s Kc 7d 4c Ah Js Ks Ac 9c 9s 6h 6c 2s 6d 8s Ts Kh As 9d];[Qc, Qd, Th, Qs, Jc];null;null;null;b1[r:8,78] Hero[f:96,4] ;{10} ;-10;b1[9d, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 8c 4c 5d 9c Kh 5s As 2c Ac 2s Qh 3s 6c 2h 5h 8s Ks Jh 6d 7s Jc 2d 5c Ts Td Kc 7d Jd 6s Ah 9h 3d Js 9s Tc 7h 4d 3c Ad 7c 6h 4s 3h 4h 8h 9d];[Qc, Qd, Th, Qs, 8c];null;null;null;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;b1(30) ;-14;b1[As, Td]28801;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 7s 2s 9c 5s Ts Ah Kh Jd 6c 5c 8s 8h 6s Ks Jh 3s 6d Qh 3d Ad Td Ac 2d 5d 4c Jc 9s 9d 7d Js 9h Kc 3h Tc 2h 7h 2c 7c 4d 8c 3c 4h 5h 4s 6h As];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ts, As]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 8s 9c Kh 4c Ks 2c 3d Jh 4s 6h Ts 6s Qh 7c 5h As Ac 7d Kc 9h 8c 9d 7s 3c Ah 2s Tc 4h 2d 5s Jd 8h 3h 2h Ad 9s Td 5d Js 6c 5c 3s 4d 6d Jc 7h];[Qc, Qd, Th, Qs, 8s];null;null;null;b1[c:8,78] Hero[c:0,87] ;Hero(12) ;12;b1[Jc, Kc]17099;b2;Hero[8d, Kd]28799;b0
 Kd 8d Qs Th Qd Qc] [ 6d Ks As 4s 9h 3d Jh 7s Ac Kh Tc 5c Ts 7c 5d 9c 4h Js 8s 5s 4c 3s Ah 3c Ad 4d Td 6c Jc 7d 9d 7h Jd 9s 2h 6s 5h 6h 3h 8h 2s 8c Qh 2c 2d Kc];[Qc, Qd, Th, Qs, 6d];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[6d, Ac]28797;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c 3d 6h 2h 5h 7c 6s Ks 9s Jc 9h 5d 4d 2s Ac 4s Jd 8c Js Kh 4c 6d 8h 9c 8s 7h Kc 2d 3h Ah Td 4h 7s Ad As Qh 3c Tc 5c 7d 6c 9d Jh Ts 5s 3s];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(11) Hero(1) ;1;b1[4s, Ks]17098;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h 5d 7s 8s Js 9c Jd 6s Qh Ks 2s Jc 3d 7c 3h Ts 4d 7h Kc 3c Tc Kh 4c 8c 2h 2d 4h 2c 9s 9h As 8h 4s 9d 3s 5s 6c 7d 6d 6h Ac Ad Ah 5c Jh Td];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[8s, 8c]28799;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2s 8c Tc Td 7d 9h 9s 7h 5c 2h 2d 9c 4c 5d 3c 3d 8s Kh 7s 4d Ah 4h Jh 6s 8h 5s 2c 3s 6c Kc Jd 6d 5h Ts Ks As 6h Jc Ad 7c 4s 9d 3h Qh Ac Js];[Qc, Qd, Th, Qs, 2s];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[7s, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ah 2s 9d 4h 4d 2d 8s Td Ac 4c 4s Ts Qh 8h Jd 5d 5c 6d 2c 6h 5h Kc Jc 2h Jh 9s Ks Ad 5s 9h 7c 3d 7h 3s As 7s 6c Js 3h 6s 3c 8c Kh Tc 7d 9c];[Qc, Qd, Th, Qs, Ah];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ts, Jc]28801;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 9c Jc 4h 4c Jd Kc 6d 2h As Qh Ad 3d 9h 8c Ah 3c 7h 3s Ac 4d 2c 6c Jh 7c Tc 7s 9s 5s 9d 8s 5c 6s 5d 2s 4s 6h 2d Kh 7d Ts Js Td Ks 8h 3h 5h];[Qc, Qd, Th, Qs, 9c];null;null;null;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(30) ;-14;b1[Ts, Ac]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2d Ad 5h 4h Jd 9h Qh Ks 3c 6d 2c Jh 4s 3s 9s 7s Td 9c Ac 4d 5s As 8h 4c 6h Tc 5d 5c 2s 9d Ts Kh 7h 6s 2h 8s 8c 3h Jc 7c 7d Ah 3d Kc 6c Js];[Qc, Qd, Th, Qs, 2d];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ts, Js]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6h 8c 9h 5h As 3d Ad 3s 5c Kc Js 7c Ts 3h 5d Ah 6c 4c 4h Td 8s Jd 8h Jh 2s 2d 9s Ac 7d 5s 4d 6d 7h 6s Ks 9d 3c 2c Kh 9c 2h Jc Tc Qh 4s 7s];[Qc, Qd, Th, Qs, 6h];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Js, Ac]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9h 7s Kh 3h Ks Qh Js 4c 4s Kc As 7c 5s Td 6c 5d 2d 4h 8h Ad Tc 4d 9d 2c 6s 3c Ah Ts 6d Jd 8s Ac 5h 2s Jh 9s 3s 9c 6h 3d 7h 7d 5c Jc 8c 2h];[Qc, Qd, Th, Qs, 9h];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ad, Kc]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9d Td Jc 7h Kc 8h Ks Ts 7s 2d 2h 3h 4c Ah Qh 4s 5d 3d 3c 5s 6h 3s Js 4d 4h 7c Ad 5h 7d Tc 5c 9c 6d 6s 9h Jh Kh 2c 8s As Jd 8c Ac 2s 9s 6c];[Qc, Qd, Th, Qs, 9d];null;null;null;b1[r:8,78] Hero[f:96,4] ;{10} ;-10;b1[6h, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ 4d 6d Ks Js 6h Ts 7s 2c Jc Kc 6s 6c 7c As Qh 3c 8h 3s 5c 4c 5s 8s 7d 5d 5h 4s 3h Kh 2d 4h Ad 2s 2h 3d Tc 9s Ac 9h 8c 7h 9c Td 9d Jh Jd Ah];[Qc, Qd, Th, Qs, 4d];null;null;null;b1[c:8,78] Hero[c:0,9] ;b1(22) ;-10;b1[6h, Tc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 5h Ts 9s 2c 8s 2s Tc 4d 7s 4s 6d 6c 9h 7c Ah Ad As 7h 9c Td 3h Jc Jh 3d 5c 3c 2h 8c 7d 5d Ks Kh 2d 6s 6h 8h 4h Jd Ac Js 3s Kc 4c 5s 9d Qh];[Qc, Qd, Th, Qs, 5h];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[2d, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 4h 5h 9c 2d 5d 9s Js 2s Ts 5c 4s 2h 8c Jd 4d 4c 7h Qh Jh 3s 6s Ad 2c 7s Tc 8h Jc 3c 9d 8s 6h 6d Ah 9h 3d 7c As 6c 5s Td 7d Ks 3h Kh Kc Ac];[Qc, Qd, Th, Qs, 4h];null;null;null;b1[c:94,5] Hero[c:0,9] ;Hero(12) ;12;b1[9d, Jd]17089;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Js Ah 3d 4h 7d 2s 9c 2d 2c 9d 4c Td Qh 7s Tc 7c 9h As 5s 3s 5d Ac 9s 8s 2h Jc 6c Jd Ks Kh 5c 3h 6d 3c 5h Ts 6h Ad 8c 4d 4s Jh 8h 7h 6s Kc];[Qc, Qd, Th, Qs, Js];null;null;null;b1[c:94,5] Hero[c:0,9] ;b1(22) ;-10;b1[6c, Ac]17109;b2;Hero[8d, Kd]17099;b0
 Kd 8d Qs Th Qd Qc] [ 7s 7d Ac 8s 3c 9d 5s 6c 2s 9h 2c 4c 4s Kh Ks Jh 3s 5c 3d Ah 7h 9s 9c 6h As 8c Td 6d 5h Jd 6s 4h 4d Tc 5d 2h Jc 8h Kc Js 3h 2d Qh 7c Ad Ts];[Qc, Qd, Th, Qs, 7s];null;null;null;b1[c:8,78] Hero[c:0,9] ;b1(22) ;-10;b1[6h, Qh]32897;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9s 3c 3s Tc 9c 9d 2d As 6c 3h 4c 3d 5c Ah Td 7c Kc 5d 6d Jc 7s 5h 2h 2c Js 7d Kh 9h 5s Ac Qh 8c Jh 4s 7h Ks Ts 2s 8s 4d Ad 8h 6s 6h 4h Jd];[Qc, Qd, Th, Qs, 9s];null;null;null;b1[r:2,3] Hero[f:96,4] ;{10} ;-10;b1[8s, Td];b2;Hero[8d, Kd];b0
 Kd 8d Qs Th Qd Qc] [ Ac Js Kc 6d 9c Jh 2c 3c 2d 7h 5s 4s Ah 3d Jc Jd 5h 9d 4d Td Ad 3s Tc 4h 3h 7d 9h 6h 8s 4c Kh Ts 6c 5d 9s 7c As 2h 2s 8h 8c Qh 5c 7s 6s Ks];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:94,5] Hero[c:0,9] ;Hero(12) ;12;b1[9s, Jd]17109;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 6s 9h As Jc 8h 3c 4c 7s 6h 7c 3s 8c 7d Jh 3h 9d 5h Kh Qh Ad Js 5d 5s Ks Ts Jd 6c Tc 9c 3d 4h 7h Ac 2h Td 2s 2c 4s Ah 6d 4d Kc 8s 2d 9s 5c];[Qc, Qd, Th, Qs, 6s];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[7s, 7h]28798;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ah Js 2c Ac Jc 3c 6h 2d 7h 7s 9s 5h 7c 4d 3d 2h 2s Ts Td 5d Ks 6c 3h As 5s 6s 7d 6d 9d 8c Ad 4h Tc Jh 8s 3s 4s Qh 9h Jd Kh Kc 8h 9c 5c 4c];[Qc, Qd, Th, Qs, Ah];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[7s, 7d]28798;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 5d Tc Ts 2c Jd 2h Td 6d Kc Ah 5s 4s 8h 4d 8c 8s 4h Jc 2s Ad 4c 3s 6s 7d 5c 5h 2d Kh As 9c 7h 9h 6c Jh 9s Ks Ac Js 3d 7c 7s 6h 9d 3h Qh 3c];[Qc, Qd, Th, Qs, 5d];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ts, Td]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c 8s Jc Jh 3d 5d Tc 6d 7c 6s Kc Ah Js Ts 4d 5s 7h Ac As Ad 8c Jd Kh 2s Qh Ks 4s 6h 5h 4c 9c 8h 3s 2h 7d 6c 5c 9d 9h 3h 2d 4h 9s Td 7s 3c];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[As, Jh]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Ac Jh 3h 9s 2d 8h 2c Ad Kc 5s 4d Td 7c 2s 5d 6h 6s 3c 6d Ah 7h Qh Js 3d 5c 4h 5h 4s As 3s 2h 6c 7d Ks Tc 9c Ts 7s 9h Jd 8c Kh Jc 4c 9d 8s];[Qc, Qd, Th, Qs, Ac];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[As, Kc]28804;b2;Hero[8d, Kd]17110;b0
 Kd 8d Qs Th Qd Qc] [ 6h 6d 8s Ah 3c 7s Ac 6c Jh Ad Jd 6s 7h 7c 2c Td As 3s Qh 5c Ks 7d Kc 8c Js 8h Kh Ts 9s 4s 3h Jc 3d 5s 9d 5d 2h 9h 4h 4d 4c 2d 9c 2s 5h Tc];[Qc, Qd, Th, Qs, 6h];null;null;null;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[Ad, Jc]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 6d 5s Jh 4d Tc 6c 3c 5h 7h Qh 9d 6h 4c 5c 2c Ah 9s 7d Ac Ad Ks 8s 8c 6s 7c 2s 4h 2h 3d Jc Jd 4s Ts 8h 3s As Kh Kc Td 7s 3h 9h 5d 9c Js 2d];[Qc, Qd, Th, Qs, 6d];null;null;null;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(30) ;-14;b1[Tc, Jc]28801;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 2c 7c 7s Ks 3c 9c 6d 8c 5s 4h 8h Qh Js 3d 3h 4s 9d 2s Jd 2d 9s 5d Ah 5c 4d Jc As Td 7h Kc Ad 2h 6s Jh 6h 8s Ts 6c Tc Kh 4c 7d 3s Ac 5h 9h];[Qc, Qd, Th, Qs, 2c];null;null;null;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(30) ;-14;b1[As, Kh]17110;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ 9c 3c Tc Ac 8s Jh 4c 5d 6h Jc Ts Ks 7d Js 2h Ad 6s 7s 4h 7c Qh 5h 4d 8h 6d 2c 3s 6c As 8c 5c 9s 2s Ah Kc 7h Kh 2d 4s 3h Td 9h 3d 5s 9d Jd];[Qc, Qd, Th, Qs, 9c];null;null;null;b1[c:2,3] Hero[r:0,9] b1[c:2,3] ;b1(30) ;-14;b1[As, Jh]17109;b2;Hero[8d, Kd]17098;b0
 Kd 8d Qs Th Qd Qc] [ Qh 2d Jd 3d 6s 4h As 7c Td 6c 5c Ks Ts 2s 8h 2h Kc 4d Js Ad 7d 9h Ac 7s 9d 2c Jh 3c 5s Ah 8c 5d 6d 3s 4c 3h 6h 9s 7h Tc 8s Jc 5h 4s 9c Kh];[Qc, Qd, Th, Qs, Qh];null;null;null;b1[c:8,78] Hero[c:0,9] ;b1(22) ;-10;b1[Ad, Jc]32900;b2;Hero[8d, Kd]32899;b0
