 Kd 8d Th Qd Qc] [ 8c 3h 2h 5h 2c 7s 8h Js 7h 7d Ks 9c 6c Jh 6s 6h Ac 8s 6d 5d 5c 4h Kh Jd Td Tc Ah 9s 3s 3d 4d Kc 4s Ad 3c Qh Qs 4c 2s Ts 9h 9d 7c 5s As 2d Jc];[Qc, Qd, Th, 8c, 3h];null;b1[r:17,17] Hero[r:0,37] b1[r:17,17] Hero[c:0,37] ;b1[c:18,12] Hero[c:9,72] ;b1[c:6,8] Hero[c:0,69] ;Hero(14) ;14;b1[7s, Ah]10592;b2;Hero[8d, Kd]12859;b0
 Kd 8d Th Qd Qc] [ Qs Jh Tc 3d 9c Ts 8c 2s Ah 3h 2h 8s Jd 2d 5d Ac 5c 6s 7h 5h 3c 6d 6c Kh Ks 9h 2c 4d Kc 7s 5s 9d 9s 4s 7d Qh Js Td 8h Jc 7c 3s 4h Ad 4c As 6h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[9h, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kh 9c 7s 4d 8s Ac 2h Jd Jc 4h 5s Tc 9d 6c 8h Qs Ah 9s 5d 3s 3d As Kc 3c 2s 4c 2c 6d Ks 6s 9h 2d 5h Jh Qh 7c 7h Ts 4s Ad Js Td 7d 8c 5c 6h 3h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6h, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8h 9d Jh 6h Td 3c 4s Ac Jc As Qh Jd Ah 7c 2h 9h Tc 2c Kc 6s Ts 7h 5h 4d 9s 9c 6d 3h 3s 8c 5d 8s 6c 5c 7d Js Ad 4h 7s Kh 5s 3d 2d Ks 2s Qs 4c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5s, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2d 2s 2h 5d Qh 3c 9h Ts 5h Tc Kh 8h 6c Qs 5c 4s 4d Js 3s 9s 4c 8s Jd 7h 3h As 9d Jc Jh 6h 6s Td 7c 2c Ac 7s 7d 5s Ah 8c 6d 9c Kc Ad Ks 3d 4h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[9s, 7d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5h 4h 2s 8s 4s Jh 9d Js Jc 2d Ac 8h Qh 7c Td 2h 3d Ts 7d Jd 6c 5d Kh Qs 9h 3s 7h 3c 8c 3h 4d 6d 5s Ah 6h 2c Tc 9c 5c 9s Kc As Ks 4c 6s 7s Ad];[Qc, Qd, Th, 5h, 4h];null;b1[c:17,17] ;b1[c:16,57] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Kc, Ac]10611;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 2c 3c 9h 9c Ts 4c 6h Ah 5s 8s 6s 7h Jh 2s 4d 2d 9d Qs Jc 2h 6d Js Kc Ks Td 3h 4h Jd Kh 5c Tc 3s 5d 9s 5h 4s Ad As 6c 3d 7c Ac 7s 8c 7d Qh 8h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6s, 8s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Js As 3s 8c Ts 9s 6h Qh 9d 8s Kc 8h Qs Ac 4d 4s Jh 7h 6c Ah Jd 3d 2d 9c Jc 2c 5s 3h 5c 4h Kh 4c 3c 2s Ks 2h 5h 7d 7s Td 6d 9h Ad 6s Tc 5d 7c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6h Ah Kc Jc 6s 7s 8s Qh 8h 3s Ac 7c 2h 9d 9c 5s 7h Ts 9h 4s 2s Jh 5h Ks 4h Ad 3h Jd Js Tc 3c 6c Qs As Td 3d 6d Kh 4c 8c 7d 4d 9s 2d 5c 2c 5d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7d, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ah 9h 5c Js 2d 6h 2s 3h 8s 7c 9s 5d Jh 6c 6d Tc Qh Ac Ad 6s Kh Ts 7s As 7h Qs 8c 4s 3s 4c Jd 8h Kc 2c 5s Td 4h 5h Jc 3d 3c 9d 2h 7d 4d Ks 9c];[Qc, Qd, Th, Ah, 9h];null;b1[c:17,17] ;b1[c:18,12] Hero[r:0,36] b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[Ts, Ks]12882;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 7h Ks 5c Qs Jc Kh 9h 7c 5d 2h 6d 4c 9c Kc Td 5s 2d As Jd 6c 4s 8h 3c 3s 6s Qh Jh 2c Tc 4h 9s 5h Ad 2s 3h Ac 7s Js 3d 8s 4d Ah 7d Ts 6h 8c 9d];[Qc, Qd, Th, 7h, Ks];null;b1[c:17,17] ;b1[c:18,12] Hero[c:0,36] ;b1[r:18,51] Hero[r:0,23] b1[f:85,14] ;Hero{12} ;12;b1[8c, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6d 4d 4c 5s 7h Ts 6s As Ks Ac 7d 2h 7s Kc 6h 2c Js Ah 3c 5h Jh 6c 4s 8s 3h Qh 4h 3s 9s 7c 9h Tc Ad 8c 5c Kh 9c 5d 2s 8h Jc Jd 3d Qs 2d 9d Td];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4c, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4s 9c 3h Tc Kc 7h 4h 9d 3s 5h Ac 9s 7s Ah 5d 9h 2d Js 3c 3d Kh 4c 6s 2s 4d Td 8c As 8h 2c 5s 6d 7d 5c Jh 6h Ad 7c 2h Jd Ks Ts 8s Jc 6c Qh Qs];[Qc, Qd, Th, 4s, null];null;b1[c:17,17] ;b1[r:16,57] Hero[f:81,18] ;null;{6} ;-6;b1[Qs, 9c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6c Jc Jh 8c 3c 8s Ad 3h 5h 4c 6s 3d Ac 7h 4d Kh 9s 9h 9c 5c 5s Ks 7d Td Ts 3s 4h 8h 7c Kc 2h 6d 4s Jd 7s Tc Qs 6h 2d 2c 2s Ah As Qh 9d 5d Js];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5h, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2c 3h 3c 3d 8h 2h 7s Ah 6h 5h Ac 2d 7h 4s Qs 6s 7d 4c 9c 4d 4h 6d Kh Td Jh Qh 5s Jc 9s 5d Kc 7c Tc 3s Ts Ks 5c As 2s 9d 8c 6c Js Ad 8s 9h Jd];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[As, 3h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6c 6s Ad Qs 2h 6d As 2c Jc 3h 7c Td 9h 4d 3c 3s Kh Ts Js Kc Tc Jh 5d 4s Ah 7d 5s 9s 5h 6h 9c Qh 2d 3d 2s 7s 8s Ac 7h 4h Jd Ks 5c 9d 8c 4c 8h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3s, 4h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Tc 7s 4s 7h 2s 9h 4c Js Jc 4d 5h 7c 8h 6d Qs 3d Ts Kh 6h 6c 8s Ah 3h Kc 2h Jd 2d 7d Jh 9c Td 6s 9s Ks Qh 3s Ac As 5d 8c 9d 2c 3c 4h 5c Ad 5s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5s, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2s 7s Jc 6d 7c 4h 6c As Tc 6s Ac 9c Ad 3d 2c 2d Kh 4d Kc 4s 7h 8s 5d 2h 9d 3h 5s 3c Js 8h Ah Qh Ks 9h 3s Qs 5h 9s Jh 7d 4c Ts 5c 8c Td 6h Jd];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Kh, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9h 4d Ah Td 7h 2h 2d As Js 3s Qs Kc 8s 5s 5h 6c 8c 9c Ks 5d 7s 3c 4h 4c 3d 9d Qh 5c Jc 2s Tc 9s 8h Kh Jh Ad 6s 7c 6d 6h 4s 7d 2c Ts Ac Jd 3h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7s, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7d Jh 8s Js Ac 6h 3d Td 4h 9s 8c Ad 2s As 9c 7s Jc 9d 3c 2d 7c Kc 6d Kh 5h 4c 4d 5c 8h 3s Ah 5d 2h Jd Qh 2c 5s Tc 7h 3h 4s Ks Ts Qs 9h 6s 6c];[Qc, Qd, Th, 7d, Jh];null;b1[c:17,17] ;b1[c:18,12] Hero[r:0,36] b1[c:18,12] ;b1[r:6,8] Hero[f:88,11] ;{10} ;-10;b1[9s, Js];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ah 4s Ac 3d Kh 6s 7h 3c 7c As 5c 7d 2c Tc 5h 5s 7s Jc Ks 8h 6c 4c Js 6d 4h 3s Jh 2s Ad 2d 9s 9c 8s Td 4d 3h Qh Qs 9h 5d 6h 9d 8c Kc Jd Ts 2h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kc Jc 6h 2c 8s 9s 6d 3s 5h 7s Ah 6s Kh 6c 9c Ts Jd 4d 4h 3d 5d 3h 9d 4s Qh 7h 7d Td 2d 4c 8h 2h As 5s Tc Jh Ks Ac Qs 8c Js 3c 9h Ad 7c 2s 5c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2d, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2h 5h Ac Kh 6s 9c 7d 5s 6c 7h 2d Tc Js Jh Jc 5c 3s 8c 3d 8s Qs 9s 8h 9h 3h Ks 6h 7c 3c 2c Ah As Kc 4d Jd Ts 4s 5d 2s 9d 7s 6d Td 4h Qh Ad 4c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6d, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2h Qs 5h Ac Jh Ad 6c Qh 3s Jd 7c As Td 4d 6h Ks 2c Js 2s Ah 3d 7d 5d 3c 5s Tc 5c 4c 7h 9s 7s 9h 3h 4h 2d 9d 8s Ts Jc 9c 8c 8h 6d 4s 6s Kh Kc];[Qc, Qd, Th, 2h, Qs];null;b1[c:17,50] ;b1[c:16,57] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;b1(14) ;-6;b1[Qs, Ac]32900;b2;Hero[8d, Kd]17098;b0
 Kd 8d Th Qd Qc] [ 9h Ks 9d Ts Kc 2h 7s Td 6h 8h 2d 2s 4h 5s As Jc 5h Jd 8c Qs 9s Tc 3c Ad 6s 3s 7c 2c 4s 9c Js Qh 4c Kh 6d 5c 3h 4d Jh 5d 7d 6c 3d 7h Ah Ac 8s];[Qc, Qd, Th, 9h, Ks];null;b1[c:17,17] ;b1[c:18,12] Hero[r:0,36] b1[r:18,12] Hero[r:0,36] b1[c:18,12] ;b1[c:6,8] Hero[c:0,69] ;Hero(20) ;20;b1[6d, Td]12881;b2;Hero[8d, Kd]13012;b0
 Kd 8d Th Qd Qc] [ Qs 3d 2d 5s 2s Td 2h Jd Jc Kh 6s 6d 4c 3c 9h Tc 7c Kc 2c 5h 8c Js 6c 8s Ks Jh 6h 7s As 9d 5d Ah 3h 9s Ac Ad Qh 4s 3s Ts 4d 9c 7h 5c 8h 4h 7d];[Qc, Qd, Th, Qs, null];null;b1[r:17,17] Hero[r:0,37] b1[c:17,17] ;b1[r:18,12] Hero[f:81,18] ;null;{10} ;-10;b1[Js, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6s 6h Qs 9d 2c 9h 2h 7h 8s As Ad Tc Td 2d Ks 3h 4c 9s 5h Jd 2s 4h Kh 7s Js Kc 4d 6d Ts Ah 3s 9c 4s 8h 3c 5c Jh 5s 5d 6c Jc Ac 3d 8c 7d 7c Qh];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5s, 3c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ As 7s Kc Jh Jc Qh 2c 7h Jd 9d Ad 7d 3d Ts 7c 2d 5s 4c 8h Tc 4d 5h 9s 3s 5d 6s Ks 3c Ac Qs 8s Js 5c 4h Td 8c 9c 3h 6h 2h Ah 6c 9h 6d Kh 4s 2s];[Qc, Qd, Th, null, null];null;b1[f:17,17] ;null;null;Hero{6} ;6;b1[7s, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ks 2s 7h 4s 7s As 9h 3c 9d 4h 3d Tc 8s 5d 2c Ah 4c 6s 5c 6c Js 2h 8c 6d 3s Qs Qh 9s 2d 8h 4d Jd 3h Ad 7c Jc 7d 5h Td 6h Kc Ac 5s Kh Ts 9c Jh];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3h, 6h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5s 3h 5h Qh Td 9h Kc Ad 3s 5c 6s 7s 6d Ah Tc 2h 7h 9d Jc 8s As Js 4s Jh 2c 5d 4h Ks Jd 9s Qs Kh 3d 7c 2s Ts 3c 9c Ac 8c 4c 6h 7d 6c 4d 8h 2d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4c, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ks Jh Kh 2d 4d 3c 5h 3h Ah 2c Jc 6h Js 4c 2h 6s 8c 7s Kc Tc 9d Td Ac 5s 9c 7h 3d 7d 6d As 5c 8s 3s 4s 7c 4h Qs Ts 6c Qh 8h Ad 9h 2s 5d Jd 9s];[Qc, Qd, Th, Ks, Jh];null;b1[c:17,17] ;b1[c:18,12] Hero[c:9,72] ;b1[c:18,51] Hero[r:0,23] b1[f:85,14] ;Hero{8} ;8;b1[8s, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Tc Jh 5s 2c 3h 5d 2s 6c 4d 9c 6h 2h Js Td 8h 7s 4c Jd 5c 2d As 7h 3d 9d 6s 6d Ts 3c 7c Ks Ac Ah 4h 8c 3s Kh Ad 8s 4s Qh 5h Jc Kc Qs 7d 9s 9h];[Qc, Qd, Th, Tc, Jh];null;b1[c:17,17] ;b1[c:18,12] Hero[r:0,36] b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[9h, Ah]12882;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ Tc 9s Jd 3s Ts 7d 4s Ah As Jc 5c Ac Qs 4d 8s 5d 6d 2d 4h 2s 9h 2c Qh 9c 6c 9d 6s 7s 2h 4c Ks 7c 7h Kh Jh 3d 5h 8c 6h 3h Td 8h Ad 3c Kc 5s Js];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[As, 4h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7s 8c Ad 6s 5h 6h 8s 6d 3c 2d 5c 4d 2c Jd Js Qs Ac 2h 3s 7h Ts Jc 9h 9d 3d Jh 9c As 7d 8h 7c Kc 3h Ah Td Tc 9s 2s 6c 5d 4h Ks 4s 5s Kh Qh 4c];[Qc, Qd, Th, 7s, 8c];null;b1[c:17,17] ;b1[c:18,12] Hero[c:0,36] ;b1[r:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[Ah, 6c]10592;b2;Hero[8d, Kd]12859;b0
 Kd 8d Th Qd Qc] [ 5c 8h 2c 7s Kc Kh 3h 7h 3s 2s 5s Jd Ts 5d Qh 9s 2h 8s 9c Jc 4s Td As 4c 9h Js Qs Ks 5h 8c 6c 4d Tc Jh 4h 9d Ac 6s 7c 3d 7d Ah 6h 6d Ad 3c 2d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7s, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Js 5d 4c 3s Jc 8s As Ks 7h 9d 3d 6d 3c 5h Tc 3h 9s 7c Jh Kc 2d 7d Jd 6c 4s 6s 5c 4d 8c 2c Ad 5s Ac 9c 2s 2h Qs Qh 6h Kh 8h Ts Ah 7s 9h 4h Td];[Qc, Qd, Th, Js, 5d];null;b1[c:17,17] ;b1[r:18,12] Hero[r:0,36] b1[r:16,57] Hero[r:0,36] b1[c:18,12] ;b1[c:6,8] Hero[r:0,23] b1[c:6,8] ;b1(54) ;-26;b1[4h, 4d]12814;b2;Hero[8d, Kd]10557;b0
 Kd 8d Th Qd Qc] [ Jd As Jc 4c 5c 9c 4h 4d Ts 4s Ad Kc 2h 6s 3h 2d Td Jh 2s Ks 8c 7s 9h 3s 7h 6d Qs 8h 6c Kh 6h 7d 3c 5h Ac Tc Ah Qh Js 9d 8s 5d 5s 3d 7c 2c 9s];[Qc, Qd, Th, Jd, As];null;b1[r:17,17] Hero[c:2,69] ;b1[c:18,12] Hero[c:0,36] ;b1[c:6,8] Hero[r:0,69] b1[c:6,8] ;Hero(14) ;14;b1[6d, Ad]13134;b2;Hero[8d, Kd]20490;b0
 Kd 8d Th Qd Qc] [ 3s 4c 3c 7h 2h 6s 4h Qh Ac Kh Tc 2s 4d Ts Ks 5h 8s Qs 9s 2c 4s 8h 7s Js 6c 9c 5s 9h 5d 2d 3h As 6h Jc Ad 6d 7d Jh 5c 8c Kc Ah 7c 9d Jd 3d Td];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2d, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2d 8h Jh 7h 7c Td Qs Jc 9c 5s 3c 4d As 8c 4s 4h 7s Kc 7d 5c Ah 9d Js Ac 9h 4c 3d 8s 2h Ad 5d Ks 3s 9s Kh Jd 5h Qh 3h 6c 2c 6s Tc 6h 2s 6d Ts];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Ad, 3c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ks As 6c 3d 7d Ts 3c 5c 8c Js 2c 2s 5d 6h Ah 5h 9s 3s Kc 6d Td 4s 5s 7h 6s 7c Jc Qs 4c 2d 9c Qh 9h Tc 7s Jh Ac Jd 9d Kh 4h 8h 3h 2h 4d Ad 8s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2s, Kh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8h 3c 8s 9h Ks 2d 4h Td Ts Jd 2s 7h 5h 4c 4d 8c 6d 2c 5d Kc 3h Js 5c 9c 7d 3d Jh Tc 4s Ah 6h 7c 6s 5s 2h As Qh 6c 7s 9d 9s Ad Qs Jc Kh Ac 3s];[Qc, Qd, Th, null, null];null;b1[f:17,50] ;null;null;Hero{6} ;6;b1[As, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6d 5s 6c 5c 2c Kc Jh 6h Ks Ah 2s 4h Jd 7c Jc Ad Qh 9d 8c 7h 7d 2d 9c 4s 5d 3c 5h Qs 4c Kh 4d 3d Td Ac 8h 9s 8s As Js Ts 6s 3s Tc 2h 9h 7s 3h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6s 6d Td 2c Ts 9h 8c Ac 7c Qh 8h Qs 2h Ad 3s 5d 4h Jh 4c 9s 5s Kc 5h 6c 2s 4d 4s Js 6h 9d 5c 2d Ks Tc As 3c Kh 7d 9c 3d Ah 7h 7s 8s 3h Jc Jd];[Qc, Qd, Th, 6s, 6d];null;b1[r:17,17] Hero[r:0,37] b1[c:17,17] ;b1[c:18,12] Hero[c:0,36] ;b1[c:6,8] Hero[c:0,23] ;Hero(12) ;12;b1[9s, Jh]12836;b2;Hero[8d, Kd]12837;b0
 Kd 8d Th Qd Qc] [ 3s As 5c Qh Kc Ts Kh Ks Ah 4h 3d Jc 6d 2h 7s 2c 8s Qs 2s 2d 8h 8c 3h Jh Jd 7d 7h Js 5h 5s 9h 5d 9c 4d Ad 9s 4s 9d 6s 4c 3c Ac Td 7c Tc 6c 6h];[Qc, Qd, Th, 3s, null];null;b1[r:17,17] Hero[c:0,37] ;b1[c:18,12] Hero[r:0,36] b1[r:69,23] Hero[f:81,18] ;null;{12} ;-12;b1[6d, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4s 2d 8s Ts Qh 4h 7d 3d 5s 3h 2c Kc 4d Td Jh 2h Kh 6s 9h Ah Js 7h 6c 7c Qs Ad 4c 9d 7s Jc 3s 9c Tc 5d 2s 5h 8c 6h Jd Ks 6d As 8h 3c Ac 5c 9s];[Qc, Qd, Th, null, null];null;b1[f:17,17] ;null;null;Hero{6} ;6;b1[Ah, Ad];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3c 2d 8s Ad Ac 9d Qs 9h 7h Jc 8h Ks 3d Jh 5d 5s 5h Kc 2h 5c Qh 6h 4c Jd 3h Js 4d 6d 6c 7d Kh Tc 2s 3s 4s 6s 7s 2c 7c Td As 9c 9s Ts Ah 8c 4h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2s, Ks];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6h 4h 9c 9h 9s 4s 4c 9d 5c 6s As 7h 7d Jc 5h Kh Ah 6c Ac Qs 3c 5s 3s Jd 2c Td 8c Kc 2d 2s 3h 5d Tc 8s Ad 4d 6d 8h 7c 3d Ts Ks 7s Qh 2h Jh Js];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3c, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4h 7h Tc Ah 8s 8c 6h 7s Ac 3s As 4d Ts 7d 4s 2d Jh 7c Jc Qs 9c 5h 6s 9d Qh 3c 9s Js 6d 6c Kh 5c Jd Ad 2c Kc 2h 8h 9h 4c Td 2s 5s 3h 3d Ks 5d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5c, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8c 4s 2s 2h Ac Tc 8s Kh 3d Td 7s 5d 3s Ks 7c 6h 3c 6c 5s 4h 2c Jc 2d 3h 4c Jh 9d Ts 7d As Qh 6d 9s Ad 9h 7h 6s Ah Jd 9c Qs 8h 5c 5h 4d Js Kc];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3s, 7s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Qh Ad 9c Qs Ks 2c Ac 9s 7c 5s 7h 9d 9h 2s 3d 8s 7d Td 4c 5d 3s 6h As 5h 8h Ts 4d 6s 2h 4s 2d Kh Kc Js 3h Jh 6d Ah 8c Jc 4h 6c 5c 7s Tc 3c Jd];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3d, 4d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6h Td Ks 6s Jd 7h 4c 4s 2s 8s 2d Kh Ah Js 5c 9c 3s Ad 6c 5h 6d 8h 5s 3c Jh As Kc 4d 9d 9s 8c 7c Qs 2c Tc Qh 5d Ac 7s 2h Ts 4h 3h Jc 3d 9h 7d];[Qc, Qd, Th, 6h, Td];null;b1[c:17,17] ;b1[c:16,57] Hero[r:0,36] b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(22) ;-10;b1[9s, Td]28778;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ Jc 9s 6d 9h 2d 6c 5h Ad 8h Ac 6s 2s 7h 4c 8c 2h Ks 9d 9c 7s 3s 5d As 3d 5s Ah 4d 8s 3c Kc Qh 4h 4s 2c 7d Ts Td Jh Tc Js 5c Kh 3h Jd 7c 6h Qs];[Qc, Qd, Th, Jc, 9s];null;b1[r:17,50] Hero[r:0,37] b1[r:17,50] Hero[c:0,37] ;b1[c:18,12] Hero[r:0,36] b1[c:16,57] ;b1[r:6,8] Hero[r:0,69] b1[c:18,51] ;b1(50) ;-24;b1[Qh, Tc]28801;b2;Hero[8d, Kd]20489;b0
 Kd 8d Th Qd Qc] [ As 4d 6s Ks Qh Td 4c Jd 3h 8s Ah Kh 4s 4h 7c 9c 9d 8h Ad 3c 9h 7s 5h 5s 3s 8c 7h Qs Jh 2c 6c Ac 3d Js 6h 5c 6d Kc Ts 9s 2s 2d 2h Tc Jc 7d 5d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4s, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6d 5s 4c Ks 7c 4s 5c 3s 9s 8c Kh 6s 9h 5h Ah 7s 9c Qs 3c Jd 8h Jc 8s 3h 6h Jh As 3d 5d 6c Tc Js 9d 2d 7h 2h Kc 2c Ac Ts 2s 4h Ad 4d Qh Td 7d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ As 2h Ts Ad 6h 9d Js 4h 4d 4s 8c Jc 3d Kh 9c 7s Kc 7c 5h 7h Td 3h Ac 6c Jd 8h 8s 7d 6s Tc 3s Ks Qh 4c 5s 2s 2d 3c 9h 9s Ah 5d Jh 5c 2c 6d Qs];[Qc, Qd, Th, As, 2h];null;b1[r:17,17] Hero[c:0,37] ;b1[c:18,12] Hero[r:0,36] b1[c:18,12] ;b1[c:6,8] Hero[c:0,23] ;b1(26) ;-12;b1[Js, Jh]12893;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 6c Ac 9d 3s 8c 5c 9s 5d Kh 7c 2s 9h 6s Ts 3h Ad 3d 6h Ks Td Ah 2h Tc Jh 5h 8h 7d Kc 3c 7h 4d 2d As 2c 4h Js 9c 4s 8s 7s 5s Jc 4c Jd 6d Qh Qs];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4h, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9s 2c 9d Jh 8c Jd Js Ah Jc 7h Ks Kh Qs 4s Td 7d 8h 6h 4d Ac Qh 5h 3c 9c 2s As 7s Ts 6d 5c 7c 2d 8s 5d Kc 3h Tc 6s Ad 9h 6c 4h 2h 3d 5s 3s 4c];[Qc, Qd, Th, null, null];null;b1[f:17,17] ;null;null;Hero{6} ;6;b1[Ks, Jd];b2;Hero[8d, Kd];b0
