 Kd 8d Th Qd Qc] [ 9d 6s 5s Td Kh Ts 3d Qs 4h Jd 2d Jc 6c Ah Tc 5c 6d Ac 3h 7d Jh 3s Ks 9s Ad Kc 4c 4s 9h 8s 5d 7c Js 2h 2s 2c Qh 3c 8c 9c 6h 7s 8h 5h 4d 7h As];[Qc, Qd, Th, 9d, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:0,16] b1[f:87,9] ;null;Hero{8} ;18;b1[6s, As];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4s 5c 8h Ts Ad 5d Jc 5s Kc 2d 9d Tc 8c Ac 2s As 7h 9s Td Jh 4d 3c 3s 6d 7s 5h 6c 2h 8s 9h 7d Ah 7c Ks 3d 9c 4h Kh 4c 6h 6s Qs 2c Js Qh 3h Jd];[Qc, Qd, Th, 4s, 5c];null;b1[r:6,6] Hero[c:0,16] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(18) ;-8;b1[5c, Ac]12827;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ Kc 6d Ah 2d 3c 4h As Tc 6h 7d 4s 5h 8h 2c 6s Jd 2s Qs 7s 4c Kh Ac Ts 9h Js 7c 3s Jh 9s 6c Ks 8s 5c 9d 3d 5s Jc 3h Td 5d 4d Ad 9c Qh 2h 8c 7h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4d, 5d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2c 6d 3h 9c Tc 7s 7h 4d Ac 5h 4c Ad 9h As 8c Js Td 3c Kh 4h 8h Qh 5s Jc 7c 2s 2d 5c 9d 2h 8s 6c Jh 5d 3d Ah 7d Jd 4s Ts 9s Kc 6h Qs 3s Ks 6s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2h, 3h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3d 3h 6d 5d 3s Kc Ah 5h 9s Jd 2s 7s 5c Ts 8s 7d 6h 8h 9c As Ks 3c 9d Js 5s Ac 2d Qs 2c Td Qh 4h Tc Kh 8c 4c 6c 6s 7h Jh 4s 2h Jc Ad 4d 7c 9h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ac Ts 4s Jd 2s 2h 9d 8h 4h 7d 5c Td Ah 4c Qh 9h 2d 3h 6h Ks As Js 7h 5d 9c Kc Kh 6d Jh 7c 4d 2c 5s Tc 5h Qs 3d 8s 8c 3c Ad 3s 9s 7s 6c 6s Jc];[Qc, Qd, Th, Ac, Ts];null;b1[c:6,6] ;b1[c:8,5] Hero[c:3,88] ;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;b1(22) ;-10;b1[As, 5d]13133;b2;Hero[8d, Kd]12882;b0
 Kd 8d Th Qd Qc] [ Jh 9h Td Js Jc Ad 4h 6h 6s 3s 3h 6d Qs 2s 9s 9d Qh 7h 2d Tc 4d 4c 3c Ac 5d Kh As 3d 7s Jd 8c 5h 7d 2h 8s 5s 6c 2c 5c Kc Ts 7c 4s Ks Ah 8h 9c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4s, Ks];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 9d Qs 4d 5c 6s Js 5h 3h 9s 4s Ad 2d 8c 5s Ah 3c 7h Kc 2c 5d 9h Kh 2h Jh 7d Qh Jc 3d Ks 3s As 8h Ac 7s 6d Jd 9c Ts 6h 7c Tc 4h 4c Td 6c 2s 8s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7s, Jd];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3h 3d Kh 7c Tc 9d Ks 6c Js Qs 2s 4c Ts As 2h 3s 2c 4h Ad Jd 5d 2d 7h 6d Jc Td Kc 5s 9c 7d Ah 3c Qh 9h 8c 4s 6h 5c 6s 7s Ac 8h 8s 4d Jh 5h 9s];[Qc, Qd, Th, 3h, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[Ts, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6c 2s Kh 2d Qh As 7s 8c Ks Ad 2c Ah 6d Js 5h 9c 4d 9s 3h Td 4c 5d 6s 7d 8s Jc 6h Jh Ts Jd 9d 3d 7c 5s 7h Kc 3c Qs 9h Tc 3s Ac 8h 2h 4h 5c 4s];[Qc, Qd, Th, 6c, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[Ts, Jc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5c 7c 2c 5h 3c 5s 6d 9h 6c 4h 8h 3s 9s 7s 4s Jh 3h Js Jd As 7h 9d Ts Kc 8s Ac 8c 2s Jc 2h Ks Ad Kh 2d 5d Qs Tc 9c Td Ah 6s 3d 4c 6h Qh 7d 4d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Js, 6h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ As 6h Tc 2c 3c Td 6s 8h Jh 2d 8s 9h 4d Js Qs 9s 3d Jd 9c 7d 3h Ts 6d 6c 5h 7h 5d 4h Kc Ah Ac Qh Jc 2h 4c 2s Ad 7c 8c Ks 3s 7s 4s 5s 9d 5c Kh];[Qc, Qd, Th, As, 6h];null;b1[c:6,6] ;b1[c:8,5] Hero[r:0,16] b1[r:7,80] Hero[r:0,16] b1[c:8,5] ;b1[r:8,78] Hero[c:0,9] ;b1(46) ;-22;b1[6s, Qs]28797;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 3h Tc Ac Ah 9h 5d 6c 2d 2h 6h 5c Jd 5s 9c Js Kc Qs Qh 4h 9d Jh 7c 6d 2s 4c 7s 3s 4s 6s 8h 7d Ks As 9s 7h Jc 3c Ad 3d Ts 4d 2c Td Kh 5h 8s 8c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7s, 9h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8h 9c 2h 5s 7s As Ad 8s 2d 6d 7d 5d 4d Ah 4c 2c 3h 6s Ts Jc Jd 2s 5h 9s 3d 9d Kc Ks 3s Js Td 6h 3c 7c 6c 4s 4h Tc 7h Kh Jh Ac Qh 9h 5c Qs 8c];[Qc, Qd, Th, 8h, 9c];null;b1[c:6,6] ;b1[r:7,80] Hero[r:0,16] b1[r:7,80] Hero[c:0,16] ;b1[r:8,78] Hero[c:0,9] ;b1(46) ;-22;b1[9s, Js]20488;b2;Hero[8d, Kd]12859;b0
 Kd 8d Th Qd Qc] [ 6c 2s 2h 4s 8c 5s 4c 5d 9c As 2c Td 2d 9s 7c Jc 3c 6d Qh Tc Ad Ts Ac 3h 6s Ah Js 7d 5h Ks Jd Kh 7h Jh 8h Kc 8s 3d 7s 3s Qs 9d 9h 6h 4d 4h 5c];[Qc, Qd, Th, null, null];null;b1[f:6,6] ;null;null;Hero{6} ;6;b1[Jh, Ac];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ah 2h 6d 8h 5c 5s 4c Jc 3s 4h 2c 3h 7c Js Jd Ks 7h 5h 6h 4d Ad 7d 9s 7s 3d 6c Kh Ac Kc 2s Qs Qh 5d Td Jh 6s Ts Tc 9h 8s 8c 9c As 4s 3c 2d 9d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[9d, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6s 7h 4h Ks 9h 5d 7d 3d 6h Ac Kc 9d 2c 5c 7s 2d 6d 5s 2h Js 6c Jd Ah 4d As 3c Td 8c Jc Ts 7c 9c 9s Tc Kh Qh 3s 4c 4s 3h 5h 8h Jh 2s Ad 8s Qs];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5d, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Tc 3c 6c 5d 9d 6d As 6s 6h 3s Ts 7c 2h Ac 9h 5s 2d Kc Jc 8c 7s Jh 7h Qs Td 9s 2c 7d 3h 2s Qh 5c Js 4d Kh 4s 5h 4c 8h 3d Ah Ks 9c Jd 4h 8s Ad];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[9d, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4d 7h 7s 3s 6c 8h 6h Jc Ts 8s Ks 5h 5d Js Jd 2d Kh 2h Ad 9d 7d 9s 9h 6d Kc 5c As 4h Qs 4c 7c Jh 2c 3c Tc 3h 3d 5s Qh 8c 2s Ah 4s Ac 9c 6s Td];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2s, As];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2s 6c Ks 2d 6d 2c 5s 8h 8s Jc 3d 4d 9s 9h 5c 3s 8c Td 4s Js 9d Ac 7d 4h Kh Jd 6h 5h Ad 4c Ts 3c 7s Tc Qh As Jh 6s 7h Ah 2h 5d Qs 9c 3h 7c Kc];[Qc, Qd, Th, 2s, 6c];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(8) ;8;b1[8h, 9h]10476;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 7s Ts 7c Qh 5h 5d 3s 3d 2h As 9d 8c 2d Td 6d Jh 3c 9c 4d 8h 4h 8s Kc 5c 5s 3h 4c 2c Jd Jc Js Ac 4s 6s 2s 7d 9h 7h Qs Ks 6h Tc 9s Kh Ad Ah 6c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[7h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4d Tc 2s Jh 8h 7c 2d 6h Td 6c Qs 2h 9h 8s Ad Kh 7s 4s 7h 7d Kc Jd 8c Jc Ac 5d 6s 2c 4h 4c 3d 5c 3c 3s 9c 6d 5s Ks 9d 9s 3h 5h As Ts Ah Js Qh];[Qc, Qd, Th, 4d, Tc];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:8,78] Hero[c:0,9] ;b1(14) ;-6;b1[Ts, Js]28778;b2;Hero[8d, Kd]12881;b0
 Kd 8d Th Qd Qc] [ Ac Jc 6d 3d Ah Qh Qs 6s 6h Kc 4d 7d 9c 8c 5s Tc Jd 2h Js 7h 9h Ts Td 2c 9d 2s Ad Ks 5d 7c 9s 4h 3h 7s 5h 4c 4s Kh 2d Jh 3s 8s 8h 3c 5c As 6c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4d, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Td 4d Js As 9d Tc 8h 5d 5s Jh Ac 9h 8c Ks Ad 2s 8s 7s 2c 4c 7c Ts 9c 3c Qs 6c Kh 3s 9s Kc 5c 2h 7h 4h 7d 6s Qh Jc 3d 6d 6h 5h Jd Ah 2d 3h 4s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5c, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2c 3d Jd 7h 9d Tc 2d 6h 5d 7d Ts Ks 8h 2h 5c 9s Jh 3s 8s Jc Qs Ah Kh 4c Kc 7c 4d 4h 3c 3h 5s 8c 7s Td As 9c 2s 4s 6c Ac Js Ad 6d Qh 6s 9h 5h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2h, Jh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3s 8h 4h 9s 3d 8c 3h 9c 7c 2s Jh 5h 4s Qh 6c 6s As Ac 2d 6d 7d Kc Jc Jd 9h 2h 2c Kh 5d Qs Ts Td 4c Js 4d 7h Tc 8s 5s 3c 9d Ks Ad 6h Ah 7s 5c];[Qc, Qd, Th, 3s, 8h];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(12) ;12;b1[As, Kc]10611;b2;Hero[8d, Kd]12859;b0
 Kd 8d Th Qd Qc] [ Kc 3c Ad Jh 4s 5s Js 4d 9s 4h 7h As Kh 5c 5d Jd Td 2c Tc 2s Qh 6s 2d 7s 3s Ac Ts 8s 8c Jc 7c 9c 8h 6d 3h 9h Qs Ks 6c Ah 7d 6h 9d 2h 5h 4c 3d];[Qc, Qd, Th, Kc, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[f:87,9] ;null;Hero{8} ;8;b1[9d, Kc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Kc As 2c 7s 2h 8c 3s 5s 9d Ks 6s Qs Td Ah 5h 3c 2s Kh 7h 8s 9h 6d 4d 3d Jh 9c 5c Jc 8h Ac 4s 6c 7d Tc 3h 7c 6h 4c 4h Ts Qh 2d Ad 5d 9s Js Jd];[Qc, Qd, Th, Kc, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[f:87,9] ;null;Hero{8} ;8;b1[6s, 6d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6c As Jh 9d 9c 7c Kc 8h Jd Ts 5d 7d 9s 5h Ad Td 2h 2s 6s 8c Jc 2d 3d 3h 7s 2c Ks 4d 8s Qs 4s 7h 9h 6h 3c Js Tc Qh 4h 6d Kh 5s 4c 5c 3s Ah Ac];[Qc, Qd, Th, 6c, As];null;b1[r:8,75] Hero[c:0,16] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;Hero(10) ;10;b1[Js, 9d]10602;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 4h 2c Tc 3d 5d Td Jh Ah Kh 8c 7s Ad Ts 5s 8h 6s 4d Jd 5h 7h Qh Jc Ac 7d 2h Js 3s 5c Qs 9s 2s 6c 2d 9h 3c Kc Ks 9d 3h 4s 7c 6h 9c 6d 4c 8s As];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[4s, Js];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jc 3s 6s 7c Qs 4d 4h 5d Jh Ac Ad Ks Kc 7d Tc 2d 3d 9d 5c 9s Kh 7s 3h 2s Ah 8s 8c 3c 6h Ts 8h Qh 2h 4s 6c 4c 9c 9h Jd 5s 6d Td Js 5h 7h 2c As];[Qc, Qd, Th, Jc, 3s];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[5d, Ac]10602;b2;Hero[8d, Kd]10557;b0
 Kd 8d Th Qd Qc] [ 6d 9s 3h 2c 8c 5s 6c 6s Ks 5c 4c Qh 7h Jh 9h 4d Qs As Ac 9c 5d 8s Ts 3s Tc Jc 8h 4s Ad Td 3d 5h 6h Ah 2h 2d 4h 3c 9d 2s Jd 7d 7c Kc Kh 7s Js];[Qc, Qd, Th, 6d, 9s];null;b1[r:8,75] Hero[c:0,16] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(18) ;-8;b1[6s, 5h]12835;b2;Hero[8d, Kd]10548;b0
 Kd 8d Th Qd Qc] [ Ts 7c 7h 8c Tc 9h 6c Qs 3s 8h Td 2h Ks 9d 4d Qh 3d Kh Ah 5h 5d 2s Jd 4h As 9s 2d 7s 3c 9c Jh 2c 6s Js 3h 6h 4c Ad Jc 8s Ac 5c 6d 5s 7d Kc 4s];[Qc, Qd, Th, null, null];null;b1[f:6,6] ;null;null;Hero{6} ;6;b1[9s, 9d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jc 7s 4s Qs 2h Ks 3c 8s 4c 9s 2c 8c 3s 7c 6d Js 4d 3h 3d 6s Tc Td Ts Ah 8h 5d Ad Jd 6h 9d 4h 5s 5c 7h Kh Jh 6c 9h 9c 2d Qh As Kc 5h 7d Ac 2s];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5s, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 2h 4s 5d 9h 9c 7c 8c 2s 5s 6s 5c Ks Jh 2c Jc Kh 6c 7d Td 3d 3c 4d Ah 3h Ac As 8h 4c 8s Kc Tc 5h 7h 9s Js Qs 2d 9d Qh Ad Jd 6d 4h 7s 6h 3s Ts];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Ah, 4c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4s 5c 7c 6h 2s Jc Qs 9s 8s 4c 3h 2c 7s Ad As 6d Tc Js 3c Jd 9h Ts Ks Kh Jh Qh 7d 8c 4h Td 6c 8h Ac Ah 5h 3d 5d Kc 6s 9d 5s 2d 3s 7h 2h 4d 9c];[Qc, Qd, Th, 4s, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[8h, Td];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jd 3h 5c Js 4d 7c Jc Ac 6d 2h Qh Td 2c 2d 8c Kh 2s 9s 4h Kc 3d 3s 5h 4s 7h Tc 6s 6c 9h Qs 9c Ks As Ah Jh Ad 9d 4c 5s 8h 3c Ts 8s 7s 7d 6h 5d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2s, 5h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7d 5d 4c 2s 5h 9h 6h Jd 9d 7s 8s Ts 5c Kh Kc Ah 4h 9s 8c 6c Qs 5s 3s 3c 7c 2d Td 9c 6d 4s 8h 6s Ac 4d Jc 7h Jh Ks Ad Js 2c As Tc 3d 3h 2h Qh];[Qc, Qd, Th, 7d, 5d];null;b1[c:6,6] ;b1[r:7,80] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,87] ;Hero(12) ;12;b1[Jh, Ad]10602;b2;Hero[8d, Kd]25275;b0
 Kd 8d Th Qd Qc] [ 9h 4s Jc 5h 3s 2h 9s Js 8h 2d 3h Qs Ad 5s 7d 6d 5c 3d Kh 5d Jh Kc 9c 7c Qh 6c 4h 4d Ah Ts 2s 7h 2c Td 6h Jd As 8c 6s Ac Tc 7s 8s 4c 9d Ks 3c];[Qc, Qd, Th, 9h, 4s];null;b1[r:8,75] Hero[c:0,16] ;b1[r:7,80] Hero[c:0,16] ;b1[r:8,78] Hero[f:96,4] ;{12} ;-12;b1[Ts, Tc];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5c 6h Js Ad 5h Tc 3s Kc 3d 2s 7s 8s Ah 9d Ac 2c Jc 3h Jd 2d 7d 7c 8c 6d Ks Qs 9s Td 9c 7h Ts 4h 6s 5d 9h As Qh 4c 8h Kh 5s 4s 6c 3c 4d Jh 2h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[3s, 8s];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 7h 5h 7c 8s 4c 8c 3s 6d Td 3c Js Jc 5d 6c Ts 7s 2c Qh 2s 4s Kh 3d 2d Ks 6s 4h Jh Ah 6h 8h Kc 3h 2h 4d Ac Ad 5c 9s As 9c 7d 9h Qs Tc 5s 9d Jd];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[Kh, 5d];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ts Jc 8s 5s 6c Ad 4s 8c 5h 9c 7h 7s 9h 6d 2c 9s Tc Kc Js 6s 2s 3h As Ac 9d 2h Ks 7d 4h Jh 3d 4c 5c 7c 8h Jd 5d Qh 3c Kh Td 2d Ah 3s 6h Qs 4d];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[6s, 4c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ad Td Qs 5d 6h Jh 3d 8c Ts 6s 7d 3c Ac 3h Js 8h 5c 3s Jc 2c Kc 9d 4d 5h Ah Ks 2s 7c 4h 4c Kh 7s 5s Qh 9s 9h 4s Jd As 6d 9c 2d 2h 7h Tc 6c 8s];[Qc, Qd, Th, Ad, Td];null;b1[r:8,75] Hero[c:0,16] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[r:0,87] b1[f:94,5] ;Hero{10} ;10;b1[Jd, 7c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Ad 4h 3c Ah Ts Kh Jh Qs 7s 7h 4s 5s Td Tc 2c 8s 6s 8h 6d As 3s 2h 9d Kc 5d 4c 6h Ks 3h Ac Qh 9s 9h Jc 5h 2s 3d 7d Jd Js 4d 6c 2d 9c 8c 7c 5c];[Qc, Qd, Th, Ad, null];null;b1[r:8,75] Hero[r:0,16] b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[f:87,9] ;null;Hero{12} ;12;b1[7d, 6c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Jh 4s 2d 5d Ad 6d 3h 8c 5s 7s Js 7h 2c 6c 7c 6h Jc 3d 7d 8s 4d 3s 5h Ah Ks 2h 9h 9c Kc 3c Jd 4c 5c Tc 4h 9s 8h 9d Td As Ts 2s Kh Ac Qh 6s Qs];[Qc, Qd, Th, Jh, null];null;b1[c:6,6] ;b1[c:8,5] Hero[r:0,16] b1[f:87,9] ;null;Hero{8} ;8;b1[Jh, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 5h 7h 6s 4h 4c Kc Qs 3d As Ac Kh 3s 9d 8c 9s Jc Js 2s 2d 7s Tc Ah 6h 5d 5c 7c 2h 4d Ad 9h Ts 7d Jh 9c 4s 5s Td 8h Ks Qh 6d 2c 6c 8s Jd 3h 3c];[Qc, Qd, Th, 5h, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[5s, Ts];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 8h 3s 5h 6h Qh 4d 7d Ac 2h 5s Qs 2d 9c 7c 4c Js 8c 3d 7s 6c Kh Ks Jd 2c Ts 3c 2s 5c 7h 8s Td 9h Ad 4s Kc Ah 6s As 9s Jc 6d Jh 9d 3h 5d Tc 4h];[Qc, Qd, Th, 8h, 3s];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[r:0,87] b1[c:2,3] ;Hero(16) ;16;b1[Ah, Kc]10611;b2;Hero[8d, Kd]12859;b0
 Kd 8d Th Qd Qc] [ 4h 5h 6s 2c Tc 4d 5s 6h 8h Qs Jh 9c Ac Ts 7c 5d 2d Js 3d Ks Jd Ah 2h Kh 9s 9d 7s 7h As Kc Jc 7d 4s 2s 8c Ad 5c 9h 4c 6c Qh 3h 3c 3s 6d Td 8s];[Qc, Qd, Th, 4h, 5h];null;b1[c:6,6] ;b1[c:8,5] Hero[r:3,88] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(22) ;-10;b1[8h, 8c]12857;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ 5h 7c 3d 9s 9c 4s 8c 6c Qh Ah 5d 8h 6h 2s 8s Kh Qs Jc Td 2h 4c 2d Ad Js 3s 6s 5c 9h 4h Tc 4d 2c Jh 6d 3c Jd Ac Ts 7s 3h As 7h 7d 9d 5s Ks Kc];[Qc, Qd, Th, 5h, null];null;b1[c:6,6] ;b1[r:7,80] Hero[f:92,7] ;null;{6} ;-6;b1[Qh, 5c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 3h As 8h 5h Ad 6d Js Td Qh 7c 8c 2d 7d 2h Tc 2c Kh Ks 7s 4d 4s 9s 5s Jc Jd Ts 3c 9d 2s 5c 3s 4h 6h Jh Ah 6s 3d 7h 9c Ac 5d 9h 6c Kc 8s 4c Qs];[Qc, Qd, Th, 3h, As];null;b1[c:6,6] ;b1[c:8,5] Hero[c:0,16] ;b1[c:2,3] Hero[c:0,9] ;b1(14) ;-6;b1[Ad, Kc]13135;b2;Hero[8d, Kd]10611;b0
 Kd 8d Th Qd Qc] [ 5c 3d 3s Js 6s Jc As 7h 4h Tc 7c 5d Qh Kc 4c 5s Qs Kh 5h 6h 2s 4d Ts Jh 9c 2h 8h 4s 3c 6c 9s 3h 2d 9d Td 9h 7d Jd 7s 8s Ac 2c Ks 8c Ah 6d Ad];[Qc, Qd, Th, 5c, 3d];null;b1[r:8,75] Hero[c:0,16] ;b1[r:7,80] Hero[r:92,7] b1[c:8,5] ;b1[c:2,3] Hero[c:0,9] ;b1(34) ;-16;b1[5h, 4d]12824;b2;Hero[8d, Kd]10547;b0
 Kd 8d Th Qd Qc] [ Jd 2c 3c Kh 5s Ts 8c Ah 4d 6d 5d 3h 8s Js 7c 9d Ac Jh 6s Ks 3d As 5c 7d 4c Qh 2d Jc 4s 4h 9c Td 9h 5h 3s 6h 8h Kc Qs 9s Ad 2s 7h 2h Tc 7s 6c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[2h, 8h];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 4h 2s Js Td 3c 2d Jd 3s 5c 5s 9c 2h As Ts Jh 7c Kc Tc 5h 6s 6h 4d 7d Qs 2c 3h 7s Kh 4s 6d 5d Ad 4c 7h Ks 8s Jc Ah 9d 9s 8h 9h 3d 8c Ac Qh 6c];[Qc, Qd, Th, 4h, null];null;b1[r:8,75] Hero[r:0,16] b1[r:8,75] Hero[c:0,16] ;b1[r:7,80] Hero[f:92,7] ;null;{12} ;-12;b1[Qs, Qh];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ Td 7c 8c 6s 9s 6c 2c 2d Kc Jd 2s Qh 3h 7h 2h 9h 4h 8s Ah As 5h Ts Ad 6h 9c 7d 8h 9d 3s Jc 4s 4d 3c 5c 5s 5d Kh Qs Ks Js Tc 3d 7s Ac 6d Jh 4c];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5c, 8c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6d 5c 8h 4s 5h 8s As 3s Qs 2h 6c Tc Kc 9c 3c 7h 3h 2c 4h 7d 2s 2d 4c 5d Jh Kh 6h 7c Ad Jd Ts 5s 9s 3d 8c Ah Js 9d Jc 6s Ks Qh Td 9h 4d 7s Ac];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[5s, 4c];b2;Hero[8d, Kd];b0
 Kd 8d Th Qd Qc] [ 6d 3s 8h Jd 3d Kc 5s 8s 5d 8c Ad 7d Td Js 5c 4d 4h Ac Ts Tc Ks 9c Ah 3c 7c Jc 4c 6c 9h 2h As 7s Qs Jh Qh 3h 5h Kh 2c 2d 2s 7h 9d 4s 6s 9s 6h];[Qc, Qd, Th, null, null];null;b1[f:100,0] ;null;null;Hero{6} ;6;b1[8h, 7c];b2;Hero[8d, Kd];b0
